asset,date,n_prior_sessions,last_bar_date,prev_close_full,prev_open_full,prev_high_full,prev_low_full,atr14_full,rsi2_full,d_full_P,d_full_R1,d_full_S1,d_full_R2,d_full_S2,d_full_R3,d_full_S3,prev_open_cash,prev_high_cash,prev_low_cash,prev_close_cash,atr14_cash,rsi2_cash,d_cash_P,d_cash_R1,d_cash_S1,d_cash_R2,d_cash_S2,d_cash_R3,d_cash_S3,w_full_period,w_full_P,w_full_R1,w_full_S1,w_full_R2,w_full_S2,w_full_R3,w_full_S3,w_cash_period,w_cash_P,w_cash_R1,w_cash_S1,w_cash_R2,w_cash_S2,w_cash_R3,w_cash_S3,m_full_period,m_full_P,m_full_R1,m_full_S1,m_full_R2,m_full_S2,m_full_R3,m_full_S3,m_cash_period,m_cash_P,m_cash_R1,m_cash_S1,m_cash_R2,m_cash_S2,m_cash_R3,m_cash_S3,swing_high_5d_full,swing_low_5d_full,swing_high_25d_full,swing_low_25d_full,swing_high_5d_cash,swing_low_5d_cash,swing_high_25d_cash,swing_low_25d_cash
US500,2026-05-07,26,2026-05-06,7365.1,7275.5,7374.9,7272.9,79.6143,100.0,7337.6333,7402.3667,7300.3667,7439.6333,7235.6333,7504.3667,7198.3667,7310.4,7374.9,7306.9,7366.4,71.8429,100.0,7349.4,7391.9,7323.9,7417.4,7281.4,7459.9,7255.9,2026-W18,7202.0667,7297.8333,7127.5333,7372.3667,7031.7667,7468.1333,6957.2333,2026-W18,7207.4333,7302.4667,7138.2667,7371.6333,7043.2333,7466.6667,6974.0667,2026-04,6970.3,7479.8,6712.9,7737.2,6203.4,8246.7,5946.0,2026-04,6970.7,7469.7,6714.7,7725.7,6215.7,8224.7,5959.7,7374.9,7109.2,7374.9,6460.8,7374.9,7132.7,7374.9,6471.7
US500,2026-05-08,27,2026-05-07,7332.8,7359.7,7390.6,7325.6,76.3786,73.7612,7349.6667,7373.7333,7308.7333,7414.6667,7284.6667,7438.7333,7243.7333,7379.6,7389.6,7325.6,7344.6,68.5714,82.1895,7353.2667,7380.9333,7316.9333,7417.2667,7289.2667,7444.9333,7252.9333,2026-W18,7202.0667,7297.8333,7127.5333,7372.3667,7031.7667,7468.1333,6957.2333,2026-W18,7207.4333,7302.4667,7138.2667,7371.6333,7043.2333,7466.6667,6974.0667,2026-04,6970.3,7479.8,6712.9,7737.2,6203.4,8246.7,5946.0,2026-04,6970.7,7469.7,6714.7,7725.7,6215.7,8224.7,5959.7,7390.6,7177.5,7390.6,6526.9,7389.6,7177.5,7389.6,6471.7
US500,2026-05-11,28,2026-05-08,7401.1,7323.1,7407.5,7323.1,76.8786,67.8926,7377.2333,7431.3667,7346.9667,7461.6333,7292.8333,7515.7667,7262.5667,7375.6,7407.5,7371.8,7400.6,70.3643,71.9794,7393.3,7414.8,7379.1,7429.0,7357.6,7450.5,7343.4,2026-W19,7328.7,7479.9,7249.9,7558.7,7098.7,7709.9,7019.9,2026-W19,7328.5333,7479.5667,7249.5667,7558.5333,7098.5333,7709.5667,7019.5667,2026-04,6970.3,7479.8,6712.9,7737.2,6203.4,8246.7,5946.0,2026-04,6970.7,7469.7,6714.7,7725.7,6215.7,8224.7,5959.7,7407.5,7177.5,7407.5,6526.9,7407.5,7177.5,7407.5,6533.3
US500,2026-05-12,29,2026-05-11,7416.2,7387.4,7435.0,7372.2,74.3857,100.0,7407.8,7443.4,7380.6,7470.6,7345.0,7506.2,7317.8,7391.3,7435.0,7391.3,7419.7,67.2357,100.0,7415.3333,7439.3667,7395.6667,7459.0333,7371.6333,7483.0667,7351.9667,2026-W19,7328.7,7479.9,7249.9,7558.7,7098.7,7709.9,7019.9,2026-W19,7328.5333,7479.5667,7249.5667,7558.5333,7098.5333,7709.5667,7019.5667,2026-04,6970.3,7479.8,6712.9,7737.2,6203.4,8246.7,5946.0,2026-04,6970.7,7469.7,6714.7,7725.7,6215.7,8224.7,5959.7,7435.0,7202.1,7435.0,6533.3,7435.0,7242.9,7435.0,6533.3
US500,2026-05-13,30,2026-05-12,7402.0,7417.9,7425.5,7345.3,76.55,51.5358,7390.9333,7436.5667,7356.3667,7471.1333,7310.7333,7516.7667,7276.1667,7396.3,7415.5,7345.3,7409.8,67.35,65.8621,7390.2,7435.1,7364.9,7460.4,7320.0,7505.3,7294.7,2026-W19,7328.7,7479.9,7249.9,7558.7,7098.7,7709.9,7019.9,2026-W19,7328.5333,7479.5667,7249.5667,7558.5333,7098.5333,7709.5667,7019.5667,2026-04,6970.3,7479.8,6712.9,7737.2,6203.4,8246.7,5946.0,2026-04,6970.7,7469.7,6714.7,7725.7,6215.7,8224.7,5959.7,7435.0,7272.9,7435.0,6616.6,7435.0,7306.9,7435.0,6742.3
US500,2026-05-14,31,2026-05-13,7458.5,7404.1,7466.0,7381.5,75.35,79.9151,7435.3333,7489.1667,7404.6667,7519.8333,7350.8333,7573.6667,7320.1667,7412.0,7466.0,7381.5,7451.5,66.15,80.814,7433.0,7484.5,7400.0,7517.5,7348.5,7569.0,7315.5,2026-W19,7328.7,7479.9,7249.9,7558.7,7098.7,7709.9,7019.9,2026-W19,7328.5333,7479.5667,7249.5667,7558.5333,7098.5333,7709.5667,7019.5667,2026-04,6970.3,7479.8,6712.9,7737.2,6203.4,8246.7,5946.0,2026-04,6970.7,7469.7,6714.7,7725.7,6215.7,8224.7,5959.7,7466.0,7323.1,7466.0,6731.2,7466.0,7325.6,7466.0,6763.4
US500,2026-05-15,32,2026-05-14,7504.1,7458.4,7522.9,7454.1,75.3857,100.0,7493.7,7533.3,7464.5,7562.5,7424.9,7602.1,7395.7,7463.9,7522.9,7462.9,7509.1,67.0143,100.0,7498.3,7533.7,7473.7,7558.3,7438.3,7593.7,7413.7,2026-W19,7328.7,7479.9,7249.9,7558.7,7098.7,7709.9,7019.9,2026-W19,7328.5333,7479.5667,7249.5667,7558.5333,7098.5333,7709.5667,7019.5667,2026-04,6970.3,7479.8,6712.9,7737.2,6203.4,8246.7,5946.0,2026-04,6970.7,7469.7,6714.7,7725.7,6215.7,8224.7,5959.7,7522.9,7323.1,7522.9,6731.2,7522.9,7345.3,7522.9,6790.6
US500,2026-05-18,33,2026-05-15,7400.8,7505.5,7510.5,7391.9,81.0643,30.6246,7434.4,7476.9,7358.3,7553.0,7315.8,7595.5,7239.7,7442.3,7458.0,7402.8,7416.0,72.2286,38.2216,7425.6,7448.4,7393.2,7480.8,7370.4,7503.6,7338.0,2026-W20,7423.0,7500.7,7323.1,7600.6,7245.4,7678.3,7145.5,2026-W20,7428.0667,7510.8333,7333.2333,7605.6667,7250.4667,7688.4333,7155.6333,2026-04,6970.3,7479.8,6712.9,7737.2,6203.4,8246.7,5946.0,2026-04,6970.7,7469.7,6714.7,7725.7,6215.7,8224.7,5959.7,7522.9,7345.3,7522.9,6731.2,7522.9,7345.3,7522.9,6790.6
US500,2026-05-19,34,2026-05-18,7405.2,7397.4,7438.5,7358.0,81.3357,4.0854,7400.5667,7443.1333,7362.6333,7481.0667,7320.0667,7523.6333,7282.1333,7423.0,7438.5,7358.0,7411.0,73.6929,0.0,7402.5,7447.0,7366.5,7483.0,7322.0,7527.5,7286.0,2026-W20,7423.0,7500.7,7323.1,7600.6,7245.4,7678.3,7145.5,2026-W20,7428.0667,7510.8333,7333.2333,7605.6667,7250.4667,7688.4333,7155.6333,2026-04,6970.3,7479.8,6712.9,7737.2,6203.4,8246.7,5946.0,2026-04,6970.7,7469.7,6714.7,7725.7,6215.7,8224.7,5959.7,7522.9,7345.3,7522.9,6885.0,7522.9,7345.3,7522.9,6902.2
US500,2026-05-20,35,2026-05-19,7356.3,7407.9,7425.0,7339.1,83.2786,8.2552,7373.4667,7407.8333,7321.9333,7459.3667,7287.5667,7493.7333,7236.0333,7371.0,7399.8,7339.1,7362.3,76.1286,0.0,7367.0667,7395.0333,7334.3333,7427.7667,7306.3667,7455.7333,7273.6333,2026-W20,7423.0,7500.7,7323.1,7600.6,7245.4,7678.3,7145.5,2026-W20,7428.0667,7510.8333,7333.2333,7605.6667,7250.4667,7688.4333,7155.6333,2026-04,6970.3,7479.8,6712.9,7737.2,6203.4,8246.7,5946.0,2026-04,6970.7,7469.7,6714.7,7725.7,6215.7,8224.7,5959.7,7522.9,7339.1,7522.9,6957.1,7522.9,7339.1,7522.9,6969.0
