asset,XAUUSD
date,2026-07-21
n_prior_sessions,78
last_bar_date,2026-07-20
prev_close_full,4007.64
prev_open_full,4001.21
prev_high_full,4040.67
prev_low_full,3982.78
atr14_full,92.6614
rsi2_full,81.8777
d_full_P,4010.3633
d_full_R1,4037.9467
d_full_S1,3980.0567
d_full_R2,4068.2533
d_full_S2,3952.4733
d_full_R3,4095.8367
d_full_S3,3922.1667
prev_open_cash,4008.9
prev_high_cash,4019.6
prev_low_cash,3998.26
prev_close_cash,4006.99
atr14_cash,74.1371
rsi2_cash,80.8438
d_cash_P,4008.2833
d_cash_R1,4018.3067
d_cash_S1,3996.9667
d_cash_R2,4029.6233
d_cash_S2,3986.9433
d_cash_R3,4039.6467
d_cash_S3,3975.6267
w_full_period,2026-W29
w_full_P,4026.44
w_full_R1,4093.23
w_full_S1,3949.71
w_full_R2,4169.96
w_full_S2,3882.92
w_full_R3,4236.75
w_full_S3,3806.19
w_cash_period,2026-W29
w_cash_P,4026.6367
w_cash_R1,4089.3733
w_cash_S1,3952.6533
w_cash_R2,4163.3567
w_cash_S2,3889.9167
w_cash_R3,4226.0933
w_cash_S3,3815.9333
m_full_period,2026-06
m_full_P,4165.5133
m_full_R1,4387.9467
m_full_S1,3785.1567
m_full_R2,4768.3033
m_full_S2,3562.7233
m_full_R3,4990.7367
m_full_S3,3182.3667
m_cash_period,2026-06
m_cash_P,4163.5933
m_cash_R1,4368.0567
m_cash_S1,3811.7467
m_cash_R2,4719.9033
m_cash_S2,3607.2833
m_cash_R3,4924.3667
m_cash_S3,3255.4367
swing_high_5d_full,4103.17
swing_low_5d_full,3959.65
swing_high_25d_full,4382.22
swing_low_25d_full,3943.08
swing_high_5d_cash,4100.62
swing_low_5d_cash,3963.9
swing_high_25d_cash,4382.22
swing_low_25d_cash,3959.13
