asset,date,n_prior_sessions,last_bar_date,prev_close_full,prev_open_full,prev_high_full,prev_low_full,atr14_full,rsi2_full,d_full_P,d_full_R1,d_full_S1,d_full_R2,d_full_S2,d_full_R3,d_full_S3,prev_open_cash,prev_high_cash,prev_low_cash,prev_close_cash,atr14_cash,rsi2_cash,d_cash_P,d_cash_R1,d_cash_S1,d_cash_R2,d_cash_S2,d_cash_R3,d_cash_S3,w_full_period,w_full_P,w_full_R1,w_full_S1,w_full_R2,w_full_S2,w_full_R3,w_full_S3,w_cash_period,w_cash_P,w_cash_R1,w_cash_S1,w_cash_R2,w_cash_S2,w_cash_R3,w_cash_S3,m_full_period,m_full_P,m_full_R1,m_full_S1,m_full_R2,m_full_S2,m_full_R3,m_full_S3,m_cash_period,m_cash_P,m_cash_R1,m_cash_S1,m_cash_R2,m_cash_S2,m_cash_R3,m_cash_S3,swing_high_5d_full,swing_low_5d_full,swing_high_25d_full,swing_low_25d_full,swing_high_5d_cash,swing_low_5d_cash,swing_high_25d_cash,swing_low_25d_cash
XAUUSD,2026-05-08,26,2026-05-07,4687.23,4696.0,4764.75,4685.16,104.6964,97.2827,4712.38,4739.6,4660.01,4791.97,4632.79,4819.19,4580.42,4745.02,4764.75,4687.74,4702.81,89.6807,100.0,4718.4333,4749.1267,4672.1167,4795.4433,4641.4233,4826.1367,4595.1067,2026-W18,4618.8933,4727.5967,4507.7867,4838.7033,4399.0833,4947.4067,4287.9767,2026-W18,4607.6633,4705.1367,4512.7267,4800.0733,4415.2533,4897.5467,4320.3167,2026-04,4673.69,4837.19,4458.18,5052.7,4294.68,5216.2,4079.17,2026-04,4670.91,4831.63,4456.29,5046.25,4295.57,5206.97,4080.95,4764.75,4500.66,4889.2,4500.66,4764.75,4500.66,4885.53,4500.66
XAUUSD,2026-05-11,27,2026-05-08,4715.44,4687.07,4749.36,4681.71,102.5964,88.3219,4715.5033,4749.2967,4681.6467,4783.1533,4647.8533,4816.9467,4613.9967,4727.3,4749.36,4702.02,4723.93,88.6286,100.0,4725.1033,4748.1867,4700.8467,4772.4433,4677.7633,4795.5267,4653.5067,2026-W19,4660.2833,4819.9067,4555.8167,4924.3733,4396.1933,5083.9967,4291.7267,2026-W19,4663.1133,4825.5667,4561.4767,4927.2033,4399.0233,5089.6567,4297.3867,2026-04,4673.69,4837.19,4458.18,5052.7,4294.68,5216.2,4079.17,2026-04,4670.91,4831.63,4456.29,5046.25,4295.57,5206.97,4080.95,4764.75,4500.66,4889.2,4500.66,4764.75,4500.66,4885.53,4500.66
XAUUSD,2026-05-12,28,2026-05-11,4734.78,4698.4,4748.5,4648.07,98.0079,100.0,4710.45,4772.83,4672.4,4810.88,4610.02,4873.26,4571.97,4728.81,4748.5,4708.26,4733.67,81.0843,100.0,4730.1433,4752.0267,4711.7867,4770.3833,4689.9033,4792.2667,4671.5467,2026-W19,4660.2833,4819.9067,4555.8167,4924.3733,4396.1933,5083.9967,4291.7267,2026-W19,4663.1133,4825.5667,4561.4767,4927.2033,4399.0233,5089.6567,4297.3867,2026-04,4673.69,4837.19,4458.18,5052.7,4294.68,5216.2,4079.17,2026-04,4670.91,4831.63,4456.29,5046.25,4295.57,5206.97,4080.95,4764.75,4513.54,4889.2,4500.66,4764.75,4551.51,4885.53,4500.66
XAUUSD,2026-05-13,29,2026-05-12,4715.24,4739.42,4773.37,4638.24,103.6121,49.7428,4708.95,4779.66,4644.53,4844.08,4573.82,4914.79,4509.4,4690.68,4715.61,4638.24,4715.61,82.0964,35.036,4689.82,4741.4,4664.03,4767.19,4612.45,4818.77,4586.66,2026-W19,4660.2833,4819.9067,4555.8167,4924.3733,4396.1933,5083.9967,4291.7267,2026-W19,4663.1133,4825.5667,4561.4767,4927.2033,4399.0233,5089.6567,4297.3867,2026-04,4673.69,4837.19,4458.18,5052.7,4294.68,5216.2,4079.17,2026-04,4670.91,4831.63,4456.29,5046.25,4295.57,5206.97,4080.95,4773.37,4546.28,4889.2,4500.66,4764.75,4638.24,4885.53,4500.66
XAUUSD,2026-05-14,30,2026-05-13,4688.88,4716.51,4726.77,4669.51,101.3007,0.0,4695.0533,4720.5967,4663.3367,4752.3133,4637.7933,4777.8567,4606.0767,4688.82,4709.73,4669.51,4688.24,79.8821,0.0,4689.16,4708.81,4668.59,4729.38,4648.94,4749.03,4628.37,2026-W19,4660.2833,4819.9067,4555.8167,4924.3733,4396.1933,5083.9967,4291.7267,2026-W19,4663.1133,4825.5667,4561.4767,4927.2033,4399.0233,5089.6567,4297.3867,2026-04,4673.69,4837.19,4458.18,5052.7,4294.68,5216.2,4079.17,2026-04,4670.91,4831.63,4456.29,5046.25,4295.57,5206.97,4080.95,4773.37,4638.24,4889.2,4500.66,4764.75,4638.24,4885.53,4500.66
XAUUSD,2026-05-15,31,2026-05-14,4652.26,4692.6,4718.75,4644.37,100.7064,0.0,4671.7933,4699.2167,4624.8367,4746.1733,4597.4133,4773.5967,4550.4567,4688.15,4700.77,4653.0,4654.16,79.6664,0.0,4669.31,4685.62,4637.85,4717.08,4621.54,4733.39,4590.08,2026-W19,4660.2833,4819.9067,4555.8167,4924.3733,4396.1933,5083.9967,4291.7267,2026-W19,4663.1133,4825.5667,4561.4767,4927.2033,4399.0233,5089.6567,4297.3867,2026-04,4673.69,4837.19,4458.18,5052.7,4294.68,5216.2,4079.17,2026-04,4670.91,4831.63,4456.29,5046.25,4295.57,5206.97,4080.95,4773.37,4638.24,4889.2,4500.66,4749.36,4638.24,4885.53,4500.66
XAUUSD,2026-05-18,32,2026-05-15,4538.45,4649.18,4665.4,4511.74,107.195,0.0,4571.8633,4631.9867,4478.3267,4725.5233,4418.2033,4785.6467,4324.6667,4549.03,4566.52,4511.74,4546.06,86.2686,0.0,4541.44,4571.14,4516.36,4596.22,4486.66,4625.92,4461.58,2026-W20,4607.8533,4703.9667,4442.3367,4869.4833,4346.2233,4965.5967,4180.7067,2026-W20,4602.1,4692.46,4455.7,4838.86,4365.34,4929.22,4218.94,2026-04,4673.69,4837.19,4458.18,5052.7,4294.68,5216.2,4079.17,2026-04,4670.91,4831.63,4456.29,5046.25,4295.57,5206.97,4080.95,4773.37,4511.74,4889.2,4500.66,4748.5,4511.74,4885.53,4500.66
XAUUSD,2026-05-19,33,2026-05-18,4566.15,4531.52,4584.27,4480.3,104.1686,19.5746,4543.5733,4606.8467,4502.8767,4647.5433,4439.6033,4710.8167,4398.9067,4571.97,4584.27,4532.18,4558.66,81.1886,10.4391,4558.37,4584.56,4532.47,4610.46,4506.28,4636.65,4480.38,2026-W20,4607.8533,4703.9667,4442.3367,4869.4833,4346.2233,4965.5967,4180.7067,2026-W20,4602.1,4692.46,4455.7,4838.86,4365.34,4929.22,4218.94,2026-04,4673.69,4837.19,4458.18,5052.7,4294.68,5216.2,4079.17,2026-04,4670.91,4831.63,4456.29,5046.25,4295.57,5206.97,4080.95,4773.37,4480.3,4889.2,4480.3,4715.61,4511.74,4885.53,4500.66
XAUUSD,2026-05-20,34,2026-05-19,4482.06,4568.95,4589.01,4464.95,105.8864,24.7786,4512.0067,4559.0633,4435.0033,4636.0667,4387.9467,4683.1233,4310.9433,4492.22,4514.06,4464.95,4483.37,81.78,14.3361,4487.46,4509.97,4460.86,4536.57,4438.35,4559.08,4411.75,2026-W20,4607.8533,4703.9667,4442.3367,4869.4833,4346.2233,4965.5967,4180.7067,2026-W20,4602.1,4692.46,4455.7,4838.86,4365.34,4929.22,4218.94,2026-04,4673.69,4837.19,4458.18,5052.7,4294.68,5216.2,4079.17,2026-04,4670.91,4831.63,4456.29,5046.25,4295.57,5206.97,4080.95,4726.77,4464.95,4889.2,4464.95,4709.73,4464.95,4885.53,4464.95
XAUUSD,2026-05-21,35,2026-05-20,4543.77,4481.68,4552.67,4453.63,105.2621,42.3251,4516.69,4579.75,4480.71,4615.73,4417.65,4678.79,4381.67,4489.45,4552.67,4467.19,4545.81,81.6186,45.3351,4521.89,4576.59,4491.11,4607.37,4436.41,4662.07,4405.63,2026-W20,4607.8533,4703.9667,4442.3367,4869.4833,4346.2233,4965.5967,4180.7067,2026-W20,4602.1,4692.46,4455.7,4838.86,4365.34,4929.22,4218.94,2026-04,4673.69,4837.19,4458.18,5052.7,4294.68,5216.2,4079.17,2026-04,4670.91,4831.63,4456.29,5046.25,4295.57,5206.97,4080.95,4718.75,4453.63,4889.2,4453.63,4700.77,4464.95,4885.53,4464.95
