DateTime_Broker,DateTime_UTC,Open,High,Low,Close,TickVolume,Spread,RealVolume
2026-04-01 01:00:00,2026-03-31 23:00:00,102.343,102.783,101.983,102.653,491,28,0
2026-04-01 01:15:00,2026-03-31 23:15:00,102.653,103.263,102.483,103.063,355,28,0
2026-04-01 01:30:00,2026-03-31 23:30:00,103.063,103.073,102.623,102.693,222,24,0
2026-04-01 01:45:00,2026-03-31 23:45:00,102.693,102.773,102.603,102.653,159,28,0
2026-04-01 02:00:00,2026-04-01 00:00:00,102.653,102.663,102.203,102.293,233,28,0
2026-04-01 02:15:00,2026-04-01 00:15:00,102.293,102.433,102.233,102.433,135,28,0
2026-04-01 02:30:00,2026-04-01 00:30:00,102.433,102.543,102.203,102.493,146,28,0
2026-04-01 02:45:00,2026-04-01 00:45:00,102.493,102.673,102.063,102.063,272,28,0
2026-04-01 03:00:00,2026-04-01 01:00:00,102.063,102.973,102.003,102.873,620,28,0
2026-04-01 03:15:00,2026-04-01 01:15:00,102.873,103.013,102.783,102.803,321,28,0
2026-04-01 03:30:00,2026-04-01 01:30:00,102.803,102.893,102.623,102.713,291,28,0
2026-04-01 03:45:00,2026-04-01 01:45:00,102.713,102.813,102.553,102.583,238,28,0
2026-04-01 04:00:00,2026-04-01 02:00:00,102.583,103.203,102.333,103.033,841,28,0
2026-04-01 04:15:00,2026-04-01 02:15:00,103.033,103.473,103.023,103.063,555,28,0
2026-04-01 04:30:00,2026-04-01 02:30:00,103.063,103.593,102.903,103.483,736,20,0
2026-04-01 04:45:00,2026-04-01 02:45:00,103.483,103.603,103.363,103.413,527,28,0
2026-04-01 05:00:00,2026-04-01 03:00:00,103.413,103.413,103.123,103.183,474,28,0
2026-04-01 05:15:00,2026-04-01 03:15:00,103.183,103.213,103.013,103.033,350,20,0
2026-04-01 05:30:00,2026-04-01 03:30:00,103.033,103.323,102.983,103.243,420,28,0
2026-04-01 05:45:00,2026-04-01 03:45:00,103.243,103.733,103.133,103.635,408,28,0
2026-04-01 06:00:00,2026-04-01 04:00:00,103.635,103.693,103.333,103.563,427,28,0
2026-04-01 06:15:00,2026-04-01 04:15:00,103.563,103.763,103.533,103.623,276,28,0
2026-04-01 06:30:00,2026-04-01 04:30:00,103.633,103.713,103.283,103.313,358,28,0
2026-04-01 06:45:00,2026-04-01 04:45:00,103.313,103.443,103.253,103.393,249,28,0
2026-04-01 07:00:00,2026-04-01 05:00:00,103.393,103.463,103.273,103.433,130,28,0
2026-04-01 07:15:00,2026-04-01 05:15:00,103.433,103.483,103.363,103.403,149,28,0
2026-04-01 07:30:00,2026-04-01 05:30:00,103.403,103.563,103.283,103.303,233,28,0
2026-04-01 07:45:00,2026-04-01 05:45:00,103.313,103.363,102.953,103.013,344,28,0
2026-04-01 08:00:00,2026-04-01 06:00:00,103.013,103.103,102.793,102.823,282,28,0
2026-04-01 08:15:00,2026-04-01 06:15:00,102.823,102.893,102.653,102.803,312,28,0
2026-04-01 08:30:00,2026-04-01 06:30:00,102.803,102.813,102.083,102.173,730,28,0
2026-04-01 08:45:00,2026-04-01 06:45:00,102.173,102.293,101.483,101.723,937,28,0
2026-04-01 09:00:00,2026-04-01 07:00:00,101.723,101.793,100.873,100.953,875,24,0
2026-04-01 09:15:00,2026-04-01 07:15:00,100.963,101.203,99.553,99.743,1300,20,0
2026-04-01 09:30:00,2026-04-01 07:30:00,99.743,99.773,97.333,97.663,1997,28,0
2026-04-01 09:45:00,2026-04-01 07:45:00,97.673,98.873,97.103,97.403,1893,28,0
2026-04-01 10:00:00,2026-04-01 08:00:00,97.403,98.303,97.083,97.773,1504,24,0
2026-04-01 10:15:00,2026-04-01 08:15:00,97.773,98.213,97.623,97.763,1128,20,0
2026-04-01 10:30:00,2026-04-01 08:30:00,97.753,97.813,96.963,97.203,1097,28,0
2026-04-01 10:45:00,2026-04-01 08:45:00,97.203,98.983,96.953,98.813,1396,28,0
2026-04-01 11:00:00,2026-04-01 09:00:00,98.813,99.373,98.403,99.283,1232,28,0
2026-04-01 11:15:00,2026-04-01 09:15:00,99.283,99.633,98.853,99.573,1205,28,0
2026-04-01 11:30:00,2026-04-01 09:30:00,99.523,99.713,99.043,99.203,928,28,0
2026-04-01 11:45:00,2026-04-01 09:45:00,99.203,99.863,99.053,99.763,793,28,0
2026-04-01 12:00:00,2026-04-01 10:00:00,99.773,100.243,99.553,99.963,819,28,0
2026-04-01 12:15:00,2026-04-01 10:15:00,99.963,100.863,99.893,100.563,858,28,0
2026-04-01 12:30:00,2026-04-01 10:30:00,100.563,101.073,100.443,100.663,817,28,0
2026-04-01 12:45:00,2026-04-01 10:45:00,100.663,100.933,100.283,100.503,943,28,0
2026-04-01 13:00:00,2026-04-01 11:00:00,100.503,100.763,100.323,100.573,782,28,0
2026-04-01 13:15:00,2026-04-01 11:15:00,100.573,100.783,100.113,100.773,911,28,0
2026-04-01 13:30:00,2026-04-01 11:30:00,100.773,101.023,100.353,100.373,898,28,0
2026-04-01 13:45:00,2026-04-01 11:45:00,100.363,100.613,99.903,100.423,904,28,0
2026-04-01 14:00:00,2026-04-01 12:00:00,100.423,100.603,100.113,100.253,680,28,0
2026-04-01 14:15:00,2026-04-01 12:15:00,100.253,100.553,99.563,99.613,819,28,0
2026-04-01 14:30:00,2026-04-01 12:30:00,99.613,99.663,98.783,98.993,1239,20,0
2026-04-01 14:45:00,2026-04-01 12:45:00,98.993,99.323,98.833,99.233,898,28,0
2026-04-01 15:00:00,2026-04-01 13:00:00,99.233,99.443,98.533,99.273,1045,28,0
2026-04-01 15:15:00,2026-04-01 13:15:00,99.273,100.023,99.063,99.953,913,28,0
2026-04-01 15:30:00,2026-04-01 13:30:00,99.953,100.703,99.093,99.393,1078,20,0
2026-04-01 15:45:00,2026-04-01 13:45:00,99.393,101.323,99.153,101.053,1889,28,0
2026-04-01 16:00:00,2026-04-01 14:00:00,101.033,101.433,100.573,100.903,1518,20,0
2026-04-01 16:15:00,2026-04-01 14:15:00,100.903,101.343,100.343,100.563,1248,28,0
2026-04-01 16:30:00,2026-04-01 14:30:00,100.573,100.683,99.243,99.903,1822,24,0
2026-04-01 16:45:00,2026-04-01 14:45:00,99.903,100.003,98.893,99.413,1515,28,0
2026-04-01 17:00:00,2026-04-01 15:00:00,99.413,99.873,99.043,99.113,1427,28,0
2026-04-01 17:15:00,2026-04-01 15:15:00,99.113,99.543,98.923,99.313,1291,28,0
2026-04-01 17:30:00,2026-04-01 15:30:00,99.303,99.993,98.683,99.373,1758,20,0
