DateTime_Broker,DateTime_UTC,Open,High,Low,Close,TickVolume,Spread,RealVolume
2026-04-01 01:00:00,2026-03-31 23:00:00,4681.48,4681.81,4662.81,4669.15,1872,14,0
2026-04-01 01:15:00,2026-03-31 23:15:00,4669.16,4686.54,4663.09,4674.50,1856,23,0
2026-04-01 01:30:00,2026-03-31 23:30:00,4674.50,4696.39,4671.02,4684.61,2153,10,0
2026-04-01 01:45:00,2026-03-31 23:45:00,4684.40,4686.83,4661.59,4680.66,2474,10,0
2026-04-01 02:00:00,2026-04-01 00:00:00,4681.13,4682.61,4672.73,4676.13,1688,19,0
2026-04-01 02:15:00,2026-04-01 00:15:00,4676.14,4684.14,4671.89,4682.52,1853,18,0
2026-04-01 02:30:00,2026-04-01 00:30:00,4682.52,4695.01,4682.00,4690.95,2079,10,0
2026-04-01 02:45:00,2026-04-01 00:45:00,4690.95,4700.03,4688.43,4696.23,2239,19,0
2026-04-01 03:00:00,2026-04-01 01:00:00,4696.26,4705.06,4693.47,4703.48,2991,20,0
2026-04-01 03:15:00,2026-04-01 01:15:00,4703.47,4721.89,4702.64,4721.89,3002,13,0
2026-04-01 03:30:00,2026-04-01 01:30:00,4721.89,4722.41,4700.17,4706.87,2728,13,0
2026-04-01 03:45:00,2026-04-01 01:45:00,4706.87,4719.20,4704.45,4710.79,2552,12,0
2026-04-01 04:00:00,2026-04-01 02:00:00,4710.79,4724.10,4689.65,4708.16,3724,12,0
2026-04-01 04:15:00,2026-04-01 02:15:00,4708.01,4708.47,4692.36,4708.23,3311,19,0
2026-04-01 04:30:00,2026-04-01 02:30:00,4708.23,4708.35,4681.39,4687.74,3232,23,0
2026-04-01 04:45:00,2026-04-01 02:45:00,4687.71,4696.93,4686.29,4692.63,3026,15,0
2026-04-01 05:00:00,2026-04-01 03:00:00,4692.66,4700.50,4686.90,4693.88,2840,15,0
2026-04-01 05:15:00,2026-04-01 03:15:00,4693.88,4697.54,4683.42,4687.30,2164,13,0
2026-04-01 05:30:00,2026-04-01 03:30:00,4687.13,4690.26,4678.09,4681.66,2636,15,0
2026-04-01 05:45:00,2026-04-01 03:45:00,4681.60,4689.67,4678.41,4684.39,2452,15,0
2026-04-01 06:00:00,2026-04-01 04:00:00,4684.38,4692.86,4682.57,4689.52,2833,10,0
2026-04-01 06:15:00,2026-04-01 04:15:00,4689.50,4694.27,4684.33,4687.44,2237,13,0
2026-04-01 06:30:00,2026-04-01 04:30:00,4687.41,4688.82,4683.17,4686.91,1920,13,0
2026-04-01 06:45:00,2026-04-01 04:45:00,4686.91,4688.58,4679.54,4681.84,1975,20,0
2026-04-01 07:00:00,2026-04-01 05:00:00,4681.85,4682.01,4672.99,4673.78,1739,21,0
2026-04-01 07:15:00,2026-04-01 05:15:00,4673.83,4674.00,4666.96,4672.34,1935,21,0
2026-04-01 07:30:00,2026-04-01 05:30:00,4672.34,4677.01,4669.09,4676.82,1651,21,0
2026-04-01 07:45:00,2026-04-01 05:45:00,4676.86,4681.48,4672.83,4676.35,1650,18,0
2026-04-01 08:00:00,2026-04-01 06:00:00,4676.37,4684.73,4674.86,4682.54,1767,19,0
2026-04-01 08:15:00,2026-04-01 06:15:00,4682.54,4689.98,4680.41,4686.19,2312,10,0
2026-04-01 08:30:00,2026-04-01 06:30:00,4686.19,4703.44,4686.19,4702.15,2887,13,0
2026-04-01 08:45:00,2026-04-01 06:45:00,4702.16,4703.39,4683.81,4684.21,2521,16,0
2026-04-01 09:00:00,2026-04-01 07:00:00,4684.20,4697.46,4682.63,4697.44,2974,12,0
2026-04-01 09:15:00,2026-04-01 07:15:00,4697.44,4711.37,4692.65,4709.34,2969,10,0
2026-04-01 09:30:00,2026-04-01 07:30:00,4709.32,4712.64,4702.26,4708.67,3012,12,0
2026-04-01 09:45:00,2026-04-01 07:45:00,4708.84,4733.08,4708.79,4730.57,3246,12,0
2026-04-01 10:00:00,2026-04-01 08:00:00,4730.57,4732.64,4714.33,4715.34,3234,10,0
2026-04-01 10:15:00,2026-04-01 08:15:00,4715.35,4725.84,4713.06,4723.05,2669,13,0
2026-04-01 10:30:00,2026-04-01 08:30:00,4723.05,4747.58,4722.11,4730.52,3166,13,0
2026-04-01 10:45:00,2026-04-01 08:45:00,4730.60,4732.78,4709.53,4713.07,3392,14,0
