card_id,report_date,strategy,flags,dud
2026-05-11_Trade_1,2026-05-11,Trade 1 - Daily Directional,CLEAN,False
2026-05-11_Trade_2,2026-05-11,Trade 2 - Pivot pullback (buy daily-S1),CLEAN,False
2026-05-11_Trade_3A,2026-05-11,Trade 3A - Momentum-Pullback (38.2% fib),CLEAN,False
2026-05-12_Trade_1,2026-05-12,Trade 1 - Daily Directional,CLEAN,False
2026-05-12_Trade_2,2026-05-12,"Trade 2 - Pivot (TREND_UP pullback, buy daily P)",CLEAN,False
2026-05-12_Trade_3A,2026-05-12,Trade 3A - Momentum-Pullback (38.2% fib),CLEAN,False
2026-05-13_Trade_1,2026-05-13,Trade 1 - Daily Directional,SUPPRESSED,False
2026-05-13_Trade_2,2026-05-13,"Trade 2 - Pivot (TREND breakout, buy stop)",WARN_R_TINY(0.29xATR)|MISPLACED_STOP(+36.7),False
2026-05-13_Trade_3C,2026-05-13,Trade 3C - Momentum-Breakout (buy stop),WARN_TP3_ORDER,False
2026-05-14_Trade_1,2026-05-14,Trade 1 - Daily Directional,SUPPRESSED,False
2026-05-14_Trade_2,2026-05-14,Trade 2 - Pivot (buy limit weekly P),CLEAN,False
2026-05-14_Trade_3A,2026-05-14,Trade 3A - Momentum-Pullback (38.2% fib),CLEAN,False
2026-05-15_Trade_1,2026-05-15,Trade 1 - Daily Directional,STALE_ANCHOR(-81.2)|MALFORMED_FILL,False
2026-05-15_Trade_2,2026-05-15,"Trade 2 - Pivot (TREND breakout, buy stop)",CLEAN,False
2026-05-15_Trade_3C,2026-05-15,Trade 3C - Momentum-Breakout (buy stop),CLEAN,False
2026-05-18_Trade_1,2026-05-18,Trade 1 - Daily Directional,WARN_R_TINY(0.11xATR)|STALE_ANCHOR(-43.6),False
2026-05-18_Trade_2,2026-05-18,Trade 2 - Pivot fade (sell limit daily R1),DUD_TP2_ORDER,True
2026-05-18_Trade_3C,2026-05-18,"Trade 3C - Transition Breakout (sell stop, conditional)",MISPLACED_STOP(-16.9),False
2026-05-19_Trade_1,2026-05-19,Trade 1 - Daily Directional (mean-reversion),STALE_ANCHOR(+15.8),False
2026-05-19_Trade_2,2026-05-19,Trade 2 - Pivot (buy limit daily S1),WARN_R_TINY(0.30xATR),False
2026-05-19_Trade_3A,2026-05-19,Trade 3A - Momentum-Pullback (layered fib limits),MISPLACED_LIMIT(-49.0),False
2026-05-20_Trade_1,2026-05-20,Trade 1 - Daily Directional,SUPPRESSED,False
2026-05-20_Trade_2,2026-05-20,Trade 2 - Pivot (weekly TREND breakout),CLEAN,False
2026-05-20_Trade_3A,2026-05-20,Trade 3A - Momentum-Pullback (demand-zone retest),CLEAN,False
2026-05-21_Trade_1,2026-05-21,Trade 1 - Daily Directional,WARN_TP3_ORDER|STALE_ANCHOR(-28.9),False
2026-05-21_Trade_2,2026-05-21,Trade 2 - Pivot (TRANSITION breakout side),CLEAN,False
2026-05-21_Trade_3C,2026-05-21,Trade 3C - Range Breakout (conditional),WARN_R_HUGE(3.54xATR)|WARN_TARGET_FAR(5.42xATR),False
2026-05-22_Trade_1,2026-05-22,Trade 1 - Daily Directional,SUPPRESSED,False
2026-05-22_Trade_2,2026-05-22,Trade 2 - Pivot (TRANSITION breakout side),MISPLACED_STOP(+55.9),False
2026-05-22_Trade_3C,2026-05-22,Trade 3C - Momentum-Breakout (conditional),WARN_R_HUGE(4.13xATR)|WARN_TARGET_FAR(6.18xATR),False
2026-05-25_Trade_1,2026-05-25,Trade 1 - Daily Directional,STALE_ANCHOR(+75.6),False
2026-05-25_Trade_2,2026-05-25,"Trade 2 - Pivot (TREND breakout, buy stop)",WARN_R_TINY(0.26xATR)|MISPLACED_STOP(+101.6),False
2026-05-25_Trade_3A,2026-05-25,Trade 3A - Momentum-Pullback (57.5% fib),CLEAN,False
2026-05-26_Trade_1,2026-05-26,Trade 1 - Daily Directional,STALE_ANCHOR(+64.2),False
2026-05-26_Trade_2,2026-05-26,"Trade 2 - Pivot (TRANSITION breakout, buy stop)",WARN_R_TINY(0.27xATR)|MISPLACED_STOP(+77.4),False
2026-05-26_Trade_3C,2026-05-26,Trade 3C - Range Breakout (conditional),WARN_R_HUGE(5.01xATR)|WARN_TARGET_FAR(7.60xATR),False
2026-05-27_Trade_1,2026-05-27,Trade 1 - Daily Directional,WARN_TP3_ORDER,False
2026-05-27_Trade_2,2026-05-27,Trade 2 - Pivot (TREND_UP),CLEAN,False
2026-05-27_Trade_3A,2026-05-27,Trade 3A - Momentum-Pullback (57.5% fib),CLEAN,False
2026-05-28_Trade_1,2026-05-28,Trade 1 - Daily Directional,CLEAN,False
2026-05-28_Trade_2,2026-05-28,Trade 2 - Pivot (daily P / weekly R1 retest),CLEAN,False
2026-05-28_Trade_3A,2026-05-28,Trade 3A - Momentum-Pullback,CLEAN,False
2026-05-29_Trade_1,2026-05-29,Trade 1 - Daily Directional,CLEAN,False
2026-05-29_Trade_2,2026-05-29,Trade 2 - Pivot (buy limit daily P),CLEAN,False
2026-05-29_Trade_3A,2026-05-29,Trade 3A - Momentum-Pullback (breakout stop),MISPLACED_STOP(+4.3),False
2026-06-01_Trade_1,2026-06-01,Trade 1 - Daily Directional (breakout stop),MISPLACED_STOP(+10.5),False
2026-06-01_Trade_2,2026-06-01,Trade 2 - Pivot (buy limit daily P),CLEAN,False
