report_date,c1,c2,c3,c4,c5,total,band,override,card_integrity,n_cards,n_duds,n_warns,total_recomputed,total_uncapped,cap_convention
2026-05-11,5,5,3,4,4,86,High,none,100.0,3.0,0.0,0.0,86,86,n/a
2026-05-12,2,5,3,4,3,71,Moderate,none,96.67,3.0,0.0,1.0,71,71,n/a
2026-05-13,5,5,1,3,4,71,Moderate,none,96.67,3.0,0.0,1.0,71,71,n/a
2026-05-14,4,4,2,4,5,76,High,none,100.0,3.0,0.0,0.0,76,76,n/a
2026-05-15,4,5,2,4,4,77,High,none,96.67,3.0,0.0,1.0,77,77,n/a
2026-05-18,3,4,2,4,3,67,Moderate,restriction_breach,96.67,3.0,0.0,1.0,67,67,n/a
2026-05-19,3,5,2,4,3,70,Moderate,restriction_breach,100.0,3.0,0.0,0.0,70,70,n/a
2026-05-20,2,4,1,3,2,49,Low,restriction_breach,96.67,3.0,0.0,1.0,49,49,n/a
2026-05-21,4,5,2,4,4,77,High,none,96.67,3.0,0.0,1.0,77,77,n/a
2026-05-22,3,4,2,4,4,70,Moderate,none,93.3,3.0,0.0,2.0,70,70,n/a
2026-05-25,3,5,3,4,4,79,High,none,100.0,3.0,0.0,0.0,79,79,n/a
2026-05-26,4,5,2,4,4,77,High,none,100.0,3.0,0.0,0.0,77,77,n/a
2026-05-27,3,5,3,4,4,79,High,none,86.7,3.0,1.0,86.7,79,79,n/a
2026-05-28,3,4,2,3,3,63,Moderate,none,100.0,3.0,0.0,0.0,63,63,n/a
2026-05-29,3,4,3,4,3,73,Moderate,restriction_breach,100.0,3.0,0.0,0.0,73,73,n/a
2026-06-01,3,4,3,3,3,69,Moderate,restriction_breach,100.0,3.0,0.0,0.0,69,69,n/a
2026-06-02,4,4,2,2,4,65,Moderate,none,100.0,3.0,0.0,0.0,65,65,n/a
2026-06-03,2,4,2,4,2,58,Low,restriction_breach,100.0,3.0,0.0,0.0,58,58,n/a
2026-06-04,4,4,3,4,5,82,High,none,86.7,3.0,1.0,0.0,82,82,n/a
2026-06-05,4,4,2,4,4,74,Moderate,none,95.0,3.0,0.0,1.0,74,74,n/a
2026-06-08,4,4,3,4,5,82,High,none,86.7,3.0,1.0,0.0,82,82,n/a
2026-06-09,5,4,3,4,4,83,High,none,100.0,3.0,0.0,0.0,83,83,n/a
2026-06-10,4,4,2,4,5,76,High,none,100.0,3.0,0.0,0.0,76,76,n/a
2026-06-11,4,3,0,4,5,62,Moderate,none,100.0,3.0,0.0,0.0,62,62,n/a
2026-06-15,4,4,3,3,3,73,Moderate,none,96.67,3.0,0.0,1.0,73,73,n/a
2026-06-16,4,5,2,4,4,77,High,none,95.0,3.0,0.0,1.0,77,77,n/a
2026-06-17,3,4,2,4,3,67,Moderate,restriction_breach,100.0,3.0,0.0,0.0,67,67,n/a
2026-06-18,4,3,2,3,4,66,Moderate,none,95.0,3.0,0.0,1.0,66,66,n/a
2026-06-19,3,2,3,4,4,67,Moderate,none,86.67,3.0,1.0,0.0,67,67,n/a
2026-06-23,4,4,3,4,4,80,High,none,100.0,3.0,0.0,0.0,80,80,n/a
2026-06-24,3,3,1,2,3,49,Low,restriction_breach,100.0,3.0,0.0,0.0,49,49,n/a
2026-06-25,4,4,2,4,4,74,Moderate,restriction_breach,100.0,3.0,0.0,0.0,74,74,n/a
