card_id,report_date,strategy,flags,dud
2026-05-11_Trade_1,2026-05-11,Trade 1 - Daily Directional (LONG),CLEAN,False
2026-05-11_Trade_2,2026-05-11,"Trade 2 - Pivot, TREND branch (long above daily P)",MISPLACED_LIMIT(-3.4),False
2026-05-11_Trade_3A,2026-05-11,"Trade 3A - Momentum-Pullback (57.5% fib retracement, TREND_UP fork)",CLEAN,False
2026-05-12_Trade_1,2026-05-12,"Trade 1 - Daily Directional (LONG, TREND_UP)",STALE_ANCHOR(-16.2),False
2026-05-12_Trade_2,2026-05-12,"Trade 2 - Pivot, TREND branch (TREND_UP long across the pivot)",MISPLACED_LIMIT(-7.9),False
2026-05-12_Trade_3A,2026-05-12,"Trade 3A - Momentum-Pullback (57.5% fib retrace, TREND_UP fork)",CLEAN,False
2026-05-13_Trade_1,2026-05-13,Trade 1 - Daily Directional,SUPPRESSED,False
2026-05-13_Trade_2,2026-05-13,"Trade 2 - Pivot, TRANSITION breakout-side (long)",CLEAN,False
2026-05-13_Trade_3C,2026-05-13,Trade 3C - Momentum-Breakout (TRANSITION fork),SUPPRESSED,False
2026-05-14_Trade_1,2026-05-14,Trade 1 - Daily Directional,SUPPRESSED,False
2026-05-14_Trade_2,2026-05-14,"Trade 2 - Pivot, TREND branch (daily floor pivots)",CLEAN,False
2026-05-14_Trade_3A,2026-05-14,Trade 3A - Momentum-Pullback (57.5% fib retracement),CLEAN,False
2026-05-15_Trade_1,2026-05-15,Trade 1 - Daily Directional,STALE_ANCHOR(-60.5)|MALFORMED_FILL,False
2026-05-15_Trade_2,2026-05-15,"Trade 2 - Pivot, regime-aware (TREND branch)",MISPLACED_LIMIT(-53.2),False
2026-05-15_Trade_3A,2026-05-15,Trade 3A - Momentum-Pullback (fib retracement),CLEAN,False
2026-05-18_Trade_1,2026-05-18,Trade 1 - Daily Directional,SUPPRESSED,False
2026-05-18_Trade_2,2026-05-18,"Trade 2 - Pivot, TRANSITION breakout side (sell limit below daily P)",CLEAN,False
