card_id,report_date,strategy,family,direction,policy,fill_status,entry_rule,fill_ts,fill_px,R_points,risk_vs_card,units,blended_R,blended_R_card
2026-05-11_Trade_1,2026-05-11,Trade 1 - Daily Directional,Trade 1,LONG,band0845,FILLED,WAITED for return to entry,2026-05-12 09:15:00,7398.93,77.73,1.0,3,1.013,1.013
2026-05-11_Trade_2,2026-05-11,Trade 2 - Pivot pullback (buy daily-S1),Trade 2,LONG,band0845,FILLED,WAITED for return to entry,2026-05-12 18:15:00,7358.92,40.01,1.0,3,1.376,1.376
2026-05-11_Trade_3A,2026-05-11,Trade 3A - Momentum-Pullback (38.2% fib),Trade 3A,LONG,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-12_Trade_1,2026-05-12,Trade 1 - Daily Directional,Trade 1,LONG,band0845,FILLED,WAITED for return to entry,2026-05-13 15:30:00,7412.8,68.8,1.0,3,0.221,0.221
2026-05-12_Trade_2,2026-05-12,"Trade 2 - Pivot (TREND_UP pullback, buy daily P)",Trade 2,LONG,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-12_Trade_3A,2026-05-12,Trade 3A - Momentum-Pullback (38.2% fib),Trade 3A,LONG,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-13_Trade_1,2026-05-13,Trade 1 - Daily Directional,Trade 1,n/a,band0845,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-13_Trade_2,2026-05-13,"Trade 2 - Pivot (TREND breakout, buy stop)",Trade 2,LONG,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-13_Trade_3C,2026-05-13,Trade 3C - Momentum-Breakout (buy stop),Trade 3C,LONG,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-14_Trade_1,2026-05-14,Trade 1 - Daily Directional,Trade 1,n/a,band0845,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-14_Trade_2,2026-05-14,Trade 2 - Pivot (buy limit weekly P),Trade 2,LONG,band0845,FILLED,WAITED for return to entry,2026-05-15 23:00:00,7402.0,35.0,1.0,3,-0.678,-0.678
2026-05-14_Trade_3A,2026-05-14,Trade 3A - Momentum-Pullback (38.2% fib),Trade 3A,LONG,band0845,FILLED,WAITED for return to entry,2026-05-15 11:30:00,7422.0,44.0,1.0,3,-0.462,-0.462
2026-05-15_Trade_1,2026-05-15,Trade 1 - Daily Directional,Trade 1,LONG,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-15_Trade_2,2026-05-15,"Trade 2 - Pivot (TREND breakout, buy stop)",Trade 2,LONG,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-15_Trade_3C,2026-05-15,Trade 3C - Momentum-Breakout (buy stop),Trade 3C,LONG,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-18_Trade_1,2026-05-18,Trade 1 - Daily Directional,Trade 1,SHORT,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-18_Trade_2,2026-05-18,Trade 2 - Pivot fade (sell limit daily R1),Trade 2,SHORT,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-18_Trade_3C,2026-05-18,"Trade 3C - Transition Breakout (sell stop, conditional)",Trade 3C,SHORT,band0845,FILLED,WAITED for return to entry,2026-05-19 08:45:00,7386.25,73.1,1.0,3,-1.0,-1.0
2026-05-19_Trade_1,2026-05-19,Trade 1 - Daily Directional (mean-reversion),Trade 1,LONG,band0845,FILLED,IN BAND (+0.65R) market at 08:45,2026-05-20 08:45:00,7358.9,23.9,0.351,3,5.862,1.41
2026-05-19_Trade_2,2026-05-19,Trade 2 - Pivot (buy limit daily S1),Trade 2,LONG,band0845,FILLED,IN BAND (+0.54R) market at 08:45,2026-05-20 08:45:00,7358.9,10.9,0.457,3,7.655,2.955
2026-05-19_Trade_3A,2026-05-19,Trade 3A - Momentum-Pullback (layered fib limits),Trade 3A,LONG,band0845,FILLED,RECOVERY to entry-0.5R (7397.75),2026-05-20 15:15:00,7397.75,37.75,0.5,3,3.415,1.207
2026-05-20_Trade_1,2026-05-20,Trade 1 - Daily Directional,Trade 1,n/a,band0845,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-20_Trade_2,2026-05-20,Trade 2 - Pivot (weekly TREND breakout),Trade 2,LONG,band0845,FILLED,IN BAND (+0.13R) market at 08:45,2026-05-21 08:45:00,7433.1,60.18,0.869,3,0.943,0.689
2026-05-20_Trade_3A,2026-05-20,Trade 3A - Momentum-Pullback (demand-zone retest),Trade 3A,LONG,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-21_Trade_1,2026-05-21,Trade 1 - Daily Directional,Trade 1,LONG,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-21_Trade_2,2026-05-21,Trade 2 - Pivot (TRANSITION breakout side),Trade 2,LONG,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-21_Trade_3C,2026-05-21,Trade 3C - Range Breakout (conditional),Trade 3C,LONG,band0845,FILLED,WAITED for return to entry,2026-05-26 10:30:00,7515.81,290.7,1.0,3,0.775,0.775
2026-05-22_Trade_1,2026-05-22,Trade 1 - Daily Directional,Trade 1,n/a,band0845,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-22_Trade_2,2026-05-22,Trade 2 - Pivot (TRANSITION breakout side),Trade 2,LONG,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-22_Trade_3C,2026-05-22,Trade 3C - Momentum-Breakout (conditional),Trade 3C,LONG,band0845,FILLED,IN BAND (+0.03R) market at 08:45,2026-05-26 08:45:00,7527.0,334.0,0.965,3,0.641,0.584
