card_id,report_date,strategy,family,direction,entry_mode,entry,stop,tp1,tp2,tp3,card_R_points,policy,source,fill_status,entry_session,entry_rule,fill_reason,fill_ts,fill_px,R_points,risk_vs_card,unit,exit_px,exit_ts,exit_reason,R,R_card
2026-05-11_Trade_1,2026-05-11,Trade 1 - Daily Directional,Trade 1,LONG,MARKET,7398.93,7321.2,7476.66,7554.39,7626.93,77.73,card,baseline,FILLED,2026-05-12,MARKET at 09:00 open,,2026-05-12 09:00:00,7403.5,82.3,1.059,Unit 1,7476.66,2026-05-14 13:00:00,TP1 reached,0.889,1.0
2026-05-11_Trade_1,2026-05-11,Trade 1 - Daily Directional,Trade 1,LONG,MARKET,7398.93,7321.2,7476.66,7554.39,7626.93,77.73,card,baseline,FILLED,2026-05-12,MARKET at 09:00 open,,2026-05-12 09:00:00,7403.5,82.3,1.059,Unit 2,7554.39,2026-05-25 15:15:00,TP2 reached,1.833,2.0
2026-05-11_Trade_1,2026-05-11,Trade 1 - Daily Directional,Trade 1,LONG,MARKET,7398.93,7321.2,7476.66,7554.39,7626.93,77.73,card,baseline,FILLED,2026-05-12,MARKET at 09:00 open,,2026-05-12 09:00:00,7403.5,82.3,1.059,Unit 3,7402.0,2026-05-12 23:45:00,card runner time-stop at entry-session close,-0.018,0.039
2026-05-11_Trade_2,2026-05-11,Trade 2 - Pivot pullback (buy daily-S1),Trade 2,LONG,LIMIT,7358.92,7318.91,7380.21,7420.22,7441.51,40.01,card,baseline,FILLED,2026-05-12,LIMIT touched,,2026-05-12 18:15:00,7358.92,40.01,1.0,Unit 1,7380.21,2026-05-12 21:15:00,TP1 reached,0.532,0.532
2026-05-11_Trade_2,2026-05-11,Trade 2 - Pivot pullback (buy daily-S1),Trade 2,LONG,LIMIT,7358.92,7318.91,7380.21,7420.22,7441.51,40.01,card,baseline,FILLED,2026-05-12,LIMIT touched,,2026-05-12 18:15:00,7358.92,40.01,1.0,Unit 2,7420.22,2026-05-13 07:45:00,TP2 reached,1.532,1.532
2026-05-11_Trade_2,2026-05-11,Trade 2 - Pivot pullback (buy daily-S1),Trade 2,LONG,LIMIT,7358.92,7318.91,7380.21,7420.22,7441.51,40.01,card,baseline,FILLED,2026-05-12,LIMIT touched,,2026-05-12 18:15:00,7358.92,40.01,1.0,Unit 3,7441.51,2026-05-13 19:15:00,runner target reached,2.064,2.064
2026-05-11_Trade_3A,2026-05-11,Trade 3A - Momentum-Pullback (38.2% fib),Trade 3A,LONG,LIMIT,7316.24,7258.56,7373.91,7401.5,7486.76,57.68,card,baseline,NO FILL,2026-05-12,,LIMIT 7316.24 not reached from 09:00 to 23:00 on 2026-05-12 (range 7345.3-7415.5),,,,,All,,,,0.0,0.0
2026-05-12_Trade_1,2026-05-12,Trade 1 - Daily Directional,Trade 1,LONG,MARKET,7412.8,7344.0,7481.6,7550.4,7575.0,68.8,card,baseline,FILLED,2026-05-13,MARKET at 09:00 open,,2026-05-13 09:00:00,7421.8,77.8,1.131,Unit 1,7481.6,2026-05-14 15:15:00,TP1 reached,0.769,1.0
2026-05-12_Trade_1,2026-05-12,Trade 1 - Daily Directional,Trade 1,LONG,MARKET,7412.8,7344.0,7481.6,7550.4,7575.0,68.8,card,baseline,FILLED,2026-05-13,MARKET at 09:00 open,,2026-05-13 09:00:00,7421.8,77.8,1.131,Unit 2,7344.0,2026-05-19 17:15:00,stopped out,-1.0,-1.0
2026-05-12_Trade_1,2026-05-12,Trade 1 - Daily Directional,Trade 1,LONG,MARKET,7412.8,7344.0,7481.6,7550.4,7575.0,68.8,card,baseline,FILLED,2026-05-13,MARKET at 09:00 open,,2026-05-13 09:00:00,7421.8,77.8,1.131,Unit 3,7458.5,2026-05-13 23:45:00,card runner time-stop at entry-session close,0.472,0.664
2026-05-12_Trade_2,2026-05-12,"Trade 2 - Pivot (TREND_UP pullback, buy daily P)",Trade 2,LONG,LIMIT,7378.0,7344.0,7412.0,7446.0,7460.9,34.0,card,baseline,NO FILL,2026-05-13,,LIMIT 7378.0 not reached from 09:00 to 23:00 on 2026-05-13 (range 7381.5-7466.0),,,,,All,,,,0.0,0.0
2026-05-12_Trade_3A,2026-05-12,Trade 3A - Momentum-Pullback (38.2% fib),Trade 3A,LONG,LIMIT,7362.0,7310.0,7381.9,7429.0,7626.0,52.0,card,baseline,NO FILL,2026-05-13,,LIMIT 7362.0 not reached from 09:00 to 23:00 on 2026-05-13 (range 7381.5-7466.0),,,,,All,,,,0.0,0.0
2026-05-13_Trade_1,2026-05-13,Trade 1 - Daily Directional,Trade 1,n/a,MARKET,,,,,,,card,baseline,SUPPRESSED,,,,,,,,All,,,,0.0,0.0
2026-05-13_Trade_2,2026-05-13,"Trade 2 - Pivot (TREND breakout, buy stop)",Trade 2,LONG,STOP,7385.06,7363.09,7423.12,7434.21,7445.29,21.97,card,baseline,FILLED,2026-05-14,STOP already marketable at 09:00 - filled at open,,2026-05-14 09:00:00,7466.1,103.01,4.689,Unit 1,7423.12,2026-05-14 09:00:00,TP1 reached,-0.417,1.732
2026-05-13_Trade_2,2026-05-13,"Trade 2 - Pivot (TREND breakout, buy stop)",Trade 2,LONG,STOP,7385.06,7363.09,7423.12,7434.21,7445.29,21.97,card,baseline,FILLED,2026-05-14,STOP already marketable at 09:00 - filled at open,,2026-05-14 09:00:00,7466.1,103.01,4.689,Unit 2,7434.21,2026-05-14 09:00:00,TP2 reached,-0.31,2.237
2026-05-13_Trade_2,2026-05-13,"Trade 2 - Pivot (TREND breakout, buy stop)",Trade 2,LONG,STOP,7385.06,7363.09,7423.12,7434.21,7445.29,21.97,card,baseline,FILLED,2026-05-14,STOP already marketable at 09:00 - filled at open,,2026-05-14 09:00:00,7466.1,103.01,4.689,Unit 3,7445.29,2026-05-14 09:00:00,runner target reached,-0.202,2.741
