card_id,report_date,strategy,family,direction,policy,fill_status,entry_rule,fill_ts,fill_px,R_points,risk_vs_card,units,blended_R,blended_R_card
2026-05-11_Trade_1,2026-05-11,Trade 1 - Daily Directional,Trade 1,LONG,midnight,FILLED,MARKET at 02:00 open,2026-05-12 02:00:00,7423.0,101.8,1.31,3,0.537,1.013
2026-05-11_Trade_2,2026-05-11,Trade 2 - Pivot pullback (buy daily-S1),Trade 2,LONG,midnight,FILLED,LIMIT touched,2026-05-12 18:15:00,7358.92,40.01,1.0,3,1.376,1.376
2026-05-11_Trade_3A,2026-05-11,Trade 3A - Momentum-Pullback (38.2% fib),Trade 3A,LONG,midnight,NO FILL,,,,,,1,0.0,0.0
2026-05-12_Trade_1,2026-05-12,Trade 1 - Daily Directional,Trade 1,LONG,midnight,FILLED,MARKET at 02:00 open,2026-05-13 02:00:00,7404.0,60.0,0.872,3,0.4,0.221
2026-05-12_Trade_2,2026-05-12,"Trade 2 - Pivot (TREND_UP pullback, buy daily P)",Trade 2,LONG,midnight,NO FILL,,,,,,1,0.0,0.0
2026-05-12_Trade_3A,2026-05-12,Trade 3A - Momentum-Pullback (38.2% fib),Trade 3A,LONG,midnight,NO FILL,,,,,,1,0.0,0.0
2026-05-13_Trade_1,2026-05-13,Trade 1 - Daily Directional,Trade 1,n/a,midnight,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-13_Trade_2,2026-05-13,"Trade 2 - Pivot (TREND breakout, buy stop)",Trade 2,LONG,midnight,FILLED,STOP already marketable at 02:00 - filled at open,2026-05-14 02:00:00,7461.9,98.81,4.497,3,-0.28,2.237
2026-05-13_Trade_3C,2026-05-13,Trade 3C - Momentum-Breakout (buy stop),Trade 3C,LONG,midnight,FILLED,STOP already marketable at 02:00 - filled at open,2026-05-14 02:00:00,7461.9,126.9,1.308,3,-0.046,0.248
2026-05-14_Trade_1,2026-05-14,Trade 1 - Daily Directional,Trade 1,n/a,midnight,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-14_Trade_2,2026-05-14,Trade 2 - Pivot (buy limit weekly P),Trade 2,LONG,midnight,FILLED,LIMIT touched,2026-05-15 23:00:00,7402.0,35.0,1.0,3,-0.678,-0.678
2026-05-14_Trade_3A,2026-05-14,Trade 3A - Momentum-Pullback (38.2% fib),Trade 3A,LONG,midnight,FILLED,LIMIT touched,2026-05-15 11:30:00,7422.0,44.0,1.0,3,-0.462,-0.462
2026-05-15_Trade_1,2026-05-15,Trade 1 - Daily Directional,Trade 1,LONG,midnight,SKIPPED_MALFORMED,MARKET at 02:00 open,2026-05-18 02:00:00,7413.7,39.89,0.831,1,0.0,0.0
2026-05-15_Trade_2,2026-05-15,"Trade 2 - Pivot (TREND breakout, buy stop)",Trade 2,LONG,midnight,NO FILL,,,,,,1,0.0,0.0
2026-05-15_Trade_3C,2026-05-15,Trade 3C - Momentum-Breakout (buy stop),Trade 3C,LONG,midnight,NO FILL,,,,,,1,0.0,0.0
2026-05-18_Trade_1,2026-05-18,Trade 1 - Daily Directional,Trade 1,SHORT,midnight,FILLED,MARKET at 02:00 open,2026-05-19 02:00:00,7418.9,47.2,5.37,3,-0.29,2.815
2026-05-18_Trade_2,2026-05-18,Trade 2 - Pivot fade (sell limit daily R1),Trade 2,SHORT,midnight,NO FILL,,,,,,1,0.0,0.0
2026-05-18_Trade_3C,2026-05-18,"Trade 3C - Transition Breakout (sell stop, conditional)",Trade 3C,SHORT,midnight,FILLED,STOP touched,2026-05-19 07:15:00,7386.25,73.1,1.0,3,-1.0,-1.0
2026-05-19_Trade_1,2026-05-19,Trade 1 - Daily Directional (mean-reversion),Trade 1,LONG,midnight,FILLED,MARKET at 02:00 open,2026-05-20 02:00:00,7360.3,25.3,0.372,3,5.482,1.41
