card_id,report_date,strategy,family,direction,entry_mode,entry,stop,tp1,tp2,tp3,card_R_points,policy,source,fill_status,entry_session,entry_rule,fill_reason,fill_ts,fill_px,R_points,risk_vs_card,unit,exit_px,exit_ts,exit_reason,R,R_card
2026-05-11_Trade_1,2026-05-11,Trade 1 - Daily Directional,Trade 1,LONG,MARKET,7398.93,7321.2,7476.66,7554.39,7626.93,77.73,usopen,baseline,FILLED,2026-05-12,MARKET at 16:30 open,,2026-05-12 16:30:00,7396.3,75.1,0.966,Unit 1,7476.66,2026-05-14 13:00:00,TP1 reached,1.07,1.0
2026-05-11_Trade_1,2026-05-11,Trade 1 - Daily Directional,Trade 1,LONG,MARKET,7398.93,7321.2,7476.66,7554.39,7626.93,77.73,usopen,baseline,FILLED,2026-05-12,MARKET at 16:30 open,,2026-05-12 16:30:00,7396.3,75.1,0.966,Unit 2,7554.39,2026-05-25 15:15:00,TP2 reached,2.105,2.0
2026-05-11_Trade_1,2026-05-11,Trade 1 - Daily Directional,Trade 1,LONG,MARKET,7398.93,7321.2,7476.66,7554.39,7626.93,77.73,usopen,baseline,FILLED,2026-05-12,MARKET at 16:30 open,,2026-05-12 16:30:00,7396.3,75.1,0.966,Unit 3,7402.0,2026-05-12 23:45:00,card runner time-stop at entry-session close,0.076,0.039
2026-05-11_Trade_2,2026-05-11,Trade 2 - Pivot pullback (buy daily-S1),Trade 2,LONG,LIMIT,7358.92,7318.91,7380.21,7420.22,7441.51,40.01,usopen,baseline,FILLED,2026-05-12,LIMIT touched,,2026-05-12 18:15:00,7358.92,40.01,1.0,Unit 1,7380.21,2026-05-12 21:15:00,TP1 reached,0.532,0.532
2026-05-11_Trade_2,2026-05-11,Trade 2 - Pivot pullback (buy daily-S1),Trade 2,LONG,LIMIT,7358.92,7318.91,7380.21,7420.22,7441.51,40.01,usopen,baseline,FILLED,2026-05-12,LIMIT touched,,2026-05-12 18:15:00,7358.92,40.01,1.0,Unit 2,7420.22,2026-05-13 07:45:00,TP2 reached,1.532,1.532
2026-05-11_Trade_2,2026-05-11,Trade 2 - Pivot pullback (buy daily-S1),Trade 2,LONG,LIMIT,7358.92,7318.91,7380.21,7420.22,7441.51,40.01,usopen,baseline,FILLED,2026-05-12,LIMIT touched,,2026-05-12 18:15:00,7358.92,40.01,1.0,Unit 3,7441.51,2026-05-13 19:15:00,runner target reached,2.064,2.064
2026-05-11_Trade_3A,2026-05-11,Trade 3A - Momentum-Pullback (38.2% fib),Trade 3A,LONG,LIMIT,7316.24,7258.56,7373.91,7401.5,7486.76,57.68,usopen,baseline,NO FILL,2026-05-12,,LIMIT 7316.24 not reached from 16:30 to 23:00 on 2026-05-12 (range 7345.3-7415.5),,,,,All,,,,0.0,0.0
2026-05-12_Trade_1,2026-05-12,Trade 1 - Daily Directional,Trade 1,LONG,MARKET,7412.8,7344.0,7481.6,7550.4,7575.0,68.8,usopen,baseline,FILLED,2026-05-13,MARKET at 16:30 open,,2026-05-13 16:30:00,7412.0,68.0,0.988,Unit 1,7481.6,2026-05-14 15:15:00,TP1 reached,1.024,1.0
2026-05-12_Trade_1,2026-05-12,Trade 1 - Daily Directional,Trade 1,LONG,MARKET,7412.8,7344.0,7481.6,7550.4,7575.0,68.8,usopen,baseline,FILLED,2026-05-13,MARKET at 16:30 open,,2026-05-13 16:30:00,7412.0,68.0,0.988,Unit 2,7344.0,2026-05-19 17:15:00,stopped out,-1.0,-1.0
2026-05-12_Trade_1,2026-05-12,Trade 1 - Daily Directional,Trade 1,LONG,MARKET,7412.8,7344.0,7481.6,7550.4,7575.0,68.8,usopen,baseline,FILLED,2026-05-13,MARKET at 16:30 open,,2026-05-13 16:30:00,7412.0,68.0,0.988,Unit 3,7458.5,2026-05-13 23:45:00,card runner time-stop at entry-session close,0.684,0.664
