card_id,report_date,strategy,family,direction,policy,fill_status,entry_rule,fill_ts,fill_px,R_points,risk_vs_card,units,blended_R,blended_R_card
2026-05-11_Trade_1,2026-05-11,Trade 1 - Daily Directional,Trade 1,LONG,usopen,FILLED,MARKET at 16:30 open,2026-05-12 16:30:00,7396.3,75.1,0.966,3,1.084,1.013
2026-05-11_Trade_2,2026-05-11,Trade 2 - Pivot pullback (buy daily-S1),Trade 2,LONG,usopen,FILLED,LIMIT touched,2026-05-12 18:15:00,7358.92,40.01,1.0,3,1.376,1.376
2026-05-11_Trade_3A,2026-05-11,Trade 3A - Momentum-Pullback (38.2% fib),Trade 3A,LONG,usopen,NO FILL,,,,,,1,0.0,0.0
2026-05-12_Trade_1,2026-05-12,Trade 1 - Daily Directional,Trade 1,LONG,usopen,FILLED,MARKET at 16:30 open,2026-05-13 16:30:00,7412.0,68.0,0.988,3,0.236,0.221
2026-05-12_Trade_2,2026-05-12,"Trade 2 - Pivot (TREND_UP pullback, buy daily P)",Trade 2,LONG,usopen,NO FILL,,,,,,1,0.0,0.0
2026-05-12_Trade_3A,2026-05-12,Trade 3A - Momentum-Pullback (38.2% fib),Trade 3A,LONG,usopen,NO FILL,,,,,,1,0.0,0.0
2026-05-13_Trade_1,2026-05-13,Trade 1 - Daily Directional,Trade 1,n/a,usopen,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-13_Trade_2,2026-05-13,"Trade 2 - Pivot (TREND breakout, buy stop)",Trade 2,LONG,usopen,FILLED,STOP already marketable at 16:30 - filled at open,2026-05-14 16:30:00,7463.9,100.81,4.589,3,-0.295,2.237
2026-05-13_Trade_3C,2026-05-13,Trade 3C - Momentum-Breakout (buy stop),Trade 3C,LONG,usopen,FILLED,STOP already marketable at 16:30 - filled at open,2026-05-14 16:30:00,7463.9,128.9,1.329,3,-0.061,0.248
2026-05-14_Trade_1,2026-05-14,Trade 1 - Daily Directional,Trade 1,n/a,usopen,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-14_Trade_2,2026-05-14,Trade 2 - Pivot (buy limit weekly P),Trade 2,LONG,usopen,FILLED,LIMIT touched,2026-05-15 23:00:00,7402.0,35.0,1.0,3,-0.678,-0.678
2026-05-14_Trade_3A,2026-05-14,Trade 3A - Momentum-Pullback (38.2% fib),Trade 3A,LONG,usopen,FILLED,LIMIT touched,2026-05-15 16:30:00,7422.0,44.0,1.0,3,-0.462,-0.462
2026-05-15_Trade_1,2026-05-15,Trade 1 - Daily Directional,Trade 1,LONG,usopen,SKIPPED_MALFORMED,MARKET at 16:30 open,2026-05-18 16:30:00,7423.0,30.59,0.637,1,0.0,0.0
2026-05-15_Trade_2,2026-05-15,"Trade 2 - Pivot (TREND breakout, buy stop)",Trade 2,LONG,usopen,NO FILL,,,,,,1,0.0,0.0
2026-05-15_Trade_3C,2026-05-15,Trade 3C - Momentum-Breakout (buy stop),Trade 3C,LONG,usopen,NO FILL,,,,,,1,0.0,0.0
2026-05-18_Trade_1,2026-05-18,Trade 1 - Daily Directional,Trade 1,SHORT,usopen,FILLED,MARKET at 16:30 open,2026-05-19 16:30:00,7371.0,95.1,10.819,3,-0.446,4.994
2026-05-18_Trade_2,2026-05-18,Trade 2 - Pivot fade (sell limit daily R1),Trade 2,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-05-18_Trade_3C,2026-05-18,"Trade 3C - Transition Breakout (sell stop, conditional)",Trade 3C,SHORT,usopen,FILLED,STOP already marketable at 16:30 - filled at open,2026-05-19 16:30:00,7371.0,88.35,1.209,3,-1.0,-1.0
2026-05-19_Trade_1,2026-05-19,Trade 1 - Daily Directional (mean-reversion),Trade 1,LONG,usopen,FILLED,MARKET at 16:30 open,2026-05-20 16:30:00,7379.9,44.9,0.66,3,2.653,1.41
2026-05-19_Trade_2,2026-05-19,Trade 2 - Pivot (buy limit daily S1),Trade 2,LONG,usopen,FILLED,LIMIT touched,2026-05-20 16:30:00,7371.85,23.85,1.0,3,2.955,2.955
2026-05-19_Trade_3A,2026-05-19,Trade 3A - Momentum-Pullback (layered fib limits),Trade 3A,LONG,usopen,FILLED,LIMIT already marketable at 16:30 - filled at open,2026-05-20 16:30:00,7379.9,19.9,0.264,3,7.375,1.207
2026-05-20_Trade_1,2026-05-20,Trade 1 - Daily Directional,Trade 1,n/a,usopen,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-20_Trade_2,2026-05-20,Trade 2 - Pivot (weekly TREND breakout),Trade 2,LONG,usopen,FILLED,STOP touched,2026-05-21 20:15:00,7442.17,69.25,1.0,3,0.689,0.689
2026-05-20_Trade_3A,2026-05-20,Trade 3A - Momentum-Pullback (demand-zone retest),Trade 3A,LONG,usopen,NO FILL,,,,,,1,0.0,0.0
2026-05-21_Trade_1,2026-05-21,Trade 1 - Daily Directional,Trade 1,LONG,usopen,FILLED,MARKET at 16:30 open,2026-05-22 16:30:00,7482.5,156.26,1.464,3,-0.236,0.118
2026-05-21_Trade_2,2026-05-21,Trade 2 - Pivot (TRANSITION breakout side),Trade 2,LONG,usopen,FILLED,STOP already marketable at 16:30 - filled at open,2026-05-22 16:30:00,7482.5,107.49,1.595,3,0.213,0.935
2026-05-21_Trade_3C,2026-05-21,Trade 3C - Range Breakout (conditional),Trade 3C,LONG,usopen,FILLED,MARKET at 16:30 open,2026-05-26 16:30:00,7522.8,297.69,1.024,3,0.734,0.775
2026-05-22_Trade_1,2026-05-22,Trade 1 - Daily Directional,Trade 1,n/a,usopen,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-22_Trade_2,2026-05-22,Trade 2 - Pivot (TRANSITION breakout side),Trade 2,LONG,usopen,FILLED,STOP already marketable at 16:30 - filled at open,2026-05-25 16:30:00,7546.7,191.7,3.195,3,-0.395,0.933
2026-05-22_Trade_3C,2026-05-22,Trade 3C - Momentum-Breakout (conditional),Trade 3C,LONG,usopen,FILLED,MARKET at 16:30 open,2026-05-26 16:30:00,7522.8,329.8,0.953,3,0.662,0.584
2026-05-25_Trade_1,2026-05-25,Trade 1 - Daily Directional,Trade 1,LONG,usopen,FILLED,MARKET at 16:30 open,2026-05-26 16:30:00,7522.8,119.5,1.703,3,0.308,1.228
2026-05-25_Trade_2,2026-05-25,"Trade 2 - Pivot (TREND breakout, buy stop)",Trade 2,LONG,usopen,FILLED,STOP already marketable at 16:30 - filled at open,2026-05-26 16:30:00,7522.8,96.37,4.567,3,-0.438,1.568
2026-05-25_Trade_3A,2026-05-25,Trade 3A - Momentum-Pullback (57.5% fib),Trade 3A,LONG,usopen,NO FILL,,,,,,1,0.0,0.0
2026-05-26_Trade_1,2026-05-26,Trade 1 - Daily Directional,Trade 1,LONG,usopen,FILLED,MARKET at 16:30 open,2026-05-27 16:30:00,7531.0,133.04,1.762,3,0.309,1.307
2026-05-26_Trade_2,2026-05-26,"Trade 2 - Pivot (TRANSITION breakout, buy stop)",Trade 2,LONG,usopen,FILLED,STOP already marketable at 16:30 - filled at open,2026-05-27 16:30:00,7531.0,104.67,4.764,3,-0.465,1.55
2026-05-26_Trade_3C,2026-05-26,Trade 3C - Range Breakout (conditional),Trade 3C,LONG,usopen,FILLED,MARKET at 16:30 open,2026-05-29 16:30:00,7581.1,420.81,1.016,3,0.38,0.402
2026-05-27_Trade_1,2026-05-27,Trade 1 - Daily Directional,Trade 1,LONG,usopen,FILLED,MARKET at 16:30 open,2026-05-28 16:30:00,7525.0,194.65,1.031,3,-0.576,-0.562
2026-05-27_Trade_2,2026-05-27,Trade 2 - Pivot (TREND_UP),Trade 2,LONG,usopen,NO FILL,,,,,,1,0.0,0.0
2026-05-27_Trade_3A,2026-05-27,Trade 3A - Momentum-Pullback (57.5% fib),Trade 3A,LONG,usopen,NO FILL,,,,,,1,0.0,0.0
2026-05-28_Trade_1,2026-05-28,Trade 1 - Daily Directional,Trade 1,LONG,usopen,FILLED,MARKET at 16:30 open,2026-05-29 16:30:00,7581.1,109.9,2.299,3,-0.115,1.034
2026-05-28_Trade_2,2026-05-28,Trade 2 - Pivot (daily P / weekly R1 retest),Trade 2,LONG,usopen,NO FILL,,,,,,1,0.0,0.0
2026-05-28_Trade_3A,2026-05-28,Trade 3A - Momentum-Pullback,Trade 3A,LONG,usopen,NO FILL,,,,,,1,0.0,0.0
2026-05-29_Trade_1,2026-05-29,Trade 1 - Daily Directional,Trade 1,LONG,usopen,NO FILL,,,,,,1,0.0,0.0
2026-05-29_Trade_2,2026-05-29,Trade 2 - Pivot (buy limit daily P),Trade 2,LONG,usopen,NO FILL,,,,,,1,0.0,0.0
2026-05-29_Trade_3A,2026-05-29,Trade 3A - Momentum-Pullback (breakout stop),Trade 3A,LONG,usopen,FILLED,STOP already marketable at 16:30 - filled at open,2026-06-01 16:30:00,7575.2,47.2,1.073,3,-0.379,-0.333
2026-06-01_Trade_1,2026-06-01,Trade 1 - Daily Directional (breakout stop),Trade 1,LONG,usopen,FILLED,STOP touched,2026-06-02 17:00:00,7599.5,36.9,1.0,3,-0.47,-0.47
2026-06-01_Trade_2,2026-06-01,Trade 2 - Pivot (buy limit daily P),Trade 2,LONG,usopen,NO FILL,,,,,,1,0.0,0.0
2026-06-01_Trade_3A,2026-06-01,Trade 3A - Momentum-Pullback (38.2% fib),Trade 3A,LONG,usopen,NO FILL,,,,,,1,0.0,0.0
2026-06-02_Trade_1,2026-06-02,Trade 1 - Daily Directional,Trade 1,LONG,usopen,FILLED,MARKET at 16:30 open,2026-06-03 16:30:00,7602.0,50.49,1.042,3,-1.0,-1.0
2026-06-02_Trade_2,2026-06-02,Trade 2 - Pivot (buy limit daily P),Trade 2,LONG,usopen,FILLED,LIMIT touched,2026-06-03 16:45:00,7580.81,30.05,1.0,3,-1.0,-1.0
2026-06-02_Trade_3A,2026-06-02,Trade 3A - Momentum-Pullback (38.2% fib),Trade 3A,LONG,usopen,NO FILL,,,,,,1,0.0,0.0
2026-06-03_Trade_1,2026-06-03,Trade 1 - Daily Directional,Trade 1,LONG,usopen,FILLED,MARKET at 16:30 open,2026-06-04 16:30:00,7541.3,42.16,0.488,3,-0.344,-0.68
2026-06-03_Trade_2,2026-06-03,Trade 2 - Pivot (buy limit daily P),Trade 2,LONG,usopen,SKIPPED_MALFORMED,LIMIT already marketable at 16:30 - filled at open,2026-06-04 16:30:00,7541.3,16.51,0.38,1,0.0,0.0
2026-06-03_Trade_3A,2026-06-03,Trade 3A - Momentum-Pullback (38.2% fib),Trade 3A,LONG,usopen,FILLED,LIMIT already marketable at 16:30 - filled at open,2026-06-04 16:30:00,7541.3,57.3,0.639,3,-1.0,-1.0
2026-06-04_Trade_1,2026-06-04,Trade 1 - Daily Directional,Trade 1,LONG,usopen,SKIPPED_MALFORMED,MARKET at 16:30 open,2026-06-05 16:30:00,7540.5,33.21,0.921,1,0.0,0.0
2026-06-04_Trade_2,2026-06-04,Trade 2 - Pivot (TREND_UP breakout),Trade 2,LONG,usopen,NO FILL,,,,,,1,0.0,0.0
2026-06-04_Trade_3A,2026-06-04,Trade 3A - Momentum-Pullback (57.5% fib),Trade 3A,LONG,usopen,FILLED,LIMIT already marketable at 16:30 - filled at open,2026-06-05 16:30:00,7540.5,50.0,0.784,3,-1.0,-1.0
2026-06-05_Trade_1,2026-06-05,Trade 1 - Daily Directional,Trade 1,n/a,usopen,SUPPRESSED,,,,,,1,0.0,0.0
