card_id,report_date,strategy,family,direction,policy,fill_status,entry_rule,fill_ts,fill_px,R_points,risk_vs_card,units,blended_R,blended_R_card
2026-05-11_Trade_1,2026-05-11,Trade 1 — Daily Directional (direction-of-the-day expression),Trade 1,LONG,band0845,FILLED,WAITED for return to entry,2026-05-12 08:45:00,4715.0,90.0,1.0,3,-0.666,-0.666
2026-05-11_Trade_2,2026-05-11,"Trade 2 — Pivot (TREND_UP breakout, daily timeframe)",Trade 2,LONG,band0845,FILLED,WAITED for return to entry,2026-05-12 16:15:00,4684.0,38.0,1.0,3,-1.0,-1.0
2026-05-11_Trade_3A,2026-05-11,Trade 3A — Momentum-Pullback,Trade 3A,LONG,band0845,FILLED,WAITED for return to entry,2026-05-12 18:15:00,4651.0,82.0,1.0,3,-1.0,-1.0
2026-05-12_Trade_1,2026-05-12,"Trade 1 — Daily Directional Long (Market at 00:00 UK, 12 May)",Trade 1,LONG,band0845,FILLED,IN BAND (+0.03R) market at 08:45,2026-05-13 08:45:00,4696.79,64.39,0.967,3,-0.708,-0.717
2026-05-12_Trade_2,2026-05-12,Trade 2 — Pivot Trade (TREND_UP fork → trend-pullback long at daily S1.5),Trade 2,LONG,band0845,FILLED,IN BAND (+0.13R) market at 08:45,2026-05-13 08:45:00,4696.79,49.46,0.866,3,-1.0,-1.0
2026-05-12_Trade_3A,2026-05-12,Trade 3A — Momentum-Pullback Long (38.2% fib retrace of the 4-May → 8-May swing),Trade 3A,LONG,band0845,FILLED,WAITED for return to entry,2026-05-13 16:30:00,4673.61,23.84,1.0,3,-1.0,-1.0
2026-05-13_Trade_1,2026-05-13,Trade 1 - Daily Directional (reduced conviction),Trade 1,LONG,band0845,FILLED,WAITED for return to entry,2026-05-14 08:45:00,4695.0,55.0,1.0,3,-1.0,-1.0
2026-05-13_Trade_2,2026-05-13,RANGE FADE: short the upper rail / long the lower rail,Trade 2,SHORT,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-13_Trade_3B,2026-05-13,"Trade 3 - Complex (variant 3B - Mean-Reversion, range regime)",Trade 3B,LONG,band0845,FILLED,WAITED for return to entry,2026-05-14 08:45:00,4690.0,85.0,1.0,3,-1.0,-1.0
2026-05-14_Trade_1,2026-05-14,"Trade 1 — Daily Directional (00:00 UK anchor, 14 May 2026)",Trade 1,SHORT,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-14_Trade_2,2026-05-14,Trade 2 — Regime-aware Pivot (indicative),Trade 2,SHORT,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-14_Trade_3C,2026-05-14,Trade 3 — Complex (3C transition breakout),Trade 3C,SHORT,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-15_Trade_1,2026-05-15,Trade 1 — Daily Directional,Trade 1,SHORT,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-15_Trade_2,2026-05-15,Trade 2 — Pivot (TREND_DOWN: short entry on retest of broken pivot),Trade 2,SHORT,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-15_Trade_3C,2026-05-15,Trade 3C — Momentum-Breakout (regime: TRANSITION; VOLator slope positive disqualifies pure RANGE / 3B mean-reversion),Trade 3C,SHORT,band0845,FILLED,WAITED for return to entry,2026-05-18 15:45:00,4570.0,78.0,1.0,3,0.772,0.772
2026-05-18_Trade_1,2026-05-18,Trade 1 — Daily Directional (score-driven),Trade 1,SHORT,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-18_Trade_2,2026-05-18,"Trade 2 — Pivot (regime-aware) — TRANSITION regime, breakout-side only",Trade 2,SHORT,band0845,FILLED,WAITED for return to entry,2026-05-28 17:45:00,4476.0,100.0,1.0,3,-1.0,-1.0
2026-05-18_Trade_3C,2026-05-18,Trade 3C — Momentum-Breakout (regime_label = TRANSITION),Trade 3C,SHORT,band0845,FILLED,WAITED for return to entry,2026-05-28 17:15:00,4468.0,97.0,1.0,3,-1.0,-1.0
2026-05-19_Trade_1,2026-05-19,"Trade 1 — Daily Directional (SHORT, conviction-based)",Trade 1,SHORT,band0845,FILLED,WAITED for return to entry,2026-05-20 18:15:00,4540.0,57.5,1.0,3,0.978,0.978
2026-05-19_Trade_2,2026-05-19,"Trade 2 — Pivot, Regime-Aware (TREND_DOWN: pivot breakout, SHORT side)",Trade 2,SHORT,band0845,NO FILL,,,,,,1,0.0,0.0
