card_id,report_date,strategy,family,direction,entry_mode,entry,stop,tp1,tp2,tp3,card_R_points,policy,source,fill_status,entry_session,entry_rule,fill_reason,fill_ts,fill_px,R_points,risk_vs_card,unit,exit_px,exit_ts,exit_reason,R,R_card
2026-05-11_Trade_1,2026-05-11,Trade 1 — Daily Directional (direction-of-the-day expression),Trade 1,LONG,MARKET,4715.0,4625.0,4805.0,4895.0,,90.0,band0845,baseline,FILLED,2026-05-12,WAITED for return to entry,,2026-05-12 08:45:00,4715.0,90.0,1.0,Unit 1,4625.0,2026-05-15 03:30:00,stopped out,-1.0,-1.0
2026-05-11_Trade_1,2026-05-11,Trade 1 — Daily Directional (direction-of-the-day expression),Trade 1,LONG,MARKET,4715.0,4625.0,4805.0,4895.0,,90.0,band0845,baseline,FILLED,2026-05-12,WAITED for return to entry,,2026-05-12 08:45:00,4715.0,90.0,1.0,Unit 2,4625.0,2026-05-15 03:30:00,stopped out,-1.0,-1.0
2026-05-11_Trade_1,2026-05-11,Trade 1 — Daily Directional (direction-of-the-day expression),Trade 1,LONG,MARKET,4715.0,4625.0,4805.0,4895.0,,90.0,band0845,baseline,FILLED,2026-05-12,WAITED for return to entry,,2026-05-12 08:45:00,4715.0,90.0,1.0,Unit 3,4715.24,2026-05-12 23:45:00,card runner time-stop at entry-session close,0.003,0.003
2026-05-11_Trade_2,2026-05-11,"Trade 2 — Pivot (TREND_UP breakout, daily timeframe)",Trade 2,LONG,LIMIT,4684.0,4646.0,4728.0,4749.0,4769.0,38.0,band0845,baseline,FILLED,2026-05-12,WAITED for return to entry,,2026-05-12 16:15:00,4684.0,38.0,1.0,Unit 1,4646.0,2026-05-12 18:15:00,stopped out,-1.0,-1.0
2026-05-11_Trade_2,2026-05-11,"Trade 2 — Pivot (TREND_UP breakout, daily timeframe)",Trade 2,LONG,LIMIT,4684.0,4646.0,4728.0,4749.0,4769.0,38.0,band0845,baseline,FILLED,2026-05-12,WAITED for return to entry,,2026-05-12 16:15:00,4684.0,38.0,1.0,Unit 2,4646.0,2026-05-12 18:15:00,stopped out,-1.0,-1.0
2026-05-11_Trade_2,2026-05-11,"Trade 2 — Pivot (TREND_UP breakout, daily timeframe)",Trade 2,LONG,LIMIT,4684.0,4646.0,4728.0,4749.0,4769.0,38.0,band0845,baseline,FILLED,2026-05-12,WAITED for return to entry,,2026-05-12 16:15:00,4684.0,38.0,1.0,Unit 3,4646.0,2026-05-12 18:15:00,stopped out,-1.0,-1.0
2026-05-11_Trade_3A,2026-05-11,Trade 3A — Momentum-Pullback,Trade 3A,LONG,LIMIT,4651.0,4569.0,4751.0,4822.0,4912.0,82.0,band0845,baseline,FILLED,2026-05-12,WAITED for return to entry,,2026-05-12 18:15:00,4651.0,82.0,1.0,Unit 1,4569.0,2026-05-15 08:30:00,stopped out,-1.0,-1.0
2026-05-11_Trade_3A,2026-05-11,Trade 3A — Momentum-Pullback,Trade 3A,LONG,LIMIT,4651.0,4569.0,4751.0,4822.0,4912.0,82.0,band0845,baseline,FILLED,2026-05-12,WAITED for return to entry,,2026-05-12 18:15:00,4651.0,82.0,1.0,Unit 2,4569.0,2026-05-15 08:30:00,stopped out,-1.0,-1.0
2026-05-11_Trade_3A,2026-05-11,Trade 3A — Momentum-Pullback,Trade 3A,LONG,LIMIT,4651.0,4569.0,4751.0,4822.0,4912.0,82.0,band0845,baseline,FILLED,2026-05-12,WAITED for return to entry,,2026-05-12 18:15:00,4651.0,82.0,1.0,Unit 3,4569.0,2026-05-15 08:30:00,stopped out,-1.0,-1.0
2026-05-12_Trade_1,2026-05-12,"Trade 1 — Daily Directional Long (Market at 00:00 UK, 12 May)",Trade 1,LONG,MARKET,4699.0,4632.4,4765.6,4832.2,,66.6,band0845,baseline,FILLED,2026-05-13,IN BAND (+0.03R) market at 08:45,,2026-05-13 08:45:00,4696.79,64.39,0.967,Unit 1,4632.4,2026-05-15 03:15:00,stopped out,-1.0,-1.0
2026-05-12_Trade_1,2026-05-12,"Trade 1 — Daily Directional Long (Market at 00:00 UK, 12 May)",Trade 1,LONG,MARKET,4699.0,4632.4,4765.6,4832.2,,66.6,band0845,baseline,FILLED,2026-05-13,IN BAND (+0.03R) market at 08:45,,2026-05-13 08:45:00,4696.79,64.39,0.967,Unit 2,4632.4,2026-05-15 03:15:00,stopped out,-1.0,-1.0
2026-05-12_Trade_1,2026-05-12,"Trade 1 — Daily Directional Long (Market at 00:00 UK, 12 May)",Trade 1,LONG,MARKET,4699.0,4632.4,4765.6,4832.2,,66.6,band0845,baseline,FILLED,2026-05-13,IN BAND (+0.03R) market at 08:45,,2026-05-13 08:45:00,4696.79,64.39,0.967,Unit 3,4688.88,2026-05-13 23:45:00,card runner time-stop at entry-session close,-0.123,-0.152
2026-05-12_Trade_2,2026-05-12,Trade 2 — Pivot Trade (TREND_UP fork → trend-pullback long at daily S1.5),Trade 2,LONG,LIMIT,4704.45,4647.33,4761.57,4792.43,4828.27,57.12,band0845,baseline,FILLED,2026-05-13,IN BAND (+0.13R) market at 08:45,,2026-05-13 08:45:00,4696.79,49.46,0.866,Unit 1,4647.33,2026-05-14 23:15:00,stopped out,-1.0,-1.0
2026-05-12_Trade_2,2026-05-12,Trade 2 — Pivot Trade (TREND_UP fork → trend-pullback long at daily S1.5),Trade 2,LONG,LIMIT,4704.45,4647.33,4761.57,4792.43,4828.27,57.12,band0845,baseline,FILLED,2026-05-13,IN BAND (+0.13R) market at 08:45,,2026-05-13 08:45:00,4696.79,49.46,0.866,Unit 2,4647.33,2026-05-14 23:15:00,stopped out,-1.0,-1.0
2026-05-12_Trade_2,2026-05-12,Trade 2 — Pivot Trade (TREND_UP fork → trend-pullback long at daily S1.5),Trade 2,LONG,LIMIT,4704.45,4647.33,4761.57,4792.43,4828.27,57.12,band0845,baseline,FILLED,2026-05-13,IN BAND (+0.13R) market at 08:45,,2026-05-13 08:45:00,4696.79,49.46,0.866,Unit 3,4647.33,2026-05-14 23:15:00,stopped out,-1.0,-1.0
2026-05-12_Trade_3A,2026-05-12,Trade 3A — Momentum-Pullback Long (38.2% fib retrace of the 4-May → 8-May swing),Trade 3A,LONG,LIMIT,4673.61,4649.77,4750.75,4827.89,4875.56,23.84,band0845,baseline,FILLED,2026-05-13,WAITED for return to entry,,2026-05-13 16:30:00,4673.61,23.84,1.0,Unit 1,4649.77,2026-05-14 23:00:00,stopped out,-1.0,-1.0
2026-05-12_Trade_3A,2026-05-12,Trade 3A — Momentum-Pullback Long (38.2% fib retrace of the 4-May → 8-May swing),Trade 3A,LONG,LIMIT,4673.61,4649.77,4750.75,4827.89,4875.56,23.84,band0845,baseline,FILLED,2026-05-13,WAITED for return to entry,,2026-05-13 16:30:00,4673.61,23.84,1.0,Unit 2,4649.77,2026-05-14 23:00:00,stopped out,-1.0,-1.0
2026-05-12_Trade_3A,2026-05-12,Trade 3A — Momentum-Pullback Long (38.2% fib retrace of the 4-May → 8-May swing),Trade 3A,LONG,LIMIT,4673.61,4649.77,4750.75,4827.89,4875.56,23.84,band0845,baseline,FILLED,2026-05-13,WAITED for return to entry,,2026-05-13 16:30:00,4673.61,23.84,1.0,Unit 3,4649.77,2026-05-14 23:00:00,stopped out,-1.0,-1.0
2026-05-13_Trade_1,2026-05-13,Trade 1 - Daily Directional (reduced conviction),Trade 1,LONG,MARKET,4695.0,4640.0,4750.0,4805.0,4890.0,55.0,band0845,baseline,FILLED,2026-05-14,WAITED for return to entry,,2026-05-14 08:45:00,4695.0,55.0,1.0,Unit 1,4640.0,2026-05-15 03:15:00,stopped out,-1.0,-1.0
2026-05-13_Trade_1,2026-05-13,Trade 1 - Daily Directional (reduced conviction),Trade 1,LONG,MARKET,4695.0,4640.0,4750.0,4805.0,4890.0,55.0,band0845,baseline,FILLED,2026-05-14,WAITED for return to entry,,2026-05-14 08:45:00,4695.0,55.0,1.0,Unit 2,4640.0,2026-05-15 03:15:00,stopped out,-1.0,-1.0
2026-05-13_Trade_1,2026-05-13,Trade 1 - Daily Directional (reduced conviction),Trade 1,LONG,MARKET,4695.0,4640.0,4750.0,4805.0,4890.0,55.0,band0845,baseline,FILLED,2026-05-14,WAITED for return to entry,,2026-05-14 08:45:00,4695.0,55.0,1.0,Unit 3,4640.0,2026-05-15 03:15:00,stopped out,-1.0,-1.0
2026-05-13_Trade_2,2026-05-13,RANGE FADE: short the upper rail / long the lower rail,Trade 2,SHORT,CONDITIONAL,4800.0,4830.0,4750.0,4705.0,4680.0,30.0,band0845,baseline,NO FILL,2026-05-14,,confirmed close 4688.9 on 2026-05-13; 08:45 4697.4 was -3.42R worse than entry; never returned to entry by cut-off,,,,,All,,,,0.0,0.0
2026-05-13_Trade_3B,2026-05-13,"Trade 3 - Complex (variant 3B - Mean-Reversion, range regime)",Trade 3B,LONG,LIMIT,4690.0,4605.0,4722.0,4773.0,4800.0,,band0845,baseline,FILLED,2026-05-14,WAITED for return to entry,,2026-05-14 08:45:00,4690.0,85.0,1.0,Unit 1,4605.0,2026-05-15 07:30:00,stopped out,-1.0,-1.0
2026-05-13_Trade_3B,2026-05-13,"Trade 3 - Complex (variant 3B - Mean-Reversion, range regime)",Trade 3B,LONG,LIMIT,4690.0,4605.0,4722.0,4773.0,4800.0,,band0845,baseline,FILLED,2026-05-14,WAITED for return to entry,,2026-05-14 08:45:00,4690.0,85.0,1.0,Unit 2,4605.0,2026-05-15 07:30:00,stopped out,-1.0,-1.0
2026-05-13_Trade_3B,2026-05-13,"Trade 3 - Complex (variant 3B - Mean-Reversion, range regime)",Trade 3B,LONG,LIMIT,4690.0,4605.0,4722.0,4773.0,4800.0,,band0845,baseline,FILLED,2026-05-14,WAITED for return to entry,,2026-05-14 08:45:00,4690.0,85.0,1.0,Unit 3,4605.0,2026-05-15 07:30:00,stopped out,-1.0,-1.0
2026-05-14_Trade_1,2026-05-14,"Trade 1 — Daily Directional (00:00 UK anchor, 14 May 2026)",Trade 1,SHORT,MARKET,4688.0,4720.0,4656.0,4624.0,,32.0,band0845,baseline,NO FILL,2026-05-15,,08:45 4568.7 was -3.73R worse than entry; never returned to entry by cut-off,,,,,All,,,,0.0,0.0
2026-05-14_Trade_2,2026-05-14,Trade 2 — Regime-aware Pivot (indicative),Trade 2,SHORT,LIMIT,4716.0,4752.0,4696.0,4659.0,,36.0,band0845,baseline,NO FILL,2026-05-15,,08:45 4568.7 was -4.09R worse than entry; never returned to entry by cut-off,,,,,All,,,,0.0,0.0
2026-05-14_Trade_3C,2026-05-14,Trade 3 — Complex (3C transition breakout),Trade 3C,SHORT,CONDITIONAL,4634.0,4696.0,4548.0,,,62.0,band0845,baseline,NO FILL,2026-05-18,,confirmed close 4538.4 on 2026-05-15; 08:45 4539.6 was -1.52R worse than entry; never returned to entry by cut-off,,,,,All,,,,0.0,0.0
2026-05-15_Trade_1,2026-05-15,Trade 1 — Daily Directional,Trade 1,SHORT,MARKET,4652.0,4790.0,4514.0,4376.0,,138.0,band0845,baseline,NO FILL,2026-05-18,,08:45 4539.6 was -0.81R worse than entry; never returned to entry by cut-off,,,,,All,,,,0.0,0.0
2026-05-15_Trade_2,2026-05-15,Trade 2 — Pivot (TREND_DOWN: short entry on retest of broken pivot),Trade 2,SHORT,LIMIT,4688.0,4725.0,4651.0,4614.0,4665.0,37.0,band0845,baseline,NO FILL,2026-05-18,,08:45 4539.6 was -4.01R worse than entry; never returned to entry by cut-off,,,,,All,,,,0.0,0.0
2026-05-15_Trade_3C,2026-05-15,Trade 3C — Momentum-Breakout (regime: TRANSITION; VOLator slope positive disqualifies pure RANGE / 3B mean-reversion),Trade 3C,SHORT,CONDITIONAL,4570.0,4648.0,4520.0,4455.0,4395.0,78.0,band0845,baseline,FILLED,2026-05-18,WAITED for return to entry,confirmed close 4538.4 on 2026-05-15; ,2026-05-18 15:45:00,4570.0,78.0,1.0,Unit 1,4520.0,2026-05-19 16:00:00,TP1 reached,0.641,0.641
2026-05-15_Trade_3C,2026-05-15,Trade 3C — Momentum-Breakout (regime: TRANSITION; VOLator slope positive disqualifies pure RANGE / 3B mean-reversion),Trade 3C,SHORT,CONDITIONAL,4570.0,4648.0,4520.0,4455.0,4395.0,78.0,band0845,baseline,FILLED,2026-05-18,WAITED for return to entry,confirmed close 4538.4 on 2026-05-15; ,2026-05-18 15:45:00,4570.0,78.0,1.0,Unit 2,4455.0,2026-05-20 06:00:00,TP2 reached,1.474,1.474
2026-05-15_Trade_3C,2026-05-15,Trade 3C — Momentum-Breakout (regime: TRANSITION; VOLator slope positive disqualifies pure RANGE / 3B mean-reversion),Trade 3C,SHORT,CONDITIONAL,4570.0,4648.0,4520.0,4455.0,4395.0,78.0,band0845,baseline,FILLED,2026-05-18,WAITED for return to entry,confirmed close 4538.4 on 2026-05-15; ,2026-05-18 15:45:00,4570.0,78.0,1.0,Unit 3,4570.0,2026-05-21 04:30:00,BE trail hit (BE_ON_TP1),-0.0,-0.0
2026-05-18_Trade_1,2026-05-18,Trade 1 — Daily Directional (score-driven),Trade 1,SHORT,MARKET,4562.0,4648.0,4476.0,4390.0,,86.0,band0845,baseline,NO FILL,2026-05-19,,08:45 4538.6 was -0.27R worse than entry; never returned to entry by cut-off,,,,,All,,,,0.0,0.0
2026-05-18_Trade_2,2026-05-18,"Trade 2 — Pivot (regime-aware) — TRANSITION regime, breakout-side only",Trade 2,SHORT,CONDITIONAL,4476.0,4576.0,4376.0,4276.0,4148.0,100.0,band0845,baseline,FILLED,2026-05-28,WAITED for return to entry,confirmed close 4456.3 on 2026-05-27; ,2026-05-28 17:45:00,4476.0,100.0,1.0,Unit 1,4576.0,2026-05-29 18:00:00,stopped out,-1.0,-1.0
2026-05-18_Trade_2,2026-05-18,"Trade 2 — Pivot (regime-aware) — TRANSITION regime, breakout-side only",Trade 2,SHORT,CONDITIONAL,4476.0,4576.0,4376.0,4276.0,4148.0,100.0,band0845,baseline,FILLED,2026-05-28,WAITED for return to entry,confirmed close 4456.3 on 2026-05-27; ,2026-05-28 17:45:00,4476.0,100.0,1.0,Unit 2,4576.0,2026-05-29 18:00:00,stopped out,-1.0,-1.0
2026-05-18_Trade_2,2026-05-18,"Trade 2 — Pivot (regime-aware) — TRANSITION regime, breakout-side only",Trade 2,SHORT,CONDITIONAL,4476.0,4576.0,4376.0,4276.0,4148.0,100.0,band0845,baseline,FILLED,2026-05-28,WAITED for return to entry,confirmed close 4456.3 on 2026-05-27; ,2026-05-28 17:45:00,4476.0,100.0,1.0,Unit 3,4576.0,2026-05-29 18:00:00,stopped out,-1.0,-1.0
2026-05-18_Trade_3C,2026-05-18,Trade 3C — Momentum-Breakout (regime_label = TRANSITION),Trade 3C,SHORT,CONDITIONAL,4468.0,4565.0,4161.0,4008.0,3973.0,97.0,band0845,baseline,FILLED,2026-05-28,WAITED for return to entry,confirmed close 4456.3 on 2026-05-27; ,2026-05-28 17:15:00,4468.0,97.0,1.0,Unit 1,4565.0,2026-05-29 17:45:00,stopped out,-1.0,-1.0
2026-05-18_Trade_3C,2026-05-18,Trade 3C — Momentum-Breakout (regime_label = TRANSITION),Trade 3C,SHORT,CONDITIONAL,4468.0,4565.0,4161.0,4008.0,3973.0,97.0,band0845,baseline,FILLED,2026-05-28,WAITED for return to entry,confirmed close 4456.3 on 2026-05-27; ,2026-05-28 17:15:00,4468.0,97.0,1.0,Unit 2,4565.0,2026-05-29 17:45:00,stopped out,-1.0,-1.0
