card_id,report_date,strategy,family,direction,policy,fill_status,entry_rule,fill_ts,fill_px,R_points,risk_vs_card,units,blended_R,blended_R_card
2026-05-11_Trade_1,2026-05-11,Trade 1 — Daily Directional (direction-of-the-day expression),Trade 1,LONG,card,FILLED,MARKET at 09:00 open,2026-05-12 09:00:00,4714.36,89.36,0.993,3,-0.663,-0.666
2026-05-11_Trade_2,2026-05-11,"Trade 2 — Pivot (TREND_UP breakout, daily timeframe)",Trade 2,LONG,card,FILLED,LIMIT touched,2026-05-12 16:15:00,4684.0,38.0,1.0,3,-1.0,-1.0
2026-05-11_Trade_3A,2026-05-11,Trade 3A — Momentum-Pullback,Trade 3A,LONG,card,FILLED,LIMIT touched,2026-05-12 18:15:00,4651.0,82.0,1.0,3,-1.0,-1.0
2026-05-12_Trade_1,2026-05-12,"Trade 1 — Daily Directional Long (Market at 00:00 UK, 12 May)",Trade 1,LONG,card,FILLED,MARKET at 09:00 open,2026-05-13 09:00:00,4703.95,71.55,1.074,3,-0.737,-0.717
2026-05-12_Trade_2,2026-05-12,Trade 2 — Pivot Trade (TREND_UP fork → trend-pullback long at daily S1.5),Trade 2,LONG,card,FILLED,LIMIT already marketable at 09:00 - filled at open,2026-05-13 09:00:00,4703.95,56.62,0.991,3,-1.0,-1.0
2026-05-12_Trade_3A,2026-05-12,Trade 3A — Momentum-Pullback Long (38.2% fib retrace of the 4-May → 8-May swing),Trade 3A,LONG,card,FILLED,LIMIT touched,2026-05-13 16:30:00,4673.61,23.84,1.0,3,-1.0,-1.0
2026-05-13_Trade_1,2026-05-13,Trade 1 - Daily Directional (reduced conviction),Trade 1,LONG,card,FILLED,MARKET at 09:00 open,2026-05-14 09:00:00,4689.58,49.58,0.901,3,-1.0,-1.0
2026-05-13_Trade_2,2026-05-13,RANGE FADE: short the upper rail / long the lower rail,Trade 2,SHORT,card,FILLED,MARKET at 09:00 open,2026-05-14 09:00:00,4689.58,140.42,4.681,3,-0.157,2.945
2026-05-13_Trade_3B,2026-05-13,"Trade 3 - Complex (variant 3B - Mean-Reversion, range regime)",Trade 3B,LONG,card,FILLED,LIMIT already marketable at 09:00 - filled at open,2026-05-14 09:00:00,4689.58,84.58,0.995,3,-1.0,-1.0
2026-05-14_Trade_1,2026-05-14,"Trade 1 — Daily Directional (00:00 UK anchor, 14 May 2026)",Trade 1,SHORT,card,FILLED,MARKET at 09:00 open,2026-05-15 09:00:00,4558.73,161.27,5.04,3,-0.269,2.683
