card_id,report_date,strategy,family,direction,entry_mode,entry,stop,tp1,tp2,tp3,card_R_points,policy,source,fill_status,entry_session,entry_rule,fill_reason,fill_ts,fill_px,R_points,risk_vs_card,unit,exit_px,exit_ts,exit_reason,R,R_card
2026-05-11_Trade_1,2026-05-11,Trade 1 — Daily Directional (direction-of-the-day expression),Trade 1,LONG,MARKET,4715.0,4625.0,4805.0,4895.0,,90.0,midnight,baseline,FILLED,2026-05-12,MARKET at 02:00 open,,2026-05-12 02:00:00,4750.89,125.89,1.399,Unit 1,4625.0,2026-05-15 03:30:00,stopped out,-1.0,-1.0
2026-05-11_Trade_1,2026-05-11,Trade 1 — Daily Directional (direction-of-the-day expression),Trade 1,LONG,MARKET,4715.0,4625.0,4805.0,4895.0,,90.0,midnight,baseline,FILLED,2026-05-12,MARKET at 02:00 open,,2026-05-12 02:00:00,4750.89,125.89,1.399,Unit 2,4625.0,2026-05-15 03:30:00,stopped out,-1.0,-1.0
2026-05-11_Trade_1,2026-05-11,Trade 1 — Daily Directional (direction-of-the-day expression),Trade 1,LONG,MARKET,4715.0,4625.0,4805.0,4895.0,,90.0,midnight,baseline,FILLED,2026-05-12,MARKET at 02:00 open,,2026-05-12 02:00:00,4750.89,125.89,1.399,Unit 3,4715.24,2026-05-12 23:45:00,card runner time-stop at entry-session close,-0.283,0.003
2026-05-11_Trade_2,2026-05-11,"Trade 2 — Pivot (TREND_UP breakout, daily timeframe)",Trade 2,LONG,LIMIT,4684.0,4646.0,4728.0,4749.0,4769.0,38.0,midnight,baseline,FILLED,2026-05-12,LIMIT touched,,2026-05-12 16:15:00,4684.0,38.0,1.0,Unit 1,4646.0,2026-05-12 18:15:00,stopped out,-1.0,-1.0
2026-05-11_Trade_2,2026-05-11,"Trade 2 — Pivot (TREND_UP breakout, daily timeframe)",Trade 2,LONG,LIMIT,4684.0,4646.0,4728.0,4749.0,4769.0,38.0,midnight,baseline,FILLED,2026-05-12,LIMIT touched,,2026-05-12 16:15:00,4684.0,38.0,1.0,Unit 2,4646.0,2026-05-12 18:15:00,stopped out,-1.0,-1.0
2026-05-11_Trade_2,2026-05-11,"Trade 2 — Pivot (TREND_UP breakout, daily timeframe)",Trade 2,LONG,LIMIT,4684.0,4646.0,4728.0,4749.0,4769.0,38.0,midnight,baseline,FILLED,2026-05-12,LIMIT touched,,2026-05-12 16:15:00,4684.0,38.0,1.0,Unit 3,4646.0,2026-05-12 18:15:00,stopped out,-1.0,-1.0
2026-05-11_Trade_3A,2026-05-11,Trade 3A — Momentum-Pullback,Trade 3A,LONG,LIMIT,4651.0,4569.0,4751.0,4822.0,4912.0,82.0,midnight,baseline,FILLED,2026-05-12,LIMIT touched,,2026-05-12 18:15:00,4651.0,82.0,1.0,Unit 1,4569.0,2026-05-15 08:30:00,stopped out,-1.0,-1.0
2026-05-11_Trade_3A,2026-05-11,Trade 3A — Momentum-Pullback,Trade 3A,LONG,LIMIT,4651.0,4569.0,4751.0,4822.0,4912.0,82.0,midnight,baseline,FILLED,2026-05-12,LIMIT touched,,2026-05-12 18:15:00,4651.0,82.0,1.0,Unit 2,4569.0,2026-05-15 08:30:00,stopped out,-1.0,-1.0
2026-05-11_Trade_3A,2026-05-11,Trade 3A — Momentum-Pullback,Trade 3A,LONG,LIMIT,4651.0,4569.0,4751.0,4822.0,4912.0,82.0,midnight,baseline,FILLED,2026-05-12,LIMIT touched,,2026-05-12 18:15:00,4651.0,82.0,1.0,Unit 3,4569.0,2026-05-15 08:30:00,stopped out,-1.0,-1.0
2026-05-12_Trade_1,2026-05-12,"Trade 1 — Daily Directional Long (Market at 00:00 UK, 12 May)",Trade 1,LONG,MARKET,4699.0,4632.4,4765.6,4832.2,,66.6,midnight,baseline,FILLED,2026-05-13,MARKET at 02:00 open,,2026-05-13 02:00:00,4717.01,84.61,1.27,Unit 1,4632.4,2026-05-15 03:15:00,stopped out,-1.0,-1.0
2026-05-12_Trade_1,2026-05-12,"Trade 1 — Daily Directional Long (Market at 00:00 UK, 12 May)",Trade 1,LONG,MARKET,4699.0,4632.4,4765.6,4832.2,,66.6,midnight,baseline,FILLED,2026-05-13,MARKET at 02:00 open,,2026-05-13 02:00:00,4717.01,84.61,1.27,Unit 2,4632.4,2026-05-15 03:15:00,stopped out,-1.0,-1.0
2026-05-12_Trade_1,2026-05-12,"Trade 1 — Daily Directional Long (Market at 00:00 UK, 12 May)",Trade 1,LONG,MARKET,4699.0,4632.4,4765.6,4832.2,,66.6,midnight,baseline,FILLED,2026-05-13,MARKET at 02:00 open,,2026-05-13 02:00:00,4717.01,84.61,1.27,Unit 3,4688.88,2026-05-13 23:45:00,card runner time-stop at entry-session close,-0.332,-0.152
2026-05-12_Trade_2,2026-05-12,Trade 2 — Pivot Trade (TREND_UP fork → trend-pullback long at daily S1.5),Trade 2,LONG,LIMIT,4704.45,4647.33,4761.57,4792.43,4828.27,57.12,midnight,baseline,FILLED,2026-05-13,LIMIT touched,,2026-05-13 04:15:00,4704.45,57.12,1.0,Unit 1,4647.33,2026-05-14 23:15:00,stopped out,-1.0,-1.0
2026-05-12_Trade_2,2026-05-12,Trade 2 — Pivot Trade (TREND_UP fork → trend-pullback long at daily S1.5),Trade 2,LONG,LIMIT,4704.45,4647.33,4761.57,4792.43,4828.27,57.12,midnight,baseline,FILLED,2026-05-13,LIMIT touched,,2026-05-13 04:15:00,4704.45,57.12,1.0,Unit 2,4647.33,2026-05-14 23:15:00,stopped out,-1.0,-1.0
2026-05-12_Trade_2,2026-05-12,Trade 2 — Pivot Trade (TREND_UP fork → trend-pullback long at daily S1.5),Trade 2,LONG,LIMIT,4704.45,4647.33,4761.57,4792.43,4828.27,57.12,midnight,baseline,FILLED,2026-05-13,LIMIT touched,,2026-05-13 04:15:00,4704.45,57.12,1.0,Unit 3,4647.33,2026-05-14 23:15:00,stopped out,-1.0,-1.0
2026-05-12_Trade_3A,2026-05-12,Trade 3A — Momentum-Pullback Long (38.2% fib retrace of the 4-May → 8-May swing),Trade 3A,LONG,LIMIT,4673.61,4649.77,4750.75,4827.89,4875.56,23.84,midnight,baseline,FILLED,2026-05-13,LIMIT touched,,2026-05-13 16:30:00,4673.61,23.84,1.0,Unit 1,4649.77,2026-05-14 23:00:00,stopped out,-1.0,-1.0
2026-05-12_Trade_3A,2026-05-12,Trade 3A — Momentum-Pullback Long (38.2% fib retrace of the 4-May → 8-May swing),Trade 3A,LONG,LIMIT,4673.61,4649.77,4750.75,4827.89,4875.56,23.84,midnight,baseline,FILLED,2026-05-13,LIMIT touched,,2026-05-13 16:30:00,4673.61,23.84,1.0,Unit 2,4649.77,2026-05-14 23:00:00,stopped out,-1.0,-1.0
2026-05-12_Trade_3A,2026-05-12,Trade 3A — Momentum-Pullback Long (38.2% fib retrace of the 4-May → 8-May swing),Trade 3A,LONG,LIMIT,4673.61,4649.77,4750.75,4827.89,4875.56,23.84,midnight,baseline,FILLED,2026-05-13,LIMIT touched,,2026-05-13 16:30:00,4673.61,23.84,1.0,Unit 3,4649.77,2026-05-14 23:00:00,stopped out,-1.0,-1.0
