card_id,report_date,strategy,family,direction,policy,fill_status,entry_rule,fill_ts,fill_px,R_points,risk_vs_card,units,blended_R,blended_R_card
2026-05-11_Trade_1,2026-05-11,Trade 1 — Daily Directional (direction-of-the-day expression),Trade 1,LONG,midnight,FILLED,MARKET at 02:00 open,2026-05-12 02:00:00,4750.89,125.89,1.399,3,-0.761,-0.666
2026-05-11_Trade_2,2026-05-11,"Trade 2 — Pivot (TREND_UP breakout, daily timeframe)",Trade 2,LONG,midnight,FILLED,LIMIT touched,2026-05-12 16:15:00,4684.0,38.0,1.0,3,-1.0,-1.0
2026-05-11_Trade_3A,2026-05-11,Trade 3A — Momentum-Pullback,Trade 3A,LONG,midnight,FILLED,LIMIT touched,2026-05-12 18:15:00,4651.0,82.0,1.0,3,-1.0,-1.0
2026-05-12_Trade_1,2026-05-12,"Trade 1 — Daily Directional Long (Market at 00:00 UK, 12 May)",Trade 1,LONG,midnight,FILLED,MARKET at 02:00 open,2026-05-13 02:00:00,4717.01,84.61,1.27,3,-0.777,-0.717
2026-05-12_Trade_2,2026-05-12,Trade 2 — Pivot Trade (TREND_UP fork → trend-pullback long at daily S1.5),Trade 2,LONG,midnight,FILLED,LIMIT touched,2026-05-13 04:15:00,4704.45,57.12,1.0,3,-1.0,-1.0
2026-05-12_Trade_3A,2026-05-12,Trade 3A — Momentum-Pullback Long (38.2% fib retrace of the 4-May → 8-May swing),Trade 3A,LONG,midnight,FILLED,LIMIT touched,2026-05-13 16:30:00,4673.61,23.84,1.0,3,-1.0,-1.0
2026-05-13_Trade_1,2026-05-13,Trade 1 - Daily Directional (reduced conviction),Trade 1,LONG,midnight,FILLED,MARKET at 02:00 open,2026-05-14 02:00:00,4700.16,60.16,1.094,3,-1.0,-1.0
2026-05-13_Trade_2,2026-05-13,RANGE FADE: short the upper rail / long the lower rail,Trade 2,SHORT,midnight,FILLED,MARKET at 02:00 open,2026-05-14 02:00:00,4700.16,129.84,4.328,3,-0.089,2.945
2026-05-13_Trade_3B,2026-05-13,"Trade 3 - Complex (variant 3B - Mean-Reversion, range regime)",Trade 3B,LONG,midnight,FILLED,LIMIT touched,2026-05-14 03:00:00,4690.0,85.0,1.0,3,-1.0,-1.0
2026-05-14_Trade_1,2026-05-14,"Trade 1 — Daily Directional (00:00 UK anchor, 14 May 2026)",Trade 1,SHORT,midnight,FILLED,MARKET at 02:00 open,2026-05-15 02:00:00,4662.31,57.69,1.803,3,0.973,2.558
2026-05-14_Trade_2,2026-05-14,Trade 2 — Regime-aware Pivot (indicative),Trade 2,SHORT,midnight,NO FILL,,,,,,1,0.0,0.0
2026-05-14_Trade_3C,2026-05-14,Trade 3 — Complex (3C transition breakout),Trade 3C,SHORT,midnight,FILLED,MARKET at 02:00 open,2026-05-18 02:00:00,4546.11,149.89,2.418,3,-0.671,-0.204
2026-05-15_Trade_1,2026-05-15,Trade 1 — Daily Directional,Trade 1,SHORT,midnight,FILLED,MARKET at 02:00 open,2026-05-18 02:00:00,4546.11,243.89,1.767,3,0.249,1.207
2026-05-15_Trade_2,2026-05-15,Trade 2 — Pivot (TREND_DOWN: short entry on retest of broken pivot),Trade 2,SHORT,midnight,NO FILL,,,,,,1,0.0,0.0
