card_id,report_date,strategy,family,direction,policy,fill_status,entry_rule,fill_ts,fill_px,R_points,risk_vs_card,units,blended_R,blended_R_card
2026-05-11_Trade_1,2026-05-11,Trade 1 — Daily Directional (direction-of-the-day expression),Trade 1,LONG,usopen,FILLED,MARKET at 16:30 open,2026-05-12 16:30:00,4690.68,65.68,0.73,3,-0.542,-0.666
2026-05-11_Trade_2,2026-05-11,"Trade 2 — Pivot (TREND_UP breakout, daily timeframe)",Trade 2,LONG,usopen,FILLED,LIMIT touched,2026-05-12 16:30:00,4684.0,38.0,1.0,3,-1.0,-1.0
2026-05-11_Trade_3A,2026-05-11,Trade 3A — Momentum-Pullback,Trade 3A,LONG,usopen,FILLED,LIMIT touched,2026-05-12 18:15:00,4651.0,82.0,1.0,3,-1.0,-1.0
2026-05-12_Trade_1,2026-05-12,"Trade 1 — Daily Directional Long (Market at 00:00 UK, 12 May)",Trade 1,LONG,usopen,FILLED,MARKET at 16:30 open,2026-05-13 16:30:00,4688.82,56.42,0.847,3,-0.666,-0.717
2026-05-12_Trade_2,2026-05-12,Trade 2 — Pivot Trade (TREND_UP fork → trend-pullback long at daily S1.5),Trade 2,LONG,usopen,FILLED,LIMIT already marketable at 16:30 - filled at open,2026-05-13 16:30:00,4688.82,41.49,0.726,3,-1.0,-1.0
2026-05-12_Trade_3A,2026-05-12,Trade 3A — Momentum-Pullback Long (38.2% fib retrace of the 4-May → 8-May swing),Trade 3A,LONG,usopen,FILLED,LIMIT touched,2026-05-13 16:30:00,4673.61,23.84,1.0,3,-1.0,-1.0
2026-05-13_Trade_1,2026-05-13,Trade 1 - Daily Directional (reduced conviction),Trade 1,LONG,usopen,FILLED,MARKET at 16:30 open,2026-05-14 16:30:00,4688.15,48.15,0.875,3,-1.0,-1.0
2026-05-13_Trade_2,2026-05-13,RANGE FADE: short the upper rail / long the lower rail,Trade 2,SHORT,usopen,FILLED,MARKET at 16:30 open,2026-05-14 16:30:00,4688.15,141.85,4.728,3,-0.166,2.945
2026-05-13_Trade_3B,2026-05-13,"Trade 3 - Complex (variant 3B - Mean-Reversion, range regime)",Trade 3B,LONG,usopen,FILLED,LIMIT already marketable at 16:30 - filled at open,2026-05-14 16:30:00,4688.15,83.15,0.978,3,-1.0,-1.0
2026-05-14_Trade_1,2026-05-14,"Trade 1 — Daily Directional (00:00 UK anchor, 14 May 2026)",Trade 1,SHORT,usopen,FILLED,MARKET at 16:30 open,2026-05-15 16:30:00,4549.03,170.97,5.343,3,-0.288,2.804
2026-05-14_Trade_2,2026-05-14,Trade 2 — Regime-aware Pivot (indicative),Trade 2,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-05-14_Trade_3C,2026-05-14,Trade 3 — Complex (3C transition breakout),Trade 3C,SHORT,usopen,FILLED,MARKET at 16:30 open,2026-05-18 16:30:00,4571.97,124.03,2.0,3,-0.602,-0.204
2026-05-15_Trade_1,2026-05-15,Trade 1 — Daily Directional,Trade 1,SHORT,usopen,FILLED,MARKET at 16:30 open,2026-05-18 16:30:00,4571.97,218.03,1.58,3,0.397,1.207
2026-05-15_Trade_2,2026-05-15,Trade 2 — Pivot (TREND_DOWN: short entry on retest of broken pivot),Trade 2,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-05-15_Trade_3C,2026-05-15,Trade 3C — Momentum-Breakout (regime: TRANSITION; VOLator slope positive disqualifies pure RANGE / 3B mean-reversion),Trade 3C,SHORT,usopen,FILLED,MARKET at 16:30 open,2026-05-18 16:30:00,4571.97,76.03,0.975,3,0.807,0.762
2026-05-18_Trade_1,2026-05-18,Trade 1 — Daily Directional (score-driven),Trade 1,SHORT,usopen,FILLED,MARKET at 16:30 open,2026-05-19 16:30:00,4492.22,155.78,1.811,3,0.275,1.31
2026-05-18_Trade_2,2026-05-18,"Trade 2 — Pivot (regime-aware) — TRANSITION regime, breakout-side only",Trade 2,SHORT,usopen,FILLED,MARKET at 16:30 open,2026-05-28 16:30:00,4428.51,147.49,1.475,3,-1.0,-1.0
2026-05-18_Trade_3C,2026-05-18,Trade 3C — Momentum-Breakout (regime_label = TRANSITION),Trade 3C,SHORT,usopen,FILLED,MARKET at 16:30 open,2026-05-28 16:30:00,4428.51,136.49,1.407,3,-1.0,-1.0
2026-05-19_Trade_1,2026-05-19,"Trade 1 — Daily Directional (SHORT, conviction-based)",Trade 1,SHORT,usopen,FILLED,MARKET at 16:30 open,2026-05-20 16:30:00,4489.45,108.05,1.879,3,0.052,0.978
2026-05-19_Trade_2,2026-05-19,"Trade 2 — Pivot, Regime-Aware (TREND_DOWN: pivot breakout, SHORT side)",Trade 2,SHORT,usopen,FILLED,STOP already marketable at 16:30 - filled at open,2026-05-20 16:30:00,4489.45,190.55,1.815,3,0.604,1.911
2026-05-19_Trade_3A,2026-05-19,Trade 3A — Regime-Driven Complex: Momentum-Pullback SHORT (TREND_DOWN active),Trade 3A,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-05-20_Trade_1,2026-05-20,Trade 1 — Daily Directional,Trade 1,SHORT,usopen,FILLED,MARKET at 16:30 open,2026-05-21 16:30:00,4500.48,59.75,1.066,3,-0.905,-0.899
