report_id,report_date,strategy,direction,entry_mode,card_entry,stop,card_R,entry_session,fill_status,fill_time,fill_price,R_points,risk_ratio,micro,units,blended_R
SPX-2026-05-11,2026-05-11,Trade 1 - Daily Directional,LONG,MARKET @ 00:00 UK,7398.93,7321.2,77.73,2026-05-12,FILLED,2026-05-12 06:45:00,7410.5,89.3,1.149,,3,0.752
SPX-2026-05-11,2026-05-11,Trade 2 - Pivot pullback (buy daily-S1),LONG,BUY LIMIT,7358.92,7318.91,40.01,2026-05-12,FILLED,2026-05-12 18:15:00,7358.92,40.01,1.0,,3,1.376
SPX-2026-05-11,2026-05-11,Trade 3A - Momentum-Pullback (38.2% fib),LONG,BUY LIMIT,7316.24,7258.56,57.68,2026-05-12,NO FILL,,,,,,1,0.0
SPX-2026-05-12,2026-05-12,Trade 1 - Daily Directional,LONG,MARKET @ 07:00 UK,7412.8,7344.0,68.8,2026-05-13,FILLED,2026-05-13 06:45:00,7417.8,73.8,1.073,,3,0.138
SPX-2026-05-12,2026-05-12,"Trade 2 - Pivot (TREND_UP pullback, buy daily P)",LONG,BUY LIMIT,7378.0,7344.0,34.0,2026-05-13,NO FILL,,,,,,1,0.0
SPX-2026-05-12,2026-05-12,Trade 3A - Momentum-Pullback (38.2% fib),LONG,BUY LIMIT,7362.0,7310.0,52.0,2026-05-13,NO FILL,,,,,,1,0.0
SPX-2026-05-13,2026-05-13,Trade 1 - Daily Directional,,,,,,,SUPPRESSED,,,,,,1,0.0
SPX-2026-05-13,2026-05-13,"Trade 2 - Pivot (TREND breakout, buy stop)",LONG,BUY STOP,7385.06,7363.09,21.97,2026-05-14,FILLED,2026-05-14 06:45:00,7458.1,95.01,4.325,,3,-0.251
SPX-2026-05-13,2026-05-13,Trade 3C - Momentum-Breakout (buy stop),LONG,BUY STOP,7432.0,7335.0,97.0,2026-05-14,FILLED,2026-05-14 06:45:00,7458.1,123.1,1.269,,3,-0.017
SPX-2026-05-14,2026-05-14,Trade 1 - Daily Directional,,,,,,,SUPPRESSED,,,,,,1,0.0
SPX-2026-05-14,2026-05-14,Trade 2 - Pivot (buy limit weekly P),LONG,BUY LIMIT,7402.0,7367.0,35.0,2026-05-15,FILLED,2026-05-15 23:00:00,7402.0,35.0,1.0,,3,-0.678
SPX-2026-05-14,2026-05-14,Trade 3A - Momentum-Pullback (38.2% fib),LONG,BUY LIMIT,7422.0,7378.0,44.0,2026-05-15,FILLED,2026-05-15 11:30:00,7422.0,44.0,1.0,,3,-0.462
SPX-2026-05-15,2026-05-15,Trade 1 - Daily Directional,LONG,MARKET @ 13:30 UK,7501.59,7453.59,48.0,2026-05-18,MALFORMED,2026-05-18 06:45:00,7371.6,81.99,1.708,,3,-1.0
SPX-2026-05-15,2026-05-15,"Trade 2 - Pivot (TREND breakout, buy stop)",LONG,BUY STOP,7485.68,7461.74,23.94,2026-05-18,NO FILL,,,,,,1,0.0
SPX-2026-05-15,2026-05-15,Trade 3C - Momentum-Breakout (buy stop),LONG,BUY STOP (on confirmed daily close > 7505.30),7510.0,7425.0,85.0,2026-05-18,NO FILL,,,,,,1,0.0
SPX-2026-05-18,2026-05-18,Trade 1 - Daily Directional,SHORT,MARKET @ overridden daily-open anchor,7457.31,7466.1,8.79,2026-05-19,FILLED,2026-05-19 06:45:00,7402.5,63.6,7.235,,3,-0.37
SPX-2026-05-18,2026-05-18,Trade 2 - Pivot fade (sell limit daily R1),SHORT,SELL LIMIT,7443.07,7482.13,39.07,2026-05-19,NO FILL,,,,,,1,0.0
SPX-2026-05-18,2026-05-18,"Trade 3C - Transition Breakout (sell stop, conditional)",SHORT,"SELL STOP on confirmed daily close < 7386.25, executed next open",7386.25,7459.35,73.1,2026-05-19,FILLED,2026-05-19 07:15:00,7386.25,73.1,1.0,,3,-1.0
SPX-2026-05-19,2026-05-19,Trade 1 - Daily Directional (mean-reversion),LONG,"PENDING MARKET-BUY set 00:00 UK, activates NY cash open 14:30 UK",7403.05,7335.0,68.05,2026-05-20,FILLED,2026-05-20 06:45:00,7351.4,16.4,0.241,MICRO-R,3,9.0
