report_id,report_date,strategy,fill_status,window_session,fill_time,fill_price,units,blended_R
SPX-2026-05-11,2026-05-11,Trade 1 - Daily Directional,FILLED,2026-05-12,2026-05-12 06:45:00,7410.5,3,0.752
SPX-2026-05-11,2026-05-11,Trade 2 - Pivot pullback (buy daily-S1),NO FILL,2026-05-12,,,1,0.0
SPX-2026-05-11,2026-05-11,Trade 3A - Momentum-Pullback (38.2% fib),NO FILL,2026-05-12,,,1,0.0
SPX-2026-05-12,2026-05-12,Trade 1 - Daily Directional,FILLED,2026-05-13,2026-05-13 06:45:00,7417.8,3,0.138
SPX-2026-05-12,2026-05-12,"Trade 2 - Pivot (TREND_UP pullback, buy daily P)",NO FILL,2026-05-13,,,1,0.0
SPX-2026-05-12,2026-05-12,Trade 3A - Momentum-Pullback (38.2% fib),NO FILL,2026-05-13,,,1,0.0
SPX-2026-05-13,2026-05-13,Trade 1 - Daily Directional,SUPPRESSED,,,,1,0.0
SPX-2026-05-13,2026-05-13,"Trade 2 - Pivot (TREND breakout, buy stop)",FILLED,2026-05-14,2026-05-14 06:45:00,7458.1,3,-0.251
SPX-2026-05-13,2026-05-13,Trade 3C - Momentum-Breakout (buy stop),FILLED,2026-05-14,2026-05-14 06:45:00,7458.1,3,-0.017
SPX-2026-05-14,2026-05-14,Trade 1 - Daily Directional,SUPPRESSED,,,,1,0.0
SPX-2026-05-14,2026-05-14,Trade 2 - Pivot (buy limit weekly P),NO FILL,2026-05-15,,,1,0.0
SPX-2026-05-14,2026-05-14,Trade 3A - Momentum-Pullback (38.2% fib),NO FILL,2026-05-15,,,1,0.0
SPX-2026-05-15,2026-05-15,Trade 1 - Daily Directional,MALFORMED,2026-05-18,2026-05-18 06:45:00,7371.6,3,-1.0
SPX-2026-05-15,2026-05-15,"Trade 2 - Pivot (TREND breakout, buy stop)",NO FILL,2026-05-18,,,1,0.0
SPX-2026-05-15,2026-05-15,Trade 3C - Momentum-Breakout (buy stop),NO FILL,2026-05-18,,,1,0.0
SPX-2026-05-18,2026-05-18,Trade 1 - Daily Directional,FILLED,2026-05-19,2026-05-19 06:45:00,7402.5,3,-0.37
SPX-2026-05-18,2026-05-18,Trade 2 - Pivot fade (sell limit daily R1),NO FILL,2026-05-19,,,1,0.0
SPX-2026-05-18,2026-05-18,"Trade 3C - Transition Breakout (sell stop, conditional)",FILLED,2026-05-19,2026-05-19 07:15:00,7386.25,3,-1.0
SPX-2026-05-19,2026-05-19,Trade 1 - Daily Directional (mean-reversion),FILLED,2026-05-20,2026-05-20 06:45:00,7351.4,3,9.0
SPX-2026-05-19,2026-05-19,Trade 2 - Pivot (buy limit daily S1),FILLED,2026-05-20,2026-05-20 06:45:00,7351.4,3,-1.0
SPX-2026-05-19,2026-05-19,Trade 3A - Momentum-Pullback (layered fib limits),MALFORMED,2026-05-20,2026-05-20 06:45:00,7351.4,3,-1.0
SPX-2026-05-20,2026-05-20,Trade 1 - Daily Directional,SUPPRESSED,,,,1,0.0
SPX-2026-05-20,2026-05-20,Trade 2 - Pivot (weekly TREND breakout),FILLED,2026-05-21,2026-05-21 08:00:00,7442.17,3,0.689
SPX-2026-05-20,2026-05-20,Trade 3A - Momentum-Pullback (demand-zone retest),NO FILL,2026-05-21,,,1,0.0
SPX-2026-05-21,2026-05-21,Trade 1 - Daily Directional,FILLED,2026-05-22,2026-05-22 06:45:00,7472.2,3,-0.182
SPX-2026-05-21,2026-05-21,Trade 2 - Pivot (TRANSITION breakout side),FILLED,2026-05-22,2026-05-22 06:45:00,7472.2,3,0.55
SPX-2026-05-21,2026-05-21,Trade 3C - Range Breakout (conditional),FILLED,2026-05-26,2026-05-26 06:45:00,7527.7,3,0.739
SPX-2026-05-22,2026-05-22,Trade 1 - Daily Directional,SUPPRESSED,,,,1,0.0
SPX-2026-05-22,2026-05-22,Trade 2 - Pivot (TRANSITION breakout side),FILLED,2026-05-25,2026-05-25 06:45:00,7544.9,3,-0.389
SPX-2026-05-22,2026-05-22,Trade 3C - Momentum-Breakout (conditional),FILLED,2026-05-26,2026-05-26 06:45:00,7527.7,3,0.668
SPX-2026-05-25,2026-05-25,Trade 1 - Daily Directional,FILLED,2026-05-26,2026-05-26 06:45:00,7527.7,3,0.257
SPX-2026-05-25,2026-05-25,"Trade 2 - Pivot (TREND breakout, buy stop)",FILLED,2026-05-26,2026-05-26 06:45:00,7527.7,3,-0.465
SPX-2026-05-25,2026-05-25,Trade 3A - Momentum-Pullback (57.5% fib),NO FILL,2026-05-26,,,1,0.0
SPX-2026-05-26,2026-05-26,Trade 1 - Daily Directional,FILLED,2026-05-27,2026-05-27 06:45:00,7531.0,3,0.309
SPX-2026-05-26,2026-05-26,"Trade 2 - Pivot (TRANSITION breakout, buy stop)",FILLED,2026-05-27,2026-05-27 06:45:00,7531.0,3,-0.465
SPX-2026-05-26,2026-05-26,Trade 3C - Range Breakout (conditional),FILLED,2026-05-29,2026-05-29 06:45:00,7570.8,3,0.44
SPX-2026-05-27,2026-05-27,Trade 1 - Daily Directional,FILLED,2026-05-28,2026-05-28 06:45:00,7502.8,3,-0.521
SPX-2026-05-27,2026-05-27,Trade 2 - Pivot (TREND_UP),NO FILL,2026-05-28,,,1,0.0
SPX-2026-05-27,2026-05-27,Trade 3A - Momentum-Pullback (57.5% fib),NO FILL,2026-05-28,,,1,0.0
SPX-2026-05-28,2026-05-28,Trade 1 - Daily Directional,FILLED,2026-05-29,2026-05-29 06:45:00,7570.8,3,0.094
SPX-2026-05-28,2026-05-28,Trade 2 - Pivot (daily P / weekly R1 retest),NO FILL,2026-05-29,,,1,0.0
SPX-2026-05-28,2026-05-28,Trade 3A - Momentum-Pullback,NO FILL,2026-05-29,,,1,0.0
SPX-2026-05-29,2026-05-29,Trade 1 - Daily Directional,NO FILL,2026-06-01,,,1,0.0
SPX-2026-05-29,2026-05-29,Trade 2 - Pivot (buy limit daily P),NO FILL,2026-06-01,,,1,0.0
SPX-2026-05-29,2026-05-29,Trade 3A - Momentum-Pullback (breakout stop),FILLED,2026-06-01,2026-06-01 06:45:00,7604.7,3,-0.618
SPX-2026-06-01,2026-06-01,Trade 1 - Daily Directional (breakout stop),NO FILL,2026-06-02,,,1,0.0
SPX-2026-06-01,2026-06-01,Trade 2 - Pivot (buy limit daily P),FILLED,2026-06-02,2026-06-02 06:45:00,7572.8,3,0.786
SPX-2026-06-01,2026-06-01,Trade 3A - Momentum-Pullback (38.2% fib),NO FILL,2026-06-02,,,1,0.0
SPX-2026-06-02,2026-06-02,Trade 1 - Daily Directional,FILLED,2026-06-03,2026-06-03 06:45:00,7616.5,3,-1.0
SPX-2026-06-02,2026-06-02,Trade 2 - Pivot (buy limit daily P),NO FILL,2026-06-03,,,1,0.0
SPX-2026-06-02,2026-06-02,Trade 3A - Momentum-Pullback (38.2% fib),NO FILL,2026-06-03,,,1,0.0
SPX-2026-06-03,2026-06-03,Trade 1 - Daily Directional,FILLED,2026-06-04,2026-06-04 06:45:00,7532.7,3,-0.176
SPX-2026-06-03,2026-06-03,Trade 2 - Pivot (buy limit daily P),MALFORMED,2026-06-04,2026-06-04 06:45:00,7532.7,3,-1.0
SPX-2026-06-03,2026-06-03,Trade 3A - Momentum-Pullback (38.2% fib),FILLED,2026-06-04,2026-06-04 06:45:00,7532.7,3,-1.0
SPX-2026-06-04,2026-06-04,Trade 1 - Daily Directional,MALFORMED,2026-06-05,2026-06-05 06:45:00,7551.6,3,-1.0
SPX-2026-06-04,2026-06-04,Trade 2 - Pivot (TREND_UP breakout),NO FILL,2026-06-05,,,1,0.0
SPX-2026-06-04,2026-06-04,Trade 3A - Momentum-Pullback (57.5% fib),FILLED,2026-06-05,2026-06-05 06:45:00,7551.6,3,-1.0
SPX-2026-06-05,2026-06-05,Trade 1 - Daily Directional,SUPPRESSED,,,,1,0.0
SPX-2026-06-05,2026-06-05,Trade 2 - Pivot (buy limit daily P),MALFORMED,2026-06-08,2026-06-08 06:45:00,7411.0,3,-1.0
SPX-2026-06-05,2026-06-05,Trade 3A - Momentum-Pullback (breakout stop),NO FILL,2026-06-08,,,1,0.0
SPX-2026-06-08,2026-06-08,Trade 1 - Daily Directional,FILLED,2026-06-09,2026-06-09 06:45:00,7427.3,3,-1.0
SPX-2026-06-08,2026-06-08,Trade 3A - Momentum-Pullback (sell limit weekly S2),NO FILL,2026-06-09,,,1,0.0
SPX-2026-06-09,2026-06-09,Trade 1 - Daily Directional,FILLED,2026-06-10,2026-06-10 06:45:00,7366.3,3,0.196
SPX-2026-06-09,2026-06-09,Trade 3A - Momentum-Pullback (sell limit daily P),NO FILL,2026-06-10,,,1,0.0
SPX-2026-06-10,2026-06-10,Trade 1 - Daily Directional (sell stop),FILLED,2026-06-11,2026-06-11 06:45:00,7294.9,3,-0.85
SPX-2026-06-10,2026-06-10,Trade 2 - Pivot (sell limit weekly P),NO FILL,2026-06-11,,,1,0.0
SPX-2026-06-10,2026-06-10,Trade 3C - Momentum-Breakout (sell stop),FILLED,2026-06-11,2026-06-11 06:45:00,7294.9,3,-1.0
SPX-2026-06-11,2026-06-11,Trade 1 - Daily Directional,FILLED,2026-06-12,2026-06-12 06:45:00,7404.1,3,-0.734
