report_id,report_date,strategy,direction,card_entry_mode,card_entry,stop_loss,tp1,tp2,tp3,card_R_points,management,window_session,fill_status,fill_time_broker,fill_price,unit,exit_price,exit_time_broker,exit_reason,R_window,R_points_window,notes
SPX-2026-05-11,2026-05-11,Trade 1 - Daily Directional,LONG,MARKET @ 00:00 UK,7398.93,7321.2,7476.66,7554.39,7626.93,77.73,3 units; Unit3 SL->entry+0.2R (7414.47) on TP2 fill; runner CARD-SPECIFIED time-stop at entry-session close or 3xATR cap,2026-05-12,FILLED,2026-05-12 06:45:00,7410.5,Unit 1,7476.66,2026-05-14 13:00:00,TP1 reached | market at window open 06:45,0.741,89.3,
SPX-2026-05-11,2026-05-11,Trade 1 - Daily Directional,LONG,MARKET @ 00:00 UK,7398.93,7321.2,7476.66,7554.39,7626.93,77.73,3 units; Unit3 SL->entry+0.2R (7414.47) on TP2 fill; runner CARD-SPECIFIED time-stop at entry-session close or 3xATR cap,2026-05-12,FILLED,2026-05-12 06:45:00,7410.5,Unit 2,7554.39,2026-05-25 15:15:00,TP2 reached | market at window open 06:45,1.611,89.3,
SPX-2026-05-11,2026-05-11,Trade 1 - Daily Directional,LONG,MARKET @ 00:00 UK,7398.93,7321.2,7476.66,7554.39,7626.93,77.73,3 units; Unit3 SL->entry+0.2R (7414.47) on TP2 fill; runner CARD-SPECIFIED time-stop at entry-session close or 3xATR cap,2026-05-12,FILLED,2026-05-12 06:45:00,7410.5,Unit 3,7402.0,2026-05-12 23:45:00,card-specified runner time-stop at the entry-session close | market at window open 06:45,-0.095,89.3,
SPX-2026-05-11,2026-05-11,Trade 2 - Pivot pullback (buy daily-S1),LONG,BUY LIMIT,7358.92,7318.91,7380.21,7420.22,7441.51,40.01,3 units; Unit3 SL->entry+0.2R (7366.92) on TP2 fill; runner trails to daily R3 7481.52 on close-through R2,2026-05-12,NO FILL,,,All units,,,level 7358.92 not reached in the 06:45-08:45 window on 2026-05-12 (window range 7400.4-7410.9); order expires.,0.0,,
SPX-2026-05-11,2026-05-11,Trade 3A - Momentum-Pullback (38.2% fib),LONG,BUY LIMIT,7316.24,7258.56,7373.91,7401.5,7486.76,57.68,3 units; structural runner SL pull to 7247.27 on close-through 100% ext,2026-05-12,NO FILL,,,All units,,,level 7316.24 not reached in the 06:45-08:45 window on 2026-05-12 (window range 7400.4-7410.9); order expires.,0.0,,
SPX-2026-05-12,2026-05-12,Trade 1 - Daily Directional,LONG,MARKET @ 07:00 UK,7412.8,7344.0,7481.6,7550.4,7575.0,68.8,3 units; Unit3 SL->entry+0.2R (7426.6) on TP2 fill; runner CARD-SPECIFIED time-stop at 12 May session close or 3xATR cap 7575,2026-05-13,FILLED,2026-05-13 06:45:00,7417.8,Unit 1,7481.6,2026-05-14 15:15:00,TP1 reached | market at window open 06:45,0.864,73.8,
SPX-2026-05-12,2026-05-12,Trade 1 - Daily Directional,LONG,MARKET @ 07:00 UK,7412.8,7344.0,7481.6,7550.4,7575.0,68.8,3 units; Unit3 SL->entry+0.2R (7426.6) on TP2 fill; runner CARD-SPECIFIED time-stop at 12 May session close or 3xATR cap 7575,2026-05-13,FILLED,2026-05-13 06:45:00,7417.8,Unit 2,7344.0,2026-05-19 17:15:00,stopped out (TP2 reached later at 2026-05-25 08:15:00) | market at window open 06:45,-1.0,73.8,
SPX-2026-05-12,2026-05-12,Trade 1 - Daily Directional,LONG,MARKET @ 07:00 UK,7412.8,7344.0,7481.6,7550.4,7575.0,68.8,3 units; Unit3 SL->entry+0.2R (7426.6) on TP2 fill; runner CARD-SPECIFIED time-stop at 12 May session close or 3xATR cap 7575,2026-05-13,FILLED,2026-05-13 06:45:00,7417.8,Unit 3,7458.5,2026-05-13 23:45:00,card-specified runner time-stop at the entry-session close | market at window open 06:45,0.551,73.8,
SPX-2026-05-12,2026-05-12,"Trade 2 - Pivot (TREND_UP pullback, buy daily P)",LONG,BUY LIMIT,7378.0,7344.0,7412.0,7446.0,7460.9,34.0,"3 units; Unit3 SL->entry+0.2R (7384.8) on TP2 fill; runner exits on first daily close below daily P 7378, capped at weekly R2 7460.9",2026-05-13,NO FILL,,,All units,,,level 7378.0 not reached in the 06:45-08:45 window on 2026-05-13 (window range 7415.5-7423.5); order expires.,0.0,,
SPX-2026-05-12,2026-05-12,Trade 3A - Momentum-Pullback (38.2% fib),LONG,BUY LIMIT,7362.0,7310.0,7381.9,7429.0,7626.0,52.0,3 units; Unit3 SL->entry+0.2R (7372.4) on TP2 fill; structural override to 7395.5 only on 100%-ext break,2026-05-13,NO FILL,,,All units,,,level 7362.0 not reached in the 06:45-08:45 window on 2026-05-13 (window range 7415.5-7423.5); order expires.,0.0,,
SPX-2026-05-13,2026-05-13,Trade 1 - Daily Directional,,,,,,,,,,,SUPPRESSED,,,All units,,,SUPPRESSED by card: direction score |+0.12| below 0.25 conviction threshold. No trade issued.,0.0,,
SPX-2026-05-13,2026-05-13,"Trade 2 - Pivot (TREND breakout, buy stop)",LONG,BUY STOP,7385.06,7363.09,7423.12,7434.21,7445.29,21.97,3 units; Unit3 SL->entry+0.2R (7389.46) on TP2 fill; runner trails toward prior ATH 7428.97 / weekly R1 ~7468,2026-05-14,FILLED,2026-05-14 06:45:00,7458.1,Unit 1,7423.12,2026-05-14 06:45:00,TP1 reached | marketable at window open (level already breached) - filled at open,-0.368,95.01,entry ref 7385.06 vs window fill 7458.1 (+73.0) | TP1 already behind price at fill | TP2 already behind price at fill | TP3 already behind price at fill
SPX-2026-05-13,2026-05-13,"Trade 2 - Pivot (TREND breakout, buy stop)",LONG,BUY STOP,7385.06,7363.09,7423.12,7434.21,7445.29,21.97,3 units; Unit3 SL->entry+0.2R (7389.46) on TP2 fill; runner trails toward prior ATH 7428.97 / weekly R1 ~7468,2026-05-14,FILLED,2026-05-14 06:45:00,7458.1,Unit 2,7434.21,2026-05-14 06:45:00,TP2 reached | marketable at window open (level already breached) - filled at open,-0.251,95.01,entry ref 7385.06 vs window fill 7458.1 (+73.0) | TP1 already behind price at fill | TP2 already behind price at fill | TP3 already behind price at fill
SPX-2026-05-13,2026-05-13,"Trade 2 - Pivot (TREND breakout, buy stop)",LONG,BUY STOP,7385.06,7363.09,7423.12,7434.21,7445.29,21.97,3 units; Unit3 SL->entry+0.2R (7389.46) on TP2 fill; runner trails toward prior ATH 7428.97 / weekly R1 ~7468,2026-05-14,FILLED,2026-05-14 06:45:00,7458.1,Unit 3,7445.29,2026-05-14 06:45:00,runner target reached | marketable at window open (level already breached) - filled at open,-0.135,95.01,entry ref 7385.06 vs window fill 7458.1 (+73.0) | TP1 already behind price at fill | TP2 already behind price at fill | TP3 already behind price at fill
SPX-2026-05-13,2026-05-13,Trade 3C - Momentum-Breakout (buy stop),LONG,BUY STOP,7432.0,7335.0,7529.0,7626.0,7606.0,97.0,3 units; Unit3 SL->entry+0.2R (7451.40) on TP2 fill; runner CARD-SPECIFIED time-stop at session close + 3xATR cap,2026-05-14,FILLED,2026-05-14 06:45:00,7458.1,Unit 1,7529.0,2026-05-25 02:30:00,TP1 reached | marketable at window open (level already breached) - filled at open,0.576,123.1,entry ref 7432.0 vs window fill 7458.1 (+26.1)
SPX-2026-05-13,2026-05-13,Trade 3C - Momentum-Breakout (buy stop),LONG,BUY STOP,7432.0,7335.0,7529.0,7626.0,7606.0,97.0,3 units; Unit3 SL->entry+0.2R (7451.40) on TP2 fill; runner CARD-SPECIFIED time-stop at session close + 3xATR cap,2026-05-14,FILLED,2026-05-14 06:45:00,7458.1,Unit 2,7335.0,2026-06-09 18:15:00,stopped out (TP2 reached later at 2026-08-04 14:30:00) | marketable at window open (level already breached) - filled at open,-1.0,123.1,entry ref 7432.0 vs window fill 7458.1 (+26.1)
