report_id,report_date,strategy,direction,card_entry,stop_loss,tp1,tp2,tp3,card_R_points,management,entry_session,entry_rule,fill_status,fill_time_broker,fill_price,R_points,risk_vs_card,unit,exit_price,exit_time_broker,exit_reason,R,notes
SPX-2026-05-11,2026-05-11,Trade 1 - Daily Directional,LONG,7398.93,7321.2,7476.66,7554.39,7626.93,77.73,3 units; Unit3 SL->entry+0.2R (7414.47) on TP2 fill; runner CARD-SPECIFIED time-stop at entry-session close or 3xATR cap,2026-05-12,WAITED: 08:45 was -0.04R worse; filled on the return to entry 7398.93,FILLED,2026-05-12 09:15:00,7398.93,77.73,1.0,Unit 1,7476.66,2026-05-14 13:00:00,TP1 reached,1.0,
SPX-2026-05-11,2026-05-11,Trade 1 - Daily Directional,LONG,7398.93,7321.2,7476.66,7554.39,7626.93,77.73,3 units; Unit3 SL->entry+0.2R (7414.47) on TP2 fill; runner CARD-SPECIFIED time-stop at entry-session close or 3xATR cap,2026-05-12,WAITED: 08:45 was -0.04R worse; filled on the return to entry 7398.93,FILLED,2026-05-12 09:15:00,7398.93,77.73,1.0,Unit 2,7554.39,2026-05-25 15:15:00,TP2 reached,2.0,
SPX-2026-05-11,2026-05-11,Trade 1 - Daily Directional,LONG,7398.93,7321.2,7476.66,7554.39,7626.93,77.73,3 units; Unit3 SL->entry+0.2R (7414.47) on TP2 fill; runner CARD-SPECIFIED time-stop at entry-session close or 3xATR cap,2026-05-12,WAITED: 08:45 was -0.04R worse; filled on the return to entry 7398.93,FILLED,2026-05-12 09:15:00,7398.93,77.73,1.0,Unit 3,7402.0,2026-05-12 23:45:00,card runner time-stop at entry-session close,0.039,
SPX-2026-05-11,2026-05-11,Trade 2 - Pivot pullback (buy daily-S1),LONG,7358.92,7318.91,7380.21,7420.22,7441.51,40.01,3 units; Unit3 SL->entry+0.2R (7366.92) on TP2 fill; runner trails to daily R3 7481.52 on close-through R2,2026-05-12,WAITED: 08:45 was -1.07R worse; filled on the return to entry 7358.92,FILLED,2026-05-12 18:15:00,7358.92,40.01,1.0,Unit 1,7380.21,2026-05-12 21:15:00,TP1 reached,0.532,
SPX-2026-05-11,2026-05-11,Trade 2 - Pivot pullback (buy daily-S1),LONG,7358.92,7318.91,7380.21,7420.22,7441.51,40.01,3 units; Unit3 SL->entry+0.2R (7366.92) on TP2 fill; runner trails to daily R3 7481.52 on close-through R2,2026-05-12,WAITED: 08:45 was -1.07R worse; filled on the return to entry 7358.92,FILLED,2026-05-12 18:15:00,7358.92,40.01,1.0,Unit 2,7420.22,2026-05-13 07:45:00,TP2 reached,1.532,
SPX-2026-05-11,2026-05-11,Trade 2 - Pivot pullback (buy daily-S1),LONG,7358.92,7318.91,7380.21,7420.22,7441.51,40.01,3 units; Unit3 SL->entry+0.2R (7366.92) on TP2 fill; runner trails to daily R3 7481.52 on close-through R2,2026-05-12,WAITED: 08:45 was -1.07R worse; filled on the return to entry 7358.92,FILLED,2026-05-12 18:15:00,7358.92,40.01,1.0,Unit 3,7441.51,2026-05-13 19:15:00,runner target reached,2.064,
SPX-2026-05-11,2026-05-11,Trade 3A - Momentum-Pullback (38.2% fib),LONG,7316.24,7258.56,7373.91,7401.5,7486.76,57.68,3 units; structural runner SL pull to 7247.27 on close-through 100% ext,2026-05-12,WAIT for entry,NO FILL,,,,,All units,,,08:45 price 7401.8 was -1.48R worse than entry 7316.24; price never traded back to entry in the session (range from 08:45: 7345.3-7415.5).,0.0,
SPX-2026-05-12,2026-05-12,Trade 1 - Daily Directional,LONG,7412.8,7344.0,7481.6,7550.4,7575.0,68.8,3 units; Unit3 SL->entry+0.2R (7426.6) on TP2 fill; runner CARD-SPECIFIED time-stop at 12 May session close or 3xATR cap 7575,2026-05-13,WAITED: 08:45 was -0.12R worse; filled on the return to entry 7412.80,FILLED,2026-05-13 15:30:00,7412.8,68.8,1.0,Unit 1,7481.6,2026-05-14 15:15:00,TP1 reached,1.0,
SPX-2026-05-12,2026-05-12,Trade 1 - Daily Directional,LONG,7412.8,7344.0,7481.6,7550.4,7575.0,68.8,3 units; Unit3 SL->entry+0.2R (7426.6) on TP2 fill; runner CARD-SPECIFIED time-stop at 12 May session close or 3xATR cap 7575,2026-05-13,WAITED: 08:45 was -0.12R worse; filled on the return to entry 7412.80,FILLED,2026-05-13 15:30:00,7412.8,68.8,1.0,Unit 2,7344.0,2026-05-19 17:15:00,stopped out (TP2 reached later 2026-05-25 08:15:00),-1.0,
SPX-2026-05-12,2026-05-12,Trade 1 - Daily Directional,LONG,7412.8,7344.0,7481.6,7550.4,7575.0,68.8,3 units; Unit3 SL->entry+0.2R (7426.6) on TP2 fill; runner CARD-SPECIFIED time-stop at 12 May session close or 3xATR cap 7575,2026-05-13,WAITED: 08:45 was -0.12R worse; filled on the return to entry 7412.80,FILLED,2026-05-13 15:30:00,7412.8,68.8,1.0,Unit 3,7458.5,2026-05-13 23:45:00,card runner time-stop at entry-session close,0.664,
SPX-2026-05-12,2026-05-12,"Trade 2 - Pivot (TREND_UP pullback, buy daily P)",LONG,7378.0,7344.0,7412.0,7446.0,7460.9,34.0,"3 units; Unit3 SL->entry+0.2R (7384.8) on TP2 fill; runner exits on first daily close below daily P 7378, capped at weekly R2 7460.9",2026-05-13,WAIT for entry,NO FILL,,,,,All units,,,08:45 price 7421.4 was -1.28R worse than entry 7378.0; price never traded back to entry in the session (range from 08:45: 7381.5-7466.0).,0.0,
SPX-2026-05-12,2026-05-12,Trade 3A - Momentum-Pullback (38.2% fib),LONG,7362.0,7310.0,7381.9,7429.0,7626.0,52.0,3 units; Unit3 SL->entry+0.2R (7372.4) on TP2 fill; structural override to 7395.5 only on 100%-ext break,2026-05-13,WAIT for entry,NO FILL,,,,,All units,,,08:45 price 7421.4 was -1.14R worse than entry 7362.0; price never traded back to entry in the session (range from 08:45: 7381.5-7466.0).,0.0,
SPX-2026-05-13,2026-05-13,Trade 1 - Daily Directional,,,,,,,,,,,SUPPRESSED,,,,,All units,,,card suppressed at issue,0.0,
SPX-2026-05-13,2026-05-13,"Trade 2 - Pivot (TREND breakout, buy stop)",LONG,7385.06,7363.09,7423.12,7434.21,7445.29,21.97,3 units; Unit3 SL->entry+0.2R (7389.46) on TP2 fill; runner trails toward prior ATH 7428.97 / weekly R1 ~7468,2026-05-14,WAIT for entry,NO FILL,,,,,All units,,,08:45 price 7459.9 was -3.41R worse than entry 7385.06; price never traded back to entry in the session (range from 08:45: 7458.1-7522.9).,0.0,
SPX-2026-05-13,2026-05-13,Trade 3C - Momentum-Breakout (buy stop),LONG,7432.0,7335.0,7529.0,7626.0,7606.0,97.0,3 units; Unit3 SL->entry+0.2R (7451.40) on TP2 fill; runner CARD-SPECIFIED time-stop at session close + 3xATR cap,2026-05-14,WAIT for entry,NO FILL,,,,,All units,,,08:45 price 7459.9 was -0.29R worse than entry 7432.0; price never traded back to entry in the session (range from 08:45: 7458.1-7522.9).,0.0,TP3 not beyond TP2 (inverted ladder)
SPX-2026-05-14,2026-05-14,Trade 1 - Daily Directional,,,,,,,,,,,SUPPRESSED,,,,,All units,,,card suppressed at issue,0.0,
SPX-2026-05-14,2026-05-14,Trade 2 - Pivot (buy limit weekly P),LONG,7402.0,7367.0,7437.0,7472.0,7540.0,35.0,3 units; Unit3 SL->entry+0.2R (7409) on TP2 fill; runner time-stop at session close,2026-05-15,WAITED: 08:45 was -1.66R worse; filled on the return to entry 7402.00,FILLED,2026-05-15 23:00:00,7402.0,35.0,1.0,Unit 1,7367.0,2026-05-18 03:00:00,stopped out (TP1 reached later 2026-05-18 15:45:00),-1.0,
SPX-2026-05-14,2026-05-14,Trade 2 - Pivot (buy limit weekly P),LONG,7402.0,7367.0,7437.0,7472.0,7540.0,35.0,3 units; Unit3 SL->entry+0.2R (7409) on TP2 fill; runner time-stop at session close,2026-05-15,WAITED: 08:45 was -1.66R worse; filled on the return to entry 7402.00,FILLED,2026-05-15 23:00:00,7402.0,35.0,1.0,Unit 2,7367.0,2026-05-18 03:00:00,stopped out (TP2 reached later 2026-05-22 03:15:00),-1.0,
