report_id,report_date,strategy,direction,entry_session,entry_rule,fill_status,fill_time,card_entry,fill_price,stop,R_points,risk_vs_card,units,blended_R,notes
SPX-2026-05-11,2026-05-11,Trade 1 - Daily Directional,LONG,2026-05-12,WAITED: 08:45 was -0.04R worse; filled on the return to entry 7398.93,FILLED,2026-05-12 09:15:00,7398.93,7398.93,7321.2,77.73,1.0,3,1.013,
SPX-2026-05-11,2026-05-11,Trade 2 - Pivot pullback (buy daily-S1),LONG,2026-05-12,WAITED: 08:45 was -1.07R worse; filled on the return to entry 7358.92,FILLED,2026-05-12 18:15:00,7358.92,7358.92,7318.91,40.01,1.0,3,1.376,
SPX-2026-05-11,2026-05-11,Trade 3A - Momentum-Pullback (38.2% fib),LONG,2026-05-12,WAIT for entry,NO FILL,,7316.24,,7258.56,,,1,0.0,
SPX-2026-05-12,2026-05-12,Trade 1 - Daily Directional,LONG,2026-05-13,WAITED: 08:45 was -0.12R worse; filled on the return to entry 7412.80,FILLED,2026-05-13 15:30:00,7412.8,7412.8,7344.0,68.8,1.0,3,0.221,
SPX-2026-05-12,2026-05-12,"Trade 2 - Pivot (TREND_UP pullback, buy daily P)",LONG,2026-05-13,WAIT for entry,NO FILL,,7378.0,,7344.0,,,1,0.0,
SPX-2026-05-12,2026-05-12,Trade 3A - Momentum-Pullback (38.2% fib),LONG,2026-05-13,WAIT for entry,NO FILL,,7362.0,,7310.0,,,1,0.0,
SPX-2026-05-13,2026-05-13,Trade 1 - Daily Directional,,,,SUPPRESSED,,,,,,,1,0.0,
SPX-2026-05-13,2026-05-13,"Trade 2 - Pivot (TREND breakout, buy stop)",LONG,2026-05-14,WAIT for entry,NO FILL,,7385.06,,7363.09,,,1,0.0,
SPX-2026-05-13,2026-05-13,Trade 3C - Momentum-Breakout (buy stop),LONG,2026-05-14,WAIT for entry,NO FILL,,7432.0,,7335.0,,,1,0.0,TP3 not beyond TP2 (inverted ladder)
SPX-2026-05-14,2026-05-14,Trade 1 - Daily Directional,,,,SUPPRESSED,,,,,,,1,0.0,
SPX-2026-05-14,2026-05-14,Trade 2 - Pivot (buy limit weekly P),LONG,2026-05-15,WAITED: 08:45 was -1.66R worse; filled on the return to entry 7402.00,FILLED,2026-05-15 23:00:00,7402.0,7402.0,7367.0,35.0,1.0,3,-0.678,
SPX-2026-05-14,2026-05-14,Trade 3A - Momentum-Pullback (38.2% fib),LONG,2026-05-15,WAITED: 08:45 was -0.86R worse; filled on the return to entry 7422.00,FILLED,2026-05-15 11:30:00,7422.0,7422.0,7378.0,44.0,1.0,3,-0.462,
SPX-2026-05-15,2026-05-15,Trade 1 - Daily Directional,LONG,2026-05-18,RECOVERY to -0.5R,NO FILL,,7501.59,,7453.59,,,1,0.0,
SPX-2026-05-15,2026-05-15,"Trade 2 - Pivot (TREND breakout, buy stop)",LONG,2026-05-18,RECOVERY to -0.5R,NO FILL,,7485.68,,7461.74,,,1,0.0,
SPX-2026-05-15,2026-05-15,Trade 3C - Momentum-Breakout (buy stop),LONG,2026-05-18,RECOVERY to -0.5R,NO FILL,,7510.0,,7425.0,,,1,0.0,
SPX-2026-05-18,2026-05-18,Trade 1 - Daily Directional,SHORT,2026-05-19,WAIT for entry,NO FILL,,7457.31,,7466.1,,,1,0.0,
SPX-2026-05-18,2026-05-18,Trade 2 - Pivot fade (sell limit daily R1),SHORT,,DUD SCREEN,REJECTED - DUD,,7443.07,,7482.13,,,1,0.0,TP2 not beyond TP1
SPX-2026-05-18,2026-05-18,"Trade 3C - Transition Breakout (sell stop, conditional)",SHORT,2026-05-19,WAITED: 08:45 was -0.02R worse; filled on the return to entry 7386.25,FILLED,2026-05-19 08:45:00,7386.25,7386.25,7459.35,73.1,1.0,3,-1.0,
SPX-2026-05-19,2026-05-19,Trade 1 - Daily Directional (mean-reversion),LONG,2026-05-20,IN BAND at 08:45 (+0.65R vs entry) - taken at market,FILLED,2026-05-20 08:45:00,7403.05,7358.9,7335.0,23.9,0.351,3,5.862,
SPX-2026-05-19,2026-05-19,Trade 2 - Pivot (buy limit daily S1),LONG,2026-05-20,IN BAND at 08:45 (+0.54R vs entry) - taken at market,FILLED,2026-05-20 08:45:00,7371.85,7358.9,7348.0,10.9,0.457,3,7.655,
SPX-2026-05-19,2026-05-19,Trade 3A - Momentum-Pullback (layered fib limits),LONG,2026-05-20,RECOVERY: 08:45 was +1.01R beyond entry; took the -0.5R level 7397.75,FILLED,2026-05-20 15:15:00,7435.5,7397.75,7360.0,37.75,0.5,3,3.415,
SPX-2026-05-20,2026-05-20,Trade 1 - Daily Directional,,,,SUPPRESSED,,,,,,,1,0.0,
SPX-2026-05-20,2026-05-20,Trade 2 - Pivot (weekly TREND breakout),LONG,2026-05-21,IN BAND at 08:45 (+0.13R vs entry) - taken at market,FILLED,2026-05-21 08:45:00,7442.17,7433.1,7372.92,60.18,0.869,3,0.943,
SPX-2026-05-20,2026-05-20,Trade 3A - Momentum-Pullback (demand-zone retest),LONG,2026-05-21,WAIT for entry,NO FILL,,7360.0,,7325.0,,,1,0.0,
SPX-2026-05-21,2026-05-21,Trade 1 - Daily Directional,LONG,2026-05-22,WAIT for entry,NO FILL,,7432.97,,7326.24,,,1,0.0,TP3 not beyond TP2 (inverted ladder)
SPX-2026-05-21,2026-05-21,Trade 2 - Pivot (TRANSITION breakout side),LONG,2026-05-22,WAIT for entry,NO FILL,,7442.42,,7375.01,,,1,0.0,
SPX-2026-05-21,2026-05-21,Trade 3C - Range Breakout (conditional),LONG,2026-05-26,WAITED: 08:45 was -0.04R worse; filled on the return to entry 7515.81,FILLED,2026-05-26 10:30:00,7515.81,7515.81,7225.11,290.7,1.0,3,0.81,
SPX-2026-05-22,2026-05-22,Trade 1 - Daily Directional,,,,SUPPRESSED,,,,,,,1,0.0,
SPX-2026-05-22,2026-05-22,Trade 2 - Pivot (TRANSITION breakout side),LONG,2026-05-25,WAIT for entry,NO FILL,,7415.0,,7355.0,,,1,0.0,
SPX-2026-05-22,2026-05-22,Trade 3C - Momentum-Breakout (conditional),LONG,2026-05-26,IN BAND at 08:45 (+0.03R vs entry) - taken at market,FILLED,2026-05-26 08:45:00,7539.0,7527.0,7193.0,334.0,0.965,3,0.672,
SPX-2026-05-25,2026-05-25,Trade 1 - Daily Directional,LONG,2026-05-26,WAIT for entry,NO FILL,,7473.47,,7403.3,,,1,0.0,
SPX-2026-05-25,2026-05-25,"Trade 2 - Pivot (TREND breakout, buy stop)",LONG,2026-05-26,WAIT for entry,NO FILL,,7447.53,,7426.43,,,1,0.0,
SPX-2026-05-25,2026-05-25,Trade 3A - Momentum-Pullback (57.5% fib),LONG,2026-05-26,WAIT for entry,NO FILL,,7400.82,,7320.9,,,1,0.0,
SPX-2026-05-26,2026-05-26,Trade 1 - Daily Directional,LONG,2026-05-27,WAIT for entry,NO FILL,,7473.47,,7397.96,,,1,0.0,
SPX-2026-05-26,2026-05-26,"Trade 2 - Pivot (TRANSITION breakout, buy stop)",LONG,2026-05-27,WAIT for entry,NO FILL,,7448.3,,7426.33,,,1,0.0,
SPX-2026-05-26,2026-05-26,Trade 3C - Range Breakout (conditional),LONG,2026-05-29,WAITED: 08:45 was -0.00R worse; filled on the return to entry 7574.60,FILLED,2026-05-29 10:15:00,7574.6,7574.6,7160.29,414.31,1.0,3,0.426,
SPX-2026-05-27,2026-05-27,Trade 1 - Daily Directional,LONG,2026-05-28,IN BAND at 08:45 (+0.02R vs entry) - taken at market,FILLED,2026-05-28 08:45:00,7519.12,7514.7,7330.35,184.35,0.977,3,-0.552,TP3 not beyond TP2 (inverted ladder)
SPX-2026-05-27,2026-05-27,Trade 2 - Pivot (TREND_UP),LONG,2026-05-28,WAIT for entry,NO FILL,,7451.26,,7389.82,,,1,0.0,
SPX-2026-05-27,2026-05-27,Trade 3A - Momentum-Pullback (57.5% fib),LONG,2026-05-28,WAIT for entry,NO FILL,,7421.5,,7330.35,,,1,0.0,
SPX-2026-05-28,2026-05-28,Trade 1 - Daily Directional,LONG,2026-05-29,WAIT for entry,NO FILL,,7519.0,,7471.2,,,1,0.0,
SPX-2026-05-28,2026-05-28,Trade 2 - Pivot (daily P / weekly R1 retest),LONG,2026-05-29,WAIT for entry,NO FILL,,7510.0,,7479.0,,,1,0.0,
SPX-2026-05-28,2026-05-28,Trade 3A - Momentum-Pullback,LONG,2026-05-29,WAIT for entry,NO FILL,,7495.0,,7471.0,,,1,0.0,
SPX-2026-05-29,2026-05-29,Trade 1 - Daily Directional,LONG,2026-06-01,WAIT for entry,NO FILL,,7535.0,,7495.0,,,1,0.0,
SPX-2026-05-29,2026-05-29,Trade 2 - Pivot (buy limit daily P),LONG,2026-06-01,WAIT for entry,NO FILL,,7551.0,,7517.0,,,1,0.0,
SPX-2026-05-29,2026-05-29,Trade 3A - Momentum-Pullback (breakout stop),LONG,2026-06-01,WAITED: 08:45 was -0.85R worse; filled on the return to entry 7572.00,FILLED,2026-06-01 16:15:00,7572.0,7572.0,7528.0,44.0,1.0,3,-0.333,
SPX-2026-06-01,2026-06-01,Trade 1 - Daily Directional (breakout stop),LONG,2026-06-02,IN BAND at 08:45 (+0.32R vs entry) - taken at market,FILLED,2026-06-02 08:45:00,7599.5,7587.8,7562.6,25.2,0.683,3,-0.224,
SPX-2026-06-01,2026-06-01,Trade 2 - Pivot (buy limit daily P),LONG,2026-06-02,WAITED: 08:45 was -0.19R worse; filled on the return to entry 7581.00,FILLED,2026-06-02 16:00:00,7581.0,7581.0,7545.2,35.8,1.0,3,0.377,
SPX-2026-06-01,2026-06-01,Trade 3A - Momentum-Pullback (38.2% fib),LONG,2026-06-02,WAIT for entry,NO FILL,,7538.0,,7520.0,,,1,0.0,
SPX-2026-06-02,2026-06-02,Trade 1 - Daily Directional,LONG,2026-06-03,WAITED: 08:45 was -0.26R worse; filled on the return to entry 7599.96,FILLED,2026-06-03 15:30:00,7599.96,7599.96,7551.51,48.45,1.0,3,-1.0,
SPX-2026-06-02,2026-06-02,Trade 2 - Pivot (buy limit daily P),LONG,2026-06-03,WAITED: 08:45 was -1.06R worse; filled on the return to entry 7580.81,FILLED,2026-06-03 16:45:00,7580.81,7580.81,7550.76,30.05,1.0,3,-1.0,TP3 not beyond TP2 (inverted ladder)
SPX-2026-06-02,2026-06-02,Trade 3A - Momentum-Pullback (38.2% fib),LONG,2026-06-03,WAITED: 08:45 was -2.21R worse; filled on the return to entry 7552.50,FILLED,2026-06-03 23:15:00,7552.5,7552.5,7525.28,27.22,1.0,3,-1.0,
SPX-2026-06-03,2026-06-03,Trade 1 - Daily Directional,LONG,2026-06-04,IN BAND at 08:45 (+0.56R vs entry) - taken at market,FILLED,2026-06-04 08:45:00,7585.5,7537.5,7499.14,38.36,0.444,3,-0.279,
SPX-2026-06-03,2026-06-03,Trade 2 - Pivot (buy limit daily P),LONG,2026-06-04,RECOVERY: 08:45 was +1.47R beyond entry; took the -0.5R level 7579.55,FILLED,2026-06-04 18:15:00,7601.28,7579.55,7557.81,21.73,0.5,3,-1.0,
SPX-2026-06-03,2026-06-03,Trade 3A - Momentum-Pullback (38.2% fib),LONG,2026-06-04,IN BAND at 08:45 (+0.40R vs entry) - taken at market,FILLED,2026-06-04 08:45:00,7573.68,7537.5,7484.0,53.5,0.597,3,-1.0,
SPX-2026-06-04,2026-06-04,Trade 1 - Daily Directional,LONG,2026-06-05,RECOVERY to -0.5R,NO FILL,,7609.78,,7573.71,,,1,0.0,
SPX-2026-06-04,2026-06-04,Trade 2 - Pivot (TREND_UP breakout),LONG,2026-06-05,RECOVERY to -0.5R,NO FILL,,7606.72,,7591.48,,,1,0.0,
SPX-2026-06-04,2026-06-04,Trade 3A - Momentum-Pullback (57.5% fib),LONG,2026-06-05,IN BAND at 08:45 (+0.01R vs entry) - taken at market,FILLED,2026-06-05 08:45:00,7554.26,7553.8,7490.5,63.3,0.993,3,-1.0,
SPX-2026-06-05,2026-06-05,Trade 1 - Daily Directional,,,,SUPPRESSED,,,,,,,1,0.0,
SPX-2026-06-05,2026-06-05,Trade 2 - Pivot (buy limit daily P),LONG,2026-06-08,RECOVERY to -0.5R,NO FILL,,7570.0,,7512.0,,,1,0.0,
SPX-2026-06-05,2026-06-05,Trade 3A - Momentum-Pullback (breakout stop),LONG,2026-06-08,RECOVERY to -0.5R,NO FILL,,7593.0,,7548.0,,,1,0.0,
SPX-2026-06-08,2026-06-08,Trade 1 - Daily Directional,SHORT,2026-06-09,IN BAND at 08:45 (+0.53R vs entry) - taken at market,FILLED,2026-06-09 08:45:00,7384.0,7432.1,7475.0,42.9,0.471,3,-1.0,
SPX-2026-06-08,2026-06-08,Trade 3A - Momentum-Pullback (sell limit weekly S2),SHORT,2026-06-09,WAITED: 08:45 was -0.27R worse; filled on the return to entry 7460.00,FILLED,2026-06-09 16:30:00,7460.0,7460.0,7565.0,105.0,1.0,3,0.679,
SPX-2026-06-09,2026-06-09,Trade 1 - Daily Directional,SHORT,2026-06-10,WAITED: 08:45 was -0.24R worse; filled on the return to entry 7384.00,FILLED,2026-06-10 16:45:00,7384.0,7384.0,7484.0,100.0,1.0,3,0.408,
SPX-2026-06-09,2026-06-09,Trade 3A - Momentum-Pullback (sell limit daily P),SHORT,2026-06-10,WAIT for entry,NO FILL,,7449.58,,7521.0,,,1,0.0,
SPX-2026-06-10,2026-06-10,Trade 1 - Daily Directional (sell stop),SHORT,2026-06-11,WAITED: 08:45 was -0.17R worse; filled on the return to entry 7330.00,FILLED,2026-06-11 11:00:00,7330.0,7330.0,7476.0,146.0,1.0,3,-0.814,
SPX-2026-06-10,2026-06-10,Trade 2 - Pivot (sell limit weekly P),SHORT,2026-06-11,WAIT for entry,NO FILL,,7460.0,,7518.0,,,1,0.0,
SPX-2026-06-10,2026-06-10,Trade 3C - Momentum-Breakout (sell stop),SHORT,2026-06-11,WAITED: 08:45 was -0.24R worse; filled on the return to entry 7322.00,FILLED,2026-06-11 10:15:00,7322.0,7322.0,7396.0,74.0,1.0,3,-1.0,
SPX-2026-06-11,2026-06-11,Trade 1 - Daily Directional,SHORT,2026-06-12,IN BAND at 08:45 (+0.46R vs entry) - taken at market,FILLED,2026-06-12 08:45:00,7267.45,7399.7,7552.45,152.75,0.536,3,-0.741,TP3 not beyond TP2 (inverted ladder)
SPX-2026-06-11,2026-06-11,Trade 3A - Momentum-Pullback (57.5% rally-sell),SHORT,2026-06-12,WAIT for entry,NO FILL,,7463.0,,7641.0,,,1,0.0,
SPX-2026-06-15,2026-06-15,Trade 1 - Daily Directional,LONG,2026-06-16,WAIT for entry,NO FILL,,7431.51,,7338.91,,,1,0.0,
SPX-2026-06-15,2026-06-15,Trade 2 - Pivot (buy stop daily R1),LONG,2026-06-16,WAIT for entry,NO FILL,,7470.9,,7416.86,,,1,0.0,
SPX-2026-06-15,2026-06-15,Trade 3C - Breakout (buy stop 5-day swing high),LONG,2026-06-16,WAIT for entry,NO FILL,,7483.15,,7416.96,,,1,0.0,
SPX-2026-06-16,2026-06-16,Trade 1 - Daily Directional,LONG,2026-06-17,WAITED: 08:45 was -2.62R worse; filled on the return to entry 7431.24,FILLED,2026-06-17 22:30:00,7431.24,7431.24,7389.24,42.0,1.0,3,1.127,
SPX-2026-06-16,2026-06-16,Trade 2 - Pivot (buy limit daily S1),LONG,2026-06-17,WAIT for entry,NO FILL,,7398.71,,7353.41,,,1,0.0,
SPX-2026-06-16,2026-06-16,Trade 3A - Momentum-Pullback (pivot confluence),LONG,2026-06-17,WAIT for entry,NO FILL,,7400.0,,7330.0,,,1,0.0,
SPX-2026-06-17,2026-06-17,Trade 1 - Daily Directional,LONG,2026-06-18,RECOVERY: 08:45 was +0.89R beyond entry; took the -0.5R level 7516.50,FILLED,2026-06-18 16:30:00,7558.0,7516.5,7475.0,41.5,0.5,3,-1.0,
SPX-2026-06-17,2026-06-17,Trade 2 - Pivot (buy limit daily S1),LONG,2026-06-18,IN BAND at 08:45 (+0.75R vs entry) - taken at market,FILLED,2026-06-18 08:45:00,7527.0,7484.4,7470.0,14.4,0.253,3,-1.0,
SPX-2026-06-17,2026-06-17,Trade 3A - Momentum-Pullback (breakout stop),LONG,2026-06-18,RECOVERY to -0.5R,NO FILL,,7590.0,,7527.0,,,1,0.0,
SPX-2026-06-18,2026-06-18,Trade 1 - Daily Directional,SHORT,2026-06-19,IN BAND at 08:45 (+0.49R vs entry) - taken at market,FILLED,2026-06-19 08:45:00,7420.0,7459.9,7501.0,41.1,0.507,3,-1.0,
SPX-2026-06-18,2026-06-18,Trade 2 - Pivot (sell limit monthly S1 / daily P),SHORT,2026-06-19,IN BAND at 08:45 (+0.18R vs entry) - taken at market,FILLED,2026-06-19 08:45:00,7450.0,7459.9,7506.0,46.1,0.823,3,-1.0,
SPX-2026-06-18,2026-06-18,Trade 3C - Momentum-Breakout (sell stop),SHORT,2026-06-19,RECOVERY to -0.5R,NO FILL,,7369.0,,7427.0,,,1,0.0,
SPX-2026-06-19,2026-06-19,Trade 1 - Daily Directional,LONG,2026-06-22,IN BAND at 08:45 (+0.44R vs entry) - taken at market,FILLED,2026-06-22 08:45:00,7500.58,7484.8,7465.0,19.8,0.556,3,0.478,
SPX-2026-06-19,2026-06-19,Trade 2 - Pivot (buy limit daily S1),LONG,2026-06-22,WAITED: 08:45 was -0.37R worse; filled on the return to entry 7475.58,FILLED,2026-06-22 17:45:00,7475.58,7475.58,7450.57,25.01,1.0,3,-1.0,
SPX-2026-06-19,2026-06-19,Trade 3A - Momentum-Pullback (breakout stop),LONG,2026-06-22,RECOVERY: 08:45 was +0.80R beyond entry; took the -0.5R level 7495.00,FILLED,2026-06-22 09:15:00,7512.0,7495.0,7478.0,17.0,0.5,3,-1.0,
SPX-2026-06-24,2026-06-24,Trade 1 - Daily Directional,SHORT,2026-06-25,IN BAND at 08:45 (+0.49R vs entry) - taken at market,FILLED,2026-06-25 08:45:00,7365.17,7416.6,7470.17,53.57,0.51,3,-0.422,
SPX-2026-06-24,2026-06-24,Trade 2 - Pivot (sell limit daily P shelf),SHORT,2026-06-25,IN BAND at 08:45 (+0.15R vs entry) - taken at market,FILLED,2026-06-25 08:45:00,7404.0,7416.6,7489.0,72.4,0.852,3,-0.222,
SPX-2026-06-24,2026-06-24,Trade 3A - Momentum-Pullback (38.2% rally-sell),SHORT,2026-06-25,WAIT for entry,NO FILL,,7453.0,,7545.0,,,1,0.0,
SPX-2026-06-25,2026-06-25,Trade 1 - Daily Directional,,,,SUPPRESSED,,,,,,,1,0.0,
SPX-2026-06-25,2026-06-25,"Trade 2 - Pivot (range fade, sell limit daily R1)",SHORT,2026-06-26,WAIT for entry,NO FILL,,7403.21,,7430.0,,,1,0.0,
