report_id,report_date,strategy,direction,card_entry_mode,card_entry,stop_loss,tp1,tp2,tp3,card_R_points,management,entry_session,entry_rule,fill_status,fill_time_broker,fill_price,R_points,risk_vs_card,unit,exit_price,exit_time_broker,exit_reason,R,notes
SPX-2026-05-11,2026-05-11,Trade 1 - Daily Directional,LONG,MARKET @ 00:00 UK,7398.93,7321.2,7476.66,7554.39,7626.93,77.73,3 units; Unit3 SL->entry+0.2R (7414.47) on TP2 fill; runner CARD-SPECIFIED time-stop at entry-session close or 3xATR cap,2026-05-12,B: limit at entry -0.5R = 7360.07 (did not chase),FILLED,2026-05-12 18:00:00,7360.07,38.87,0.5,Unit 1,7476.66,2026-05-14 13:00:00,TP1 reached,3.0,
SPX-2026-05-11,2026-05-11,Trade 1 - Daily Directional,LONG,MARKET @ 00:00 UK,7398.93,7321.2,7476.66,7554.39,7626.93,77.73,3 units; Unit3 SL->entry+0.2R (7414.47) on TP2 fill; runner CARD-SPECIFIED time-stop at entry-session close or 3xATR cap,2026-05-12,B: limit at entry -0.5R = 7360.07 (did not chase),FILLED,2026-05-12 18:00:00,7360.07,38.87,0.5,Unit 2,7554.39,2026-05-25 15:15:00,TP2 reached,5.0,
SPX-2026-05-11,2026-05-11,Trade 1 - Daily Directional,LONG,MARKET @ 00:00 UK,7398.93,7321.2,7476.66,7554.39,7626.93,77.73,3 units; Unit3 SL->entry+0.2R (7414.47) on TP2 fill; runner CARD-SPECIFIED time-stop at entry-session close or 3xATR cap,2026-05-12,B: limit at entry -0.5R = 7360.07 (did not chase),FILLED,2026-05-12 18:00:00,7360.07,38.87,0.5,Unit 3,7402.0,2026-05-12 23:45:00,card runner time-stop at entry-session close,1.079,
SPX-2026-05-11,2026-05-11,Trade 2 - Pivot pullback (buy daily-S1),LONG,BUY LIMIT,7358.92,7318.91,7380.21,7420.22,7441.51,40.01,3 units; Unit3 SL->entry+0.2R (7366.92) on TP2 fill; runner trails to daily R3 7481.52 on close-through R2,2026-05-12,B: wait for entry -0.5R,NO FILL,,,,,All units,,,06:45 price 7410.5 was worse than the card entry 7358.92; the -0.5R improvement level 7338.9 was not reached (session range from 06:45: 7345.3-7415.5).,0.0,
SPX-2026-05-11,2026-05-11,Trade 3A - Momentum-Pullback (38.2% fib),LONG,BUY LIMIT,7316.24,7258.56,7373.91,7401.5,7486.76,57.68,3 units; structural runner SL pull to 7247.27 on close-through 100% ext,2026-05-12,B: wait for entry -0.5R,NO FILL,,,,,All units,,,06:45 price 7410.5 was worse than the card entry 7316.24; the -0.5R improvement level 7287.4 was not reached (session range from 06:45: 7345.3-7415.5).,0.0,
SPX-2026-05-12,2026-05-12,Trade 1 - Daily Directional,LONG,MARKET @ 07:00 UK,7412.8,7344.0,7481.6,7550.4,7575.0,68.8,3 units; Unit3 SL->entry+0.2R (7426.6) on TP2 fill; runner CARD-SPECIFIED time-stop at 12 May session close or 3xATR cap 7575,2026-05-13,B: wait for entry -0.5R,NO FILL,,,,,All units,,,06:45 price 7417.8 was worse than the card entry 7412.8; the -0.5R improvement level 7378.4 was not reached (session range from 06:45: 7381.5-7466.0).,0.0,
SPX-2026-05-12,2026-05-12,"Trade 2 - Pivot (TREND_UP pullback, buy daily P)",LONG,BUY LIMIT,7378.0,7344.0,7412.0,7446.0,7460.9,34.0,"3 units; Unit3 SL->entry+0.2R (7384.8) on TP2 fill; runner exits on first daily close below daily P 7378, capped at weekly R2 7460.9",2026-05-13,B: wait for entry -0.5R,NO FILL,,,,,All units,,,06:45 price 7417.8 was worse than the card entry 7378.0; the -0.5R improvement level 7361.0 was not reached (session range from 06:45: 7381.5-7466.0).,0.0,
SPX-2026-05-12,2026-05-12,Trade 3A - Momentum-Pullback (38.2% fib),LONG,BUY LIMIT,7362.0,7310.0,7381.9,7429.0,7626.0,52.0,3 units; Unit3 SL->entry+0.2R (7372.4) on TP2 fill; structural override to 7395.5 only on 100%-ext break,2026-05-13,B: wait for entry -0.5R,NO FILL,,,,,All units,,,06:45 price 7417.8 was worse than the card entry 7362.0; the -0.5R improvement level 7336.0 was not reached (session range from 06:45: 7381.5-7466.0).,0.0,
SPX-2026-05-13,2026-05-13,Trade 1 - Daily Directional,,,,,,,,,,,,SUPPRESSED,,, ,,All units,,,SUPPRESSED by card: direction score |+0.12| below 0.25 conviction threshold. No trade issued.,0.0,
SPX-2026-05-13,2026-05-13,"Trade 2 - Pivot (TREND breakout, buy stop)",LONG,BUY STOP,7385.06,7363.09,7423.12,7434.21,7445.29,21.97,3 units; Unit3 SL->entry+0.2R (7389.46) on TP2 fill; runner trails toward prior ATH 7428.97 / weekly R1 ~7468,2026-05-14,B: wait for entry -0.5R,NO FILL,,,,,All units,,,06:45 price 7458.1 was worse than the card entry 7385.06; the -0.5R improvement level 7374.1 was not reached (session range from 06:45: 7454.1-7522.9).,0.0,
SPX-2026-05-13,2026-05-13,Trade 3C - Momentum-Breakout (buy stop),LONG,BUY STOP,7432.0,7335.0,7529.0,7626.0,7606.0,97.0,3 units; Unit3 SL->entry+0.2R (7451.40) on TP2 fill; runner CARD-SPECIFIED time-stop at session close + 3xATR cap,2026-05-14,B: wait for entry -0.5R,NO FILL,,,,,All units,,,06:45 price 7458.1 was worse than the card entry 7432.0; the -0.5R improvement level 7383.5 was not reached (session range from 06:45: 7454.1-7522.9).,0.0,
SPX-2026-05-14,2026-05-14,Trade 1 - Daily Directional,,,,,,,,,,,,SUPPRESSED,,, ,,All units,,,SUPPRESSED by card: direction score +0.18 below 0.25 threshold; event-laden session (Trump-Xi summit + Retail Sales).,0.0,
SPX-2026-05-14,2026-05-14,Trade 2 - Pivot (buy limit weekly P),LONG,BUY LIMIT,7402.0,7367.0,7437.0,7472.0,7540.0,35.0,3 units; Unit3 SL->entry+0.2R (7409) on TP2 fill; runner time-stop at session close,2026-05-15,B: wait for entry -0.5R,NO FILL,,,,,All units,,,06:45 price 7488.4 was worse than the card entry 7402.0; the -0.5R improvement level 7384.5 was not reached (session range from 06:45: 7391.9-7490.1).,0.0,
SPX-2026-05-14,2026-05-14,Trade 3A - Momentum-Pullback (38.2% fib),LONG,BUY LIMIT,7422.0,7378.0,7449.0,7495.0,7540.0,44.0,3 units; Unit3 SL->entry+0.2R (7431) on TP2 fill; structural override to 7400 only on break above 7520,2026-05-15,B: limit at entry -0.5R = 7400.00 (did not chase),FILLED,2026-05-15 23:00:00,7400.0,22.0,0.5,Unit 1,7378.0,2026-05-18 03:00:00,stopped out (TP1 reached later 2026-05-21 11:15:00),-1.0,
SPX-2026-05-14,2026-05-14,Trade 3A - Momentum-Pullback (38.2% fib),LONG,BUY LIMIT,7422.0,7378.0,7449.0,7495.0,7540.0,44.0,3 units; Unit3 SL->entry+0.2R (7431) on TP2 fill; structural override to 7400 only on break above 7520,2026-05-15,B: limit at entry -0.5R = 7400.00 (did not chase),FILLED,2026-05-15 23:00:00,7400.0,22.0,0.5,Unit 2,7378.0,2026-05-18 03:00:00,stopped out (TP2 reached later 2026-05-22 16:30:00),-1.0,
SPX-2026-05-14,2026-05-14,Trade 3A - Momentum-Pullback (38.2% fib),LONG,BUY LIMIT,7422.0,7378.0,7449.0,7495.0,7540.0,44.0,3 units; Unit3 SL->entry+0.2R (7431) on TP2 fill; structural override to 7400 only on break above 7520,2026-05-15,B: limit at entry -0.5R = 7400.00 (did not chase),FILLED,2026-05-15 23:00:00,7400.0,22.0,0.5,Unit 3,7378.0,2026-05-18 03:00:00,stopped out,-1.0,
SPX-2026-05-15,2026-05-15,Trade 1 - Daily Directional,LONG,MARKET @ 13:30 UK,7501.59,7453.59,7549.59,7597.59,7681.59,48.0,3 units; Unit3 SL->entry+0.2R (7511.19) on TP2 fill; runner time-stop at NY close 15 May,2026-05-18,A: market-if-better,SKIPPED,2026-05-18 06:45:00,7371.6,,,All units,,,06:45 price 7371.6 is beyond the card stop 7453.59 - the structure the card was built on is already gone; no entry taken.,0.0,PRICE THROUGH STOP AT 06:45
SPX-2026-05-15,2026-05-15,"Trade 2 - Pivot (TREND breakout, buy stop)",LONG,BUY STOP,7485.68,7461.74,7525.66,7549.73,,23.94,3 units; Unit3 SL->entry+0.2R (7490.47) on TP2 fill; runner time-stop at NY close,2026-05-18,A: market-if-better,SKIPPED,2026-05-18 06:45:00,7371.6,,,All units,,,06:45 price 7371.6 is beyond the card stop 7461.74 - the structure the card was built on is already gone; no entry taken.,0.0,PRICE THROUGH STOP AT 06:45
SPX-2026-05-15,2026-05-15,Trade 3C - Momentum-Breakout (buy stop),LONG,BUY STOP (on confirmed daily close > 7505.30),7510.0,7425.0,7595.0,7680.0,,85.0,3 units; Unit3 SL->entry+0.2R (7527) on TP2 fill; runner time-stop at 22 May NY close,2026-05-18,A: market-if-better,SKIPPED,2026-05-18 06:45:00,7371.6,,,All units,,,06:45 price 7371.6 is beyond the card stop 7425.0 - the structure the card was built on is already gone; no entry taken.,0.0,PRICE THROUGH STOP AT 06:45
SPX-2026-05-18,2026-05-18,Trade 1 - Daily Directional,SHORT,MARKET @ overridden daily-open anchor,7457.31,7466.1,7448.52,7439.73,7322.31,8.79,3 units; Unit3 SL->entry-0.2R (7459.07) on TP2 fill; runner CARD-SPECIFIED time-stop at session close / 3xATR cap,2026-05-19,B: wait for entry -0.5R,NO FILL,,,,,All units,,,06:45 price 7402.5 was worse than the card entry 7457.31; the -0.5R improvement level 7461.7 was not reached (session range from 06:45: 7339.1-7417.8).,0.0,
SPX-2026-05-18,2026-05-18,Trade 2 - Pivot fade (sell limit daily R1),SHORT,SELL LIMIT,7443.07,7482.13,7404.0,7420.28,7385.72,39.07,3 units; Unit3 SL->entry-0.2R (7435.25) on TP2 fill; runner exits on P touch / S1 close / session close,2026-05-19,B: wait for entry -0.5R,NO FILL,,,,,All units,,,06:45 price 7402.5 was worse than the card entry 7443.07; the -0.5R improvement level 7462.6 was not reached (session range from 06:45: 7339.1-7417.8).,0.0,
SPX-2026-05-18,2026-05-18,"Trade 3C - Transition Breakout (sell stop, conditional)",SHORT,"SELL STOP on confirmed daily close < 7386.25, executed next open",7386.25,7459.35,7326.23,7229.13,7186.39,73.1,3 units; Unit3 SL->entry-0.2R (7371.63) on TP2 fill,2026-05-19,A: market at 06:45 (better than card entry),FILLED,2026-05-19 06:45:00,7402.5,56.85,0.778,Unit 1,7459.35,2026-05-21 20:45:00,stopped out (TP1 reached later 2026-06-09 18:15:00),-1.0,
SPX-2026-05-18,2026-05-18,"Trade 3C - Transition Breakout (sell stop, conditional)",SHORT,"SELL STOP on confirmed daily close < 7386.25, executed next open",7386.25,7459.35,7326.23,7229.13,7186.39,73.1,3 units; Unit3 SL->entry-0.2R (7371.63) on TP2 fill,2026-05-19,A: market at 06:45 (better than card entry),FILLED,2026-05-19 06:45:00,7402.5,56.85,0.778,Unit 2,7459.35,2026-05-21 20:45:00,stopped out (TP2 never reached),-1.0,
SPX-2026-05-18,2026-05-18,"Trade 3C - Transition Breakout (sell stop, conditional)",SHORT,"SELL STOP on confirmed daily close < 7386.25, executed next open",7386.25,7459.35,7326.23,7229.13,7186.39,73.1,3 units; Unit3 SL->entry-0.2R (7371.63) on TP2 fill,2026-05-19,A: market at 06:45 (better than card entry),FILLED,2026-05-19 06:45:00,7402.5,56.85,0.778,Unit 3,7459.35,2026-05-21 20:45:00,stopped out,-1.0,
SPX-2026-05-19,2026-05-19,Trade 1 - Daily Directional (mean-reversion),LONG,"PENDING MARKET-BUY set 00:00 UK, activates NY cash open 14:30 UK",7403.05,7335.0,7434.0,7490.0,7573.0,68.05,3 units; Unit3 trails to entry+0.2R (7416.65) on TP2 fill,2026-05-20,A: market at 06:45 (better than card entry),FILLED,2026-05-20 06:45:00,7351.4,16.4,0.241,Unit 1,7434.0,2026-05-20 18:15:00,TP1 reached,5.037,MICRO-R
SPX-2026-05-19,2026-05-19,Trade 1 - Daily Directional (mean-reversion),LONG,"PENDING MARKET-BUY set 00:00 UK, activates NY cash open 14:30 UK",7403.05,7335.0,7434.0,7490.0,7573.0,68.05,3 units; Unit3 trails to entry+0.2R (7416.65) on TP2 fill,2026-05-20,A: market at 06:45 (better than card entry),FILLED,2026-05-20 06:45:00,7351.4,16.4,0.241,Unit 2,7490.0,2026-05-22 16:00:00,TP2 reached,8.451,MICRO-R
SPX-2026-05-19,2026-05-19,Trade 1 - Daily Directional (mean-reversion),LONG,"PENDING MARKET-BUY set 00:00 UK, activates NY cash open 14:30 UK",7403.05,7335.0,7434.0,7490.0,7573.0,68.05,3 units; Unit3 trails to entry+0.2R (7416.65) on TP2 fill,2026-05-20,A: market at 06:45 (better than card entry),FILLED,2026-05-20 06:45:00,7351.4,16.4,0.241,Unit 3,7573.0,2026-05-28 20:45:00,runner target reached,13.512,MICRO-R
SPX-2026-05-19,2026-05-19,Trade 2 - Pivot (buy limit daily S1),LONG,BUY LIMIT,7371.85,7348.0,7403.0,7434.0,7490.0,23.85,3 units; Unit3 trails to entry+0.2R on TP2 fill,2026-05-20,A: market at 06:45 (better than card entry),FILLED,2026-05-20 06:45:00,7351.4,3.4,0.143,Unit 1,7348.0,2026-05-20 07:45:00,stopped out (TP1 reached later 2026-05-20 17:15:00),-1.0,MICRO-R
SPX-2026-05-19,2026-05-19,Trade 2 - Pivot (buy limit daily S1),LONG,BUY LIMIT,7371.85,7348.0,7403.0,7434.0,7490.0,23.85,3 units; Unit3 trails to entry+0.2R on TP2 fill,2026-05-20,A: market at 06:45 (better than card entry),FILLED,2026-05-20 06:45:00,7351.4,3.4,0.143,Unit 2,7348.0,2026-05-20 07:45:00,stopped out (TP2 reached later 2026-05-20 18:15:00),-1.0,MICRO-R
SPX-2026-05-19,2026-05-19,Trade 2 - Pivot (buy limit daily S1),LONG,BUY LIMIT,7371.85,7348.0,7403.0,7434.0,7490.0,23.85,3 units; Unit3 trails to entry+0.2R on TP2 fill,2026-05-20,A: market at 06:45 (better than card entry),FILLED,2026-05-20 06:45:00,7351.4,3.4,0.143,Unit 3,7348.0,2026-05-20 07:45:00,stopped out,-1.0,MICRO-R
SPX-2026-05-19,2026-05-19,Trade 3A - Momentum-Pullback (layered fib limits),LONG,BUY LIMIT (layered 7444.43 / 7427.32),7435.5,7360.0,7490.0,7517.0,7573.0,75.5,3 units; on Unit 2 fill Unit 3 stop pulls to entry (supersedes +0.2R),2026-05-20,A: market-if-better,SKIPPED,2026-05-20 06:45:00,7351.4,,,All units,,,06:45 price 7351.4 is beyond the card stop 7360.0 - the structure the card was built on is already gone; no entry taken.,0.0,PRICE THROUGH STOP AT 06:45
SPX-2026-05-20,2026-05-20,Trade 1 - Daily Directional,,,,,,,,,,,,SUPPRESSED,,, ,,All units,,,SUPPRESSED by card: direction score |+0.02| below 0.25 threshold; short-term bearish vs medium-term bullish cancelled out.,0.0,
SPX-2026-05-20,2026-05-20,Trade 2 - Pivot (weekly TREND breakout),LONG,BUY STOP from 14:30 UK cash open,7442.17,7372.92,7488.61,7528.67,7568.73,69.25,3 units; Unit3 SL->entry+0.2R (7456.02) on TP2 fill; runner CARD-SPECIFIED exit at session close + 3xATR cap,2026-05-21,A: market at 06:45 (better than card entry),FILLED,2026-05-21 06:45:00,7433.0,60.08,0.868,Unit 1,7488.61,2026-05-22 15:45:00,TP1 reached,0.926,
SPX-2026-05-20,2026-05-20,Trade 2 - Pivot (weekly TREND breakout),LONG,BUY STOP from 14:30 UK cash open,7442.17,7372.92,7488.61,7528.67,7568.73,69.25,3 units; Unit3 SL->entry+0.2R (7456.02) on TP2 fill; runner CARD-SPECIFIED exit at session close + 3xATR cap,2026-05-21,A: market at 06:45 (better than card entry),FILLED,2026-05-21 06:45:00,7433.0,60.08,0.868,Unit 2,7528.67,2026-05-25 02:30:00,TP2 reached,1.592,
SPX-2026-05-20,2026-05-20,Trade 2 - Pivot (weekly TREND breakout),LONG,BUY STOP from 14:30 UK cash open,7442.17,7372.92,7488.61,7528.67,7568.73,69.25,3 units; Unit3 SL->entry+0.2R (7456.02) on TP2 fill; runner CARD-SPECIFIED exit at session close + 3xATR cap,2026-05-21,A: market at 06:45 (better than card entry),FILLED,2026-05-21 06:45:00,7433.0,60.08,0.868,Unit 3,7452.3,2026-05-21 23:45:00,card runner time-stop at entry-session close,0.321,
SPX-2026-05-20,2026-05-20,Trade 3A - Momentum-Pullback (demand-zone retest),LONG,BUY LIMIT,7360.0,7325.0,7395.0,7433.31,7453.09,35.0,3 units; Unit3 SL->entry+0.2R (7367) on TP2 fill; override to ATH retest on 100% ext,2026-05-21,B: wait for entry -0.5R,NO FILL,,,,,All units,,,06:45 price 7433.0 was worse than the card entry 7360.0; the -0.5R improvement level 7342.5 was not reached (session range from 06:45: 7394.1-7471.8).,0.0,
SPX-2026-05-21,2026-05-21,Trade 1 - Daily Directional,LONG,MARKET @ overridden daily-open anchor (proxy = 20 May RTH close),7432.97,7326.24,7539.7,7646.43,7612.49,106.73,3 units; Unit3 SL->entry+0.2R (7454.32) on TP2 fill; runner CARD-SPECIFIED time-stop at session close / 3xATR cap,2026-05-22,B: wait for entry -0.5R,NO FILL,,,,,All units,,,06:45 price 7472.2 was worse than the card entry 7432.97; the -0.5R improvement level 7379.6 was not reached (session range from 06:45: 7455.2-7509.2).,0.0,
SPX-2026-05-21,2026-05-21,Trade 2 - Pivot (TRANSITION breakout side),LONG,BUY STOP,7442.42,7375.01,7486.61,7525.67,7564.73,67.41,3 units; Unit3 SL->entry+0.2R (7455.90) on TP2 fill,2026-05-22,B: wait for entry -0.5R,NO FILL,,,,,All units,,,06:45 price 7472.2 was worse than the card entry 7442.42; the -0.5R improvement level 7408.7 was not reached (session range from 06:45: 7455.2-7509.2).,0.0,
