report_id,report_date,strategy,direction,entry_rule,entry_session,fill_status,fill_time,fill_price,card_entry,stop,R_points,risk_vs_card,units,blended_R,notes
SPX-2026-05-11,2026-05-11,Trade 1 - Daily Directional,LONG,B: limit at entry -0.5R = 7360.07 (did not chase),2026-05-12,FILLED,2026-05-12 18:00:00,7360.07,7398.93,7321.2,38.87,0.5,3,3.026,
SPX-2026-05-11,2026-05-11,Trade 2 - Pivot pullback (buy daily-S1),LONG,B: wait for entry -0.5R,2026-05-12,NO FILL,,,7358.92,7318.91,,,1,0.0,
SPX-2026-05-11,2026-05-11,Trade 3A - Momentum-Pullback (38.2% fib),LONG,B: wait for entry -0.5R,2026-05-12,NO FILL,,,7316.24,7258.56,,,1,0.0,
SPX-2026-05-12,2026-05-12,Trade 1 - Daily Directional,LONG,B: wait for entry -0.5R,2026-05-13,NO FILL,,,7412.8,7344.0,,,1,0.0,
SPX-2026-05-12,2026-05-12,"Trade 2 - Pivot (TREND_UP pullback, buy daily P)",LONG,B: wait for entry -0.5R,2026-05-13,NO FILL,,,7378.0,7344.0,,,1,0.0,
SPX-2026-05-12,2026-05-12,Trade 3A - Momentum-Pullback (38.2% fib),LONG,B: wait for entry -0.5R,2026-05-13,NO FILL,,,7362.0,7310.0,,,1,0.0,
SPX-2026-05-13,2026-05-13,Trade 1 - Daily Directional,,,,SUPPRESSED,,,,, ,,1,0.0,
SPX-2026-05-13,2026-05-13,"Trade 2 - Pivot (TREND breakout, buy stop)",LONG,B: wait for entry -0.5R,2026-05-14,NO FILL,,,7385.06,7363.09,,,1,0.0,
SPX-2026-05-13,2026-05-13,Trade 3C - Momentum-Breakout (buy stop),LONG,B: wait for entry -0.5R,2026-05-14,NO FILL,,,7432.0,7335.0,,,1,0.0,
SPX-2026-05-14,2026-05-14,Trade 1 - Daily Directional,,,,SUPPRESSED,,,,, ,,1,0.0,
SPX-2026-05-14,2026-05-14,Trade 2 - Pivot (buy limit weekly P),LONG,B: wait for entry -0.5R,2026-05-15,NO FILL,,,7402.0,7367.0,,,1,0.0,
SPX-2026-05-14,2026-05-14,Trade 3A - Momentum-Pullback (38.2% fib),LONG,B: limit at entry -0.5R = 7400.00 (did not chase),2026-05-15,FILLED,2026-05-15 23:00:00,7400.0,7422.0,7378.0,22.0,0.5,3,-1.0,
