report_id,report_date,strategy,units,status,blended_R_card,blended_R_realised
SPX-2026-05-11,2026-05-11,Trade 1 - Daily Directional,3,CLOSED,1.074,1.435
SPX-2026-05-11,2026-05-11,Trade 2 - Pivot pullback (buy daily-S1),1,NO_FILL,0.0,0.0
SPX-2026-05-11,2026-05-11,Trade 3A - Momentum-Pullback (38.2% fib),1,NO_FILL,0.0,0.0
SPX-2026-05-12,2026-05-12,Trade 1 - Daily Directional,3,CLOSED,-0.052,0.109
SPX-2026-05-12,2026-05-12,"Trade 2 - Pivot (TREND_UP pullback, buy daily P)",3,CLOSED,1.813,1.813
SPX-2026-05-12,2026-05-12,Trade 3A - Momentum-Pullback (38.2% fib),3,CLOSED,0.624,0.624
SPX-2026-05-13,2026-05-13,Trade 1 - Daily Directional,1,SUPPRESSED,0.0,0.0
SPX-2026-05-13,2026-05-13,"Trade 2 - Pivot (TREND breakout, buy stop)",3,CLOSED,1.39,-0.074
SPX-2026-05-13,2026-05-13,Trade 3C - Momentum-Breakout (buy stop),3,CLOSED,0.091,0.091
SPX-2026-05-14,2026-05-14,Trade 1 - Daily Directional,1,SUPPRESSED,0.0,0.0
SPX-2026-05-14,2026-05-14,Trade 2 - Pivot (buy limit weekly P),1,NO_FILL,0.0,0.0
SPX-2026-05-14,2026-05-14,Trade 3A - Momentum-Pullback (38.2% fib),3,CLOSED,-0.462,-0.462
SPX-2026-05-15,2026-05-15,Trade 1 - Daily Directional,3,CLOSED - CARD DEFECT,-1.0,
SPX-2026-05-15,2026-05-15,"Trade 2 - Pivot (TREND breakout, buy stop)",1,NO_FILL,0.0,0.0
SPX-2026-05-15,2026-05-15,Trade 3C - Momentum-Breakout (buy stop),1,NO_FILL,0.0,0.0
SPX-2026-05-18,2026-05-18,Trade 1 - Daily Directional,3,CLOSED - CARD DEFECT,2.976,
SPX-2026-05-18,2026-05-18,Trade 2 - Pivot fade (sell limit daily R1),1,NO_FILL,0.0,0.0
SPX-2026-05-18,2026-05-18,"Trade 3C - Transition Breakout (sell stop, conditional)",3,CLOSED,-1.0,-1.0
SPX-2026-05-19,2026-05-19,Trade 1 - Daily Directional (mean-reversion),3,CLOSED,1.41,2.685
SPX-2026-05-19,2026-05-19,Trade 2 - Pivot (buy limit daily S1),3,CLOSED,-1.0,-1.0
SPX-2026-05-19,2026-05-19,Trade 3A - Momentum-Pullback (layered fib limits),3,CLOSED - CARD DEFECT,-1.0,-1.0
SPX-2026-05-20,2026-05-20,Trade 1 - Daily Directional,1,SUPPRESSED,0.0,0.0
SPX-2026-05-20,2026-05-20,Trade 2 - Pivot (weekly TREND breakout),3,CLOSED,0.536,0.536
SPX-2026-05-20,2026-05-20,Trade 3A - Momentum-Pullback (demand-zone retest),1,NO_FILL,0.0,0.0
SPX-2026-05-21,2026-05-21,Trade 1 - Daily Directional,3,CLOSED,0.06,0.252
SPX-2026-05-21,2026-05-21,Trade 2 - Pivot (TRANSITION breakout side),3,CLOSED,1.235,1.235
SPX-2026-05-21,2026-05-21,Trade 3C - Range Breakout (conditional),3,OPEN_MTM,0.81,0.606
SPX-2026-05-22,2026-05-22,Trade 1 - Daily Directional,1,SUPPRESSED,0.0,0.0
SPX-2026-05-22,2026-05-22,Trade 2 - Pivot (TRANSITION breakout side),3,CLOSED - CARD DEFECT,0.933,0.172
SPX-2026-05-22,2026-05-22,Trade 3C - Momentum-Breakout (conditional),3,OPEN_MTM,0.614,0.552
SPX-2026-05-25,2026-05-25,Trade 1 - Daily Directional,3,CLOSED - CARD DEFECT,1.228,0.264
SPX-2026-05-25,2026-05-25,"Trade 2 - Pivot (TREND breakout, buy stop)",3,CLOSED - CARD DEFECT,1.568,-0.461
SPX-2026-05-25,2026-05-25,Trade 3A - Momentum-Pullback (57.5% fib),1,NO_FILL,0.0,0.0
SPX-2026-05-26,2026-05-26,Trade 1 - Daily Directional,3,CLOSED - CARD DEFECT,1.204,0.073
SPX-2026-05-26,2026-05-26,"Trade 2 - Pivot (TRANSITION breakout, buy stop)",3,CLOSED - CARD DEFECT,1.548,-0.56
SPX-2026-05-26,2026-05-26,Trade 3C - Range Breakout (conditional),3,OPEN_MTM,0.426,0.414
SPX-2026-05-27,2026-05-27,Trade 1 - Daily Directional,3,CLOSED - CARD DEFECT,-0.625,-0.686
SPX-2026-05-27,2026-05-27,Trade 2 - Pivot (TREND_UP),1,NO_FILL,0.0,0.0
SPX-2026-05-27,2026-05-27,Trade 3A - Momentum-Pullback (57.5% fib),1,NO_FILL,0.0,0.0
SPX-2026-05-28,2026-05-28,Trade 1 - Daily Directional,3,CLOSED,1.28,2.81
SPX-2026-05-28,2026-05-28,Trade 2 - Pivot (daily P / weekly R1 retest),3,CLOSED - CARD DEFECT,2.145,3.687
SPX-2026-05-28,2026-05-28,Trade 3A - Momentum-Pullback,1,NO_FILL,0.0,0.0
SPX-2026-05-29,2026-05-29,Trade 1 - Daily Directional,3,CLOSED,0.393,0.393
SPX-2026-05-29,2026-05-29,Trade 2 - Pivot (buy limit daily P),3,CLOSED,-0.333,-0.333
SPX-2026-05-29,2026-05-29,Trade 3A - Momentum-Pullback (breakout stop),3,CLOSED - CARD DEFECT,-0.333,-0.42
SPX-2026-06-01,2026-06-01,Trade 1 - Daily Directional (breakout stop),3,CLOSED,-0.66,-0.66
SPX-2026-06-01,2026-06-01,Trade 2 - Pivot (buy limit daily P),3,CLOSED,0.181,0.181
SPX-2026-06-01,2026-06-01,Trade 3A - Momentum-Pullback (38.2% fib),3,CLOSED,-1.0,-1.0
SPX-2026-06-02,2026-06-02,Trade 1 - Daily Directional,3,CLOSED,-0.52,-0.542
SPX-2026-06-02,2026-06-02,Trade 2 - Pivot (buy limit daily P),3,CLOSED,0.198,0.198
SPX-2026-06-02,2026-06-02,Trade 3A - Momentum-Pullback (38.2% fib),3,CLOSED,-1.0,-1.0
SPX-2026-06-03,2026-06-03,Trade 1 - Daily Directional,3,CLOSED - CARD DEFECT,-0.847,-0.891
SPX-2026-06-03,2026-06-03,Trade 2 - Pivot (buy limit daily P),3,CLOSED,-0.526,-0.526
SPX-2026-06-03,2026-06-03,Trade 3A - Momentum-Pullback (38.2% fib),3,CLOSED,-1.0,-1.0
SPX-2026-06-04,2026-06-04,Trade 1 - Daily Directional,3,CLOSED - CARD DEFECT,-1.0,
SPX-2026-06-04,2026-06-04,Trade 2 - Pivot (TREND_UP breakout),1,NO_FILL,0.0,0.0
SPX-2026-06-04,2026-06-04,Trade 3A - Momentum-Pullback (57.5% fib),3,CLOSED - CARD DEFECT,-0.55,-0.205
SPX-2026-06-05,2026-06-05,Trade 1 - Daily Directional,1,SUPPRESSED,0.0,0.0
SPX-2026-06-05,2026-06-05,Trade 2 - Pivot (buy limit daily P),3,CLOSED,-1.0,-1.0
SPX-2026-06-05,2026-06-05,Trade 3A - Momentum-Pullback (breakout stop),1,NO_FILL,0.0,0.0
SPX-2026-06-08,2026-06-08,Trade 1 - Daily Directional,3,CLOSED - CARD DEFECT,-0.75,0.038
SPX-2026-06-08,2026-06-08,Trade 3A - Momentum-Pullback (sell limit weekly S2),3,CLOSED,0.679,0.679
SPX-2026-06-09,2026-06-09,Trade 1 - Daily Directional,3,CLOSED - CARD DEFECT,-0.665,-0.255
SPX-2026-06-09,2026-06-09,Trade 3A - Momentum-Pullback (sell limit daily P),3,CLOSED,1.989,1.977
SPX-2026-06-10,2026-06-10,Trade 1 - Daily Directional (sell stop),3,CLOSED,-0.01,-0.01
SPX-2026-06-10,2026-06-10,Trade 2 - Pivot (sell limit weekly P),3,CLOSED,-1.0,-1.0
SPX-2026-06-10,2026-06-10,Trade 3C - Momentum-Breakout (sell stop),3,CLOSED,-1.0,-1.0
SPX-2026-06-11,2026-06-11,Trade 1 - Daily Directional,3,CLOSED - CARD DEFECT,-0.815,-0.783
SPX-2026-06-11,2026-06-11,Trade 3A - Momentum-Pullback (57.5% rally-sell),3,CLOSED,-0.534,-0.534
SPX-2026-06-15,2026-06-15,Trade 1 - Daily Directional,3,CLOSED - CARD DEFECT,0.46,-0.277
SPX-2026-06-15,2026-06-15,Trade 2 - Pivot (buy stop daily R1),3,CLOSED - CARD DEFECT,1.066,0.024
SPX-2026-06-15,2026-06-15,Trade 3C - Breakout (buy stop 5-day swing high),3,CLOSED - CARD DEFECT,-0.334,-0.595
SPX-2026-06-16,2026-06-16,Trade 1 - Daily Directional,3,CLOSED - CARD DEFECT,2.016,-0.269
SPX-2026-06-16,2026-06-16,Trade 2 - Pivot (buy limit daily S1),3,CLOSED,-1.0,-1.0
SPX-2026-06-16,2026-06-16,Trade 3A - Momentum-Pullback (pivot confluence),3,CLOSED,-1.0,-1.0
SPX-2026-06-17,2026-06-17,Trade 1 - Daily Directional,3,CLOSED - CARD DEFECT,-1.0,-1.0
SPX-2026-06-17,2026-06-17,Trade 2 - Pivot (buy limit daily S1),3,CLOSED,-1.0,-1.0
SPX-2026-06-17,2026-06-17,Trade 3A - Momentum-Pullback (breakout stop),1,NO_FILL,0.0,0.0
SPX-2026-06-18,2026-06-18,Trade 1 - Daily Directional,3,CLOSED - CARD DEFECT,-1.0,-1.0
SPX-2026-06-18,2026-06-18,Trade 2 - Pivot (sell limit monthly S1 / daily P),3,CLOSED - CARD DEFECT,-1.0,-1.0
SPX-2026-06-18,2026-06-18,Trade 3C - Momentum-Breakout (sell stop),3,CLOSED,-1.0,-1.0
SPX-2026-06-19,2026-06-19,Trade 1 - Daily Directional,3,CLOSED,-1.0,-1.0
SPX-2026-06-19,2026-06-19,Trade 2 - Pivot (buy limit daily S1),3,CLOSED,1.067,1.067
SPX-2026-06-19,2026-06-19,Trade 3A - Momentum-Pullback (breakout stop),3,CLOSED - CARD DEFECT,-1.0,-1.0
SPX-2026-06-24,2026-06-24,Trade 1 - Daily Directional,3,CLOSED - CARD DEFECT,-0.834,-0.727
SPX-2026-06-24,2026-06-24,Trade 2 - Pivot (sell limit daily P shelf),3,CLOSED - CARD DEFECT,-0.337,-0.317
SPX-2026-06-24,2026-06-24,Trade 3A - Momentum-Pullback (38.2% rally-sell),3,CLOSED,-1.0,-1.0
SPX-2026-06-25,2026-06-25,Trade 1 - Daily Directional,1,SUPPRESSED,0.0,0.0
SPX-2026-06-25,2026-06-25,"Trade 2 - Pivot (range fade, sell limit daily R1)",3,CLOSED - CARD DEFECT,-0.992,-1.0
SPX-2026-06-25,2026-06-25,"Trade 3A - Momentum-Pullback (sell stop, break of 23 Jun low)",3,CLOSED,-1.0,-1.0
SPX-2026-06-26,2026-06-26,Trade 1 - Daily Directional (sell stop),3,CLOSED,-0.706,-0.706
SPX-2026-06-26,2026-06-26,Trade 2 - Pivot (sell limit daily P),3,CLOSED - CARD DEFECT,-0.47,-0.449
SPX-2026-06-26,2026-06-26,Trade 3A - Momentum-Pullback (sell limit daily R1 / 38.2%),3,CLOSED,-0.326,-0.326
SPX-2026-06-29,2026-06-29,Trade 1 - Daily Directional,3,CLOSED - CARD DEFECT,-0.808,-0.77
SPX-2026-06-29,2026-06-29,Trade 2 - Pivot (sell stop below daily S1),1,NO_FILL,0.0,0.0
SPX-2026-06-29,2026-06-29,"Trade 3C - Momentum-Breakout (sell stop, conditional)",1,NO_FILL,0.0,0.0
SPX-2026-06-30,2026-06-30,Trade 1 - Daily Directional,3,CLOSED - CARD DEFECT,-1.0,-1.0
SPX-2026-06-30,2026-06-30,Trade 2 - Pivot (sell stop below P),1,NO_FILL,0.0,0.0
SPX-2026-06-30,2026-06-30,Trade 3A - Momentum-Pullback (57.5% rally-sell),3,CLOSED - CARD DEFECT,-1.0,-1.0
SPX-2026-07-01,2026-07-01,Trade 1 - Daily Directional (buy limit daily P),1,NO_FILL,0.0,0.0
SPX-2026-07-01,2026-07-01,Trade 2 - Pivot (buy limit daily P),1,NO_FILL,0.0,0.0
SPX-2026-07-01,2026-07-01,Trade 3A - Momentum-Pullback (breakout stop),3,CLOSED - CARD DEFECT,1.363,0.198
SPX-2026-07-02,2026-07-02,Trade 1 - Daily Directional,3,CLOSED,-0.11,-0.067
SPX-2026-07-02,2026-07-02,Trade 2 - Pivot (regime-aware),1,SUPPRESSED,0.0,0.0
SPX-2026-07-02,2026-07-02,Trade 3A - Momentum-Pullback (57.5% fib),3,CLOSED,0.832,0.832
SPX-2026-07-03,2026-07-03,Trade 1 - Daily Directional,3,CLOSED,0.135,0.325
SPX-2026-07-03,2026-07-03,Trade 2 - Pivot (TRANSITION breakout side),1,SUPPRESSED,0.0,0.0
SPX-2026-07-03,2026-07-03,Trade 3C - Momentum-Breakout (conditional),1,NO_FILL,0.0,0.0
SPX-2026-07-09,2026-07-09,Trade 1 - Daily Directional,1,SUPPRESSED,0.0,0.0
SPX-2026-07-09,2026-07-09,Trade 2 - Pivot (sell limit daily P),3,CLOSED,-1.0,-1.0
SPX-2026-07-09,2026-07-09,Trade 3A - Momentum-Pullback (sell stop),1,NO_FILL,0.0,0.0
SPX-2026-07-10,2026-07-10,Trade 1 - Daily Directional,3,CLOSED,-0.509,-0.484
SPX-2026-07-10,2026-07-10,Trade 2 - Pivot (regime-aware),1,SUPPRESSED,0.0,0.0
SPX-2026-07-10,2026-07-10,Trade 3C - Momentum-Breakout,1,SUPPRESSED,0.0,0.0
SPX-2026-07-13,2026-07-13,Trade 1 - Daily Directional,3,CLOSED - CARD DEFECT,-0.895,-0.846
SPX-2026-07-13,2026-07-13,Trade 2 - Pivot (TRANSITION breakout side),3,CLOSED,0.119,0.119
SPX-2026-07-13,2026-07-13,Trade 3C - Momentum-Breakout,1,SUPPRESSED,0.0,0.0
SPX-2026-07-14,2026-07-14,Trade 1 - Daily Directional,3,CLOSED - CARD DEFECT,-1.0,
SPX-2026-07-14,2026-07-14,Trade 2 - Pivot (buy limit daily P),3,CLOSED - CARD DEFECT,-1.0,-1.0
SPX-2026-07-14,2026-07-14,Trade 3A - Momentum-Pullback (breakout stop),3,CLOSED,-1.0,-1.0
SPX-2026-07-15,2026-07-15,Trade 1 - Daily Directional,3,CLOSED - CARD DEFECT,-0.505,-0.635
SPX-2026-07-15,2026-07-15,Trade 2 - Pivot (TRANSITION breakout side),3,CLOSED - CARD DEFECT,0.719,-0.161
SPX-2026-07-15,2026-07-15,Trade 3C - Momentum-Breakout,1,SUPPRESSED,0.0,0.0
SPX-2026-07-16,2026-07-16,Trade 1 - Daily Directional,3,CLOSED,-0.708,-0.71
SPX-2026-07-16,2026-07-16,Trade 2 - Pivot (buy limit daily P),3,CLOSED,-0.239,-0.239
SPX-2026-07-16,2026-07-16,Trade 3C - Transition Breakout,1,SUPPRESSED,0.0,0.0
SPX-2026-07-17,2026-07-17,Trade 1 - Daily Directional,3,CLOSED - CARD DEFECT,2.649,0.34
SPX-2026-07-17,2026-07-17,Trade 2 - Pivot (buy limit daily S1),3,CLOSED - CARD DEFECT,-1.0,-1.0
SPX-2026-07-17,2026-07-17,Trade 3 - Pivot fade (sell limit daily R1),1,NO_FILL,0.0,0.0
SPX-2026-07-20,2026-07-20,Trade 1 - Daily Directional,3,CLOSED,-0.591,-0.481
SPX-2026-07-20,2026-07-20,Trade 2 - Pivot (TRANSITION down-break side),3,CLOSED,-1.0,-1.0
SPX-2026-07-20,2026-07-20,Trade 3C - Momentum-Breakout (conditional),1,NO_FILL,0.0,0.0
SPX-2026-07-21,2026-07-21,Trade 1 - Daily Directional,3,CLOSED,-1.0,-1.0
