card_id,report_date,strategy,family,direction,policy,fill_status,entry_rule,fill_ts,fill_px,R_points,risk_vs_card,units,blended_R,blended_R_card,slot
2026-05-11_slot1,2026-05-11,Trade 1 - Daily Directional,Trade 1,LONG,card,FILLED,MARKET at 09:00 open,2026-05-12 09:00:00,7403.5,82.3,1.059,3.0,0.901,1.013,1.0
2026-05-11_slot2,2026-05-11,Trade 2 - Pivot pullback (buy daily-S1),Trade 2,LONG,card,FILLED,LIMIT touched,2026-05-12 18:15:00,7358.92,40.01,1.0,3.0,1.376,1.376,2.0
2026-05-11_slot3,2026-05-11,Trade 3A - Momentum-Pullback (38.2% fib),Trade 3A,LONG,card,NO FILL,,,,,,1.0,0.0,0.0,3.0
2026-05-12_slot1,2026-05-12,Trade 1 - Daily Directional,Trade 1,LONG,card,FILLED,MARKET at 09:00 open,2026-05-13 09:00:00,7421.8,77.8,1.131,3.0,0.08,0.221,1.0
2026-05-12_slot2,2026-05-12,"Trade 2 - Pivot (TREND_UP pullback, buy daily P)",Trade 2,LONG,card,NO FILL,,,,,,1.0,0.0,0.0,2.0
2026-05-12_slot3,2026-05-12,Trade 3A - Momentum-Pullback (38.2% fib),Trade 3A,LONG,card,NO FILL,,,,,,1.0,0.0,0.0,3.0
2026-05-13_slot1,2026-05-13,Trade 1 - Daily Directional,Trade 1,,card,SUPPRESSED,,,,,,1.0,0.0,0.0,1.0
2026-05-13_slot2,2026-05-13,"Trade 2 - Pivot (TREND breakout, buy stop)",Trade 2,LONG,card,FILLED,STOP already marketable at 09:00 - filled at open,2026-05-14 09:00:00,7466.1,103.01,4.689,3.0,-0.31,2.237,2.0
2026-05-13_slot3,2026-05-13,Trade 3C - Momentum-Breakout (buy stop),Trade 3C,LONG,card,FILLED,STOP already marketable at 09:00 - filled at open,2026-05-14 09:00:00,7466.1,131.1,1.352,3.0,-0.077,0.248,3.0
2026-05-14_slot1,2026-05-14,Trade 1 - Daily Directional,Trade 1,,card,SUPPRESSED,,,,,,1.0,0.0,0.0,1.0
2026-05-14_slot2,2026-05-14,Trade 2 - Pivot (buy limit weekly P),Trade 2,LONG,card,FILLED,LIMIT touched,2026-05-15 23:00:00,7402.0,35.0,1.0,3.0,-0.678,-0.678,2.0
