card_id,report_date,strategy,family,direction,policy,fill_status,entry_rule,fill_ts,fill_px,R_points,risk_vs_card,units,blended_R,blended_R_card,slot
2026-05-11_slot1,2026-05-11,Trade 1 - Daily Directional (LONG),Trade 1,LONG,card,FILLED,MARKET at 09:00 open,2026-05-12 09:00:00,7403.5,49.29,1.063,3.0,-1.0,-1.0,1.0
2026-05-11_slot2,2026-05-11,"Trade 2 - Pivot, TREND branch (long above daily P)",Trade 2,LONG,card,FILLED,LIMIT touched,2026-05-12 09:30:00,7395.45,33.94,1.0,3.0,-1.0,-1.0,2.0
2026-05-11_slot3,2026-05-11,"Trade 3A - Momentum-Pullback (57.5% fib retracement, TREND_UP fork)",Trade 3A,LONG,card,NO FILL,,,,,,1.0,0.0,0.0,3.0
2026-05-12_slot1,2026-05-12,"Trade 1 - Daily Directional (LONG, TREND_UP)",Trade 1,LONG,card,FILLED,MARKET at 09:00 open,2026-05-13 09:00:00,7421.8,42.9,1.051,3.0,1.204,1.318,1.0
2026-05-12_slot2,2026-05-12,"Trade 2 - Pivot, TREND branch (TREND_UP long across the pivot)",Trade 2,LONG,card,FILLED,LIMIT touched,2026-05-13 15:30:00,7411.36,25.32,1.0,3.0,-1.0,-1.0,2.0
2026-05-12_slot3,2026-05-12,"Trade 3A - Momentum-Pullback (57.5% fib retrace, TREND_UP fork)",Trade 3A,LONG,card,NO FILL,,,,,,1.0,0.0,0.0,3.0
2026-05-13_slot1,2026-05-13,Trade 1 - Daily Directional,Trade 1,,card,SUPPRESSED,,,,,,1.0,0.0,0.0,1.0
2026-05-13_slot2,2026-05-13,"Trade 2 - Pivot, TRANSITION breakout-side (long)",Trade 2,LONG,card,NO FILL,,,,,,1.0,0.0,0.0,2.0
2026-05-13_slot3,2026-05-13,Trade 3C - Momentum-Breakout (TRANSITION fork),Trade 3C,,card,SUPPRESSED,,,,,,1.0,0.0,0.0,3.0
2026-05-14_slot1,2026-05-14,Trade 1 - Daily Directional,Trade 1,,card,SUPPRESSED,,,,,,1.0,0.0,0.0,1.0
2026-05-14_slot2,2026-05-14,"Trade 2 - Pivot, TREND branch (daily floor pivots)",Trade 2,LONG,card,FILLED,LIMIT touched,2026-05-15 11:15:00,7438.2,31.6,1.0,3.0,-1.0,-1.0,2.0
2026-05-14_slot3,2026-05-14,Trade 3A - Momentum-Pullback (57.5% fib retracement),Trade 3A,LONG,card,NO FILL,,,,,,1.0,0.0,0.0,3.0
2026-05-15_slot1,2026-05-15,Trade 1 - Daily Directional,Trade 1,LONG,card,SKIPPED_MALFORMED,MARKET at 09:00 open,2026-05-18 09:00:00,7369.3,87.65,1.681,1.0,0.0,0.0,1.0
2026-05-15_slot2,2026-05-15,"Trade 2 - Pivot, regime-aware (TREND branch)",Trade 2,LONG,card,SKIPPED_MALFORMED,LIMIT already marketable at 09:00 - filled at open,2026-05-18 09:00:00,7369.3,109.32,4.708,1.0,0.0,0.0,2.0
2026-05-15_slot3,2026-05-15,Trade 3A - Momentum-Pullback (fib retracement),Trade 3A,LONG,card,FILLED,LIMIT already marketable at 09:00 - filled at open,2026-05-18 09:00:00,7369.3,40.75,0.442,3.0,2.025,0.336,3.0
2026-05-18_slot1,2026-05-18,Trade 1 - Daily Directional,Trade 1,,card,SUPPRESSED,,,,,,1.0,0.0,0.0,1.0
2026-05-18_slot2,2026-05-18,"Trade 2 - Pivot, TRANSITION breakout side (sell limit below daily P)",Trade 2,SHORT,card,NO FILL,,,,,,1.0,0.0,0.0,2.0
2026-05-18_slot3,2026-05-18,"Trade 3C - Momentum-Breakout, 25-day range (conditional)",Trade 3C,,card,SUPPRESSED,,,,,,1.0,0.0,0.0,3.0
2026-05-19_slot1,2026-05-19,Trade 1 - Daily Directional,Trade 1,,card,SUPPRESSED,,,,,,1.0,0.0,0.0,1.0
2026-05-19_slot2,2026-05-19,"Trade 2 - Pivot (trend branch, buy limit above the daily pivot)",Trade 2,LONG,card,SKIPPED_MALFORMED,LIMIT already marketable at 09:00 - filled at open,2026-05-20 09:00:00,7361.9,11.8,0.355,1.0,0.0,0.0,2.0
2026-05-19_slot3,2026-05-19,Trade 3A - Momentum-Pullback (fib retracement of the impulse swing),Trade 3A,LONG,card,SUPPRESSED,,,,,,1.0,0.0,0.0,3.0
2026-05-20_slot1,2026-05-20,Trade 1 - Daily Directional,Trade 1,,card,SUPPRESSED,,,,,,1.0,0.0,0.0,1.0
