card_id,report_date,strategy,family,direction,policy,fill_status,entry_rule,fill_ts,fill_px,R_points,risk_vs_card,units,blended_R,blended_R_card,slot
2026-05-11_slot1,2026-05-11,Trade 1 - Daily Directional (LONG),Trade 1,LONG,usopen,FILLED,MARKET at 16:30 open,2026-05-12 16:30:00,7396.3,42.09,0.907,3.0,-1.0,-1.0,1.0
2026-05-11_slot2,2026-05-11,"Trade 2 - Pivot, TREND branch (long above daily P)",Trade 2,LONG,usopen,FILLED,LIMIT touched,2026-05-12 16:30:00,7395.45,33.94,1.0,3.0,-1.0,-1.0,2.0
2026-05-11_slot3,2026-05-11,"Trade 3A - Momentum-Pullback (57.5% fib retracement, TREND_UP fork)",Trade 3A,LONG,usopen,NO FILL,,,,,,1.0,0.0,0.0,3.0
2026-05-12_slot1,2026-05-12,"Trade 1 - Daily Directional (LONG, TREND_UP)",Trade 1,LONG,usopen,FILLED,MARKET at 16:30 open,2026-05-13 16:30:00,7412.0,33.1,0.811,3.0,1.857,1.318,1.0
2026-05-12_slot2,2026-05-12,"Trade 2 - Pivot, TREND branch (TREND_UP long across the pivot)",Trade 2,LONG,usopen,FILLED,LIMIT touched,2026-05-13 16:30:00,7411.36,25.32,1.0,3.0,-1.0,-1.0,2.0
2026-05-12_slot3,2026-05-12,"Trade 3A - Momentum-Pullback (57.5% fib retrace, TREND_UP fork)",Trade 3A,LONG,usopen,NO FILL,,,,,,1.0,0.0,0.0,3.0
2026-05-13_slot1,2026-05-13,Trade 1 - Daily Directional,Trade 1,,usopen,SUPPRESSED,,,,,,1.0,0.0,0.0,1.0
2026-05-13_slot2,2026-05-13,"Trade 2 - Pivot, TRANSITION breakout-side (long)",Trade 2,LONG,usopen,NO FILL,,,,,,1.0,0.0,0.0,2.0
2026-05-13_slot3,2026-05-13,Trade 3C - Momentum-Breakout (TRANSITION fork),Trade 3C,,usopen,SUPPRESSED,,,,,,1.0,0.0,0.0,3.0
2026-05-14_slot1,2026-05-14,Trade 1 - Daily Directional,Trade 1,,usopen,SUPPRESSED,,,,,,1.0,0.0,0.0,1.0
2026-05-14_slot2,2026-05-14,"Trade 2 - Pivot, TREND branch (daily floor pivots)",Trade 2,LONG,usopen,FILLED,LIMIT touched,2026-05-15 16:30:00,7438.2,31.6,1.0,3.0,-1.0,-1.0,2.0
2026-05-14_slot3,2026-05-14,Trade 3A - Momentum-Pullback (57.5% fib retracement),Trade 3A,LONG,usopen,NO FILL,,,,,,1.0,0.0,0.0,3.0
2026-05-15_slot1,2026-05-15,Trade 1 - Daily Directional,Trade 1,LONG,usopen,SKIPPED_MALFORMED,MARKET at 16:30 open,2026-05-18 16:30:00,7423.0,33.95,0.651,1.0,0.0,0.0,1.0
2026-05-15_slot2,2026-05-15,"Trade 2 - Pivot, regime-aware (TREND branch)",Trade 2,LONG,usopen,SKIPPED_MALFORMED,LIMIT already marketable at 16:30 - filled at open,2026-05-18 16:30:00,7423.0,55.62,2.395,1.0,0.0,0.0,2.0
2026-05-15_slot3,2026-05-15,Trade 3A - Momentum-Pullback (fib retracement),Trade 3A,LONG,usopen,FILLED,LIMIT touched,2026-05-18 16:30:00,7420.78,92.23,1.0,3.0,0.56,0.56,3.0
2026-05-18_slot1,2026-05-18,Trade 1 - Daily Directional,Trade 1,,usopen,SUPPRESSED,,,,,,1.0,0.0,0.0,1.0
2026-05-18_slot2,2026-05-18,"Trade 2 - Pivot, TRANSITION breakout side (sell limit below daily P)",Trade 2,SHORT,usopen,NO FILL,,,,,,1.0,0.0,0.0,2.0
2026-05-18_slot3,2026-05-18,"Trade 3C - Momentum-Breakout, 25-day range (conditional)",Trade 3C,,usopen,SUPPRESSED,,,,,,1.0,0.0,0.0,3.0
2026-05-19_slot1,2026-05-19,Trade 1 - Daily Directional,Trade 1,,usopen,SUPPRESSED,,,,,,1.0,0.0,0.0,1.0
2026-05-19_slot2,2026-05-19,"Trade 2 - Pivot (trend branch, buy limit above the daily pivot)",Trade 2,LONG,usopen,SKIPPED_MICRO_R,LIMIT already marketable at 16:30 - filled at open,2026-05-20 16:30:00,7379.9,6.2,0.186,1.0,0.0,0.0,2.0
2026-05-19_slot3,2026-05-19,Trade 3A - Momentum-Pullback (fib retracement of the impulse swing),Trade 3A,LONG,usopen,SUPPRESSED,,,,,,1.0,0.0,0.0,3.0
2026-05-20_slot1,2026-05-20,Trade 1 - Daily Directional,Trade 1,,usopen,SUPPRESSED,,,,,,1.0,0.0,0.0,1.0
2026-05-20_slot2,2026-05-20,"Trade 2 - Pivot, TREND branch (weekly floor pivots)",Trade 2,LONG,usopen,FILLED,STOP touched,2026-05-21 20:15:00,7436.3,84.1,1.0,3.0,0.842,0.842,2.0
2026-05-20_slot3,2026-05-20,Trade 3A - Momentum-Pullback (57.5% fib retracement),Trade 3A,LONG,usopen,NO FILL,,,,,,1.0,0.0,0.0,3.0
2026-05-21_slot1,2026-05-21,Trade 1 - Daily Directional,Trade 1,LONG,usopen,FILLED,MARKET at 16:30 open,2026-05-22 16:30:00,7482.5,138.99,1.49,3.0,0.424,1.122,1.0
2026-05-21_slot2,2026-05-21,Trade 2 - Pivot (TRANSITION breakout side),Trade 2,LONG,usopen,FILLED,STOP already marketable at 16:30 - filled at open,2026-05-22 16:30:00,7482.5,58.12,1.312,3.0,0.124,0.475,2.0
2026-05-21_slot3,2026-05-21,Trade 3C - Momentum-Breakout (conditional),Trade 3C,LONG,usopen,SUPPRESSED,,,,,,1.0,0.0,0.0,3.0
2026-05-22_slot1,2026-05-22,Trade 1 - Daily Directional (SUPPRESSED - conviction below threshold),Trade 1,,usopen,SUPPRESSED,,,,,,1.0,0.0,0.0,1.0
2026-05-22_slot2,2026-05-22,"Trade 2 - Pivot, regime-aware (TRANSITION branch, breakout side only)",Trade 2,LONG,usopen,NO FILL,,,,,,1.0,0.0,0.0,2.0
2026-05-22_slot3,2026-05-22,Trade 3C - Momentum-Breakout (SUPPRESSED - no confirmed break at D-1),Trade 3C,,usopen,SUPPRESSED,,,,,,1.0,0.0,0.0,3.0
2026-05-25_slot1,2026-05-25,Trade 1 - Daily Directional,Trade 1,LONG,usopen,FILLED,MARKET at 16:30 open,2026-05-26 16:30:00,7522.8,77.14,2.568,3.0,0.049,1.694,1.0
2026-05-25_slot2,2026-05-25,"Trade 2 - Pivot, trend-branch breakout",Trade 2,LONG,usopen,FILLED,STOP already marketable at 16:30 - filled at open,2026-05-26 16:30:00,7522.8,60.52,2.664,3.0,-0.132,1.312,2.0
2026-05-25_slot3,2026-05-25,Trade 3A - Momentum-Pullback (57.5% fib retracement),Trade 3A,LONG,usopen,NO FILL,,,,,,1.0,0.0,0.0,3.0
2026-05-26_slot1,2026-05-26,Daily Directional (M5 Trade 1) - LONG at the daily-open anchor,Trade 1,LONG,usopen,FILLED,MARKET at 16:30 open,2026-05-27 16:30:00,7531.0,41.55,0.657,3.0,0.445,-0.051,1.0
2026-05-26_slot2,2026-05-26,"Pivot, regime-aware (M5 Trade 2), TRANSITION breakout side - SUPPRESSED",Trade 2,LONG,usopen,SUPPRESSED,,,,,,1.0,0.0,0.0,2.0
2026-05-26_slot3,2026-05-26,"Momentum-Breakout (M5 Trade 3C, TRANSITION regime) - LONG",Trade 3C,LONG,usopen,FILLED,MARKET at 16:30 open,2026-05-27 16:30:00,7531.0,204.39,0.904,3.0,-1.0,-1.0,3.0
2026-05-27_slot1,2026-05-27,Trade 1 - Daily Directional,Trade 1,LONG,usopen,FILLED,MARKET at 16:30 open,2026-05-28 16:30:00,7525.0,37.46,0.937,3.0,1.584,1.423,1.0
2026-05-27_slot2,2026-05-27,"Trade 2 - Pivot, regime-aware (TREND_UP branch - pivot breakout)",Trade 2,LONG,usopen,NO FILL,,,,,,1.0,0.0,0.0,2.0
2026-05-27_slot3,2026-05-27,Trade 3A - Momentum-Pullback (57.5% fib retracement),Trade 3A,LONG,usopen,NO FILL,,,,,,1.0,0.0,0.0,3.0
2026-05-28_slot1,2026-05-28,Trade 1 - Daily Directional,Trade 1,LONG,usopen,FILLED,MARKET at 16:30 open,2026-05-29 16:30:00,7581.1,88.62,2.46,3.0,0.077,1.651,1.0
2026-05-28_slot2,2026-05-28,"Trade 2 - Pivot, TREND branch (breakout above P)",Trade 2,LONG,usopen,NO FILL,,,,,,1.0,0.0,0.0,2.0
2026-05-28_slot3,2026-05-28,Trade 3A - Momentum-Pullback (fib retracement),Trade 3A,LONG,usopen,NO FILL,,,,,,1.0,0.0,0.0,3.0
2026-05-29_slot1,2026-05-29,Trade 1 - Daily Directional,Trade 1,LONG,usopen,FILLED,MARKET at 16:30 open,2026-06-01 16:30:00,7575.2,59.28,1.048,3.0,-0.526,-0.503,1.0
2026-05-29_slot2,2026-05-29,"Trade 2 - Pivot, TREND branch (long across the pivot)",Trade 2,LONG,usopen,NO FILL,,,,,,1.0,0.0,0.0,2.0
2026-05-29_slot3,2026-05-29,Trade 3A - Momentum-Pullback (57.5% fib retracement),Trade 3A,LONG,usopen,NO FILL,,,,,,1.0,0.0,0.0,3.0
2026-06-01_slot1,2026-06-01,"Trade 1 - Daily Directional (market at daily-open anchor, TREND_UP long)",Trade 1,LONG,usopen,FILLED,MARKET at 16:30 open,2026-06-02 16:30:00,7590.8,40.1,1.176,3.0,0.154,0.357,1.0
2026-06-01_slot2,2026-06-01,"Trade 2 - Pivot, TREND branch (buy stop above daily P, TREND_UP long)",Trade 2,LONG,usopen,FILLED,STOP already marketable at 16:30 - filled at open,2026-06-02 16:30:00,7590.8,40.1,1.119,3.0,0.485,0.662,2.0
2026-06-01_slot3,2026-06-01,"Trade 3A - Momentum-Pullback, 57.5% fib retracement (TREND_UP long)",Trade 3A,LONG,usopen,NO FILL,,,,,,1.0,0.0,0.0,3.0
2026-06-02_slot1,2026-06-02,"Trade 1 - Daily Directional (LONG, TREND_UP)",Trade 1,LONG,usopen,FILLED,MARKET at 16:30 open,2026-06-03 16:30:00,7602.0,43.69,0.916,3.0,-1.0,-1.0,1.0
2026-06-02_slot2,2026-06-02,"Trade 2 - Pivot, regime-aware (TREND branch, LONG across daily P)",Trade 2,LONG,usopen,FILLED,LIMIT already marketable at 16:30 - filled at open,2026-06-03 16:30:00,7602.0,22.02,0.98,3.0,-1.0,-1.0,2.0
2026-06-02_slot3,2026-06-02,"Trade 3A - Momentum-Pullback (57.5% fib retracement, LONG)",Trade 3A,LONG,usopen,NO FILL,,,,,,1.0,0.0,0.0,3.0
2026-06-03_slot1,2026-06-03,"Trade 1 - Daily Directional (LONG, trending-bullish regime)",Trade 1,LONG,usopen,SKIPPED_MALFORMED,MARKET at 16:30 open,2026-06-04 16:30:00,7541.3,31.04,0.714,1.0,0.0,0.0,1.0
2026-06-03_slot2,2026-06-03,"Trade 2 - Pivot, TREND branch (long breakout above daily P)",Trade 2,LONG,usopen,SKIPPED_MALFORMED,LIMIT already marketable at 16:30 - filled at open,2026-06-04 16:30:00,7541.3,31.04,0.789,1.0,0.0,0.0,2.0
