card_id,report_date,strategy,family,direction,policy,fill_status,entry_rule,fill_ts,fill_px,R_points,risk_vs_card,units,blended_R,blended_R_card
2026-05-11_Trade_1,2026-05-11,Trade 1 - Daily Directional (LONG),Trade 1,LONG,band0845,FILLED,WAITED for return to entry,2026-05-12 09:00:00,7400.6,46.39,1.0,3,-1.0,-1.0
2026-05-11_Trade_2,2026-05-11,"Trade 2 - Pivot, TREND branch (long above daily P)",Trade 2,LONG,band0845,FILLED,WAITED for return to entry,2026-05-12 09:30:00,7395.45,33.94,1.0,3,-1.0,-1.0
2026-05-11_Trade_3A,2026-05-11,"Trade 3A - Momentum-Pullback (57.5% fib retracement, TREND_UP fork)",Trade 3A,LONG,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-12_Trade_1,2026-05-12,"Trade 1 - Daily Directional (LONG, TREND_UP)",Trade 1,LONG,band0845,FILLED,WAITED for return to entry,2026-05-13 09:45:00,7419.7,40.8,1.0,3,1.318,1.318
2026-05-12_Trade_2,2026-05-12,"Trade 2 - Pivot, TREND branch (TREND_UP long across the pivot)",Trade 2,LONG,band0845,FILLED,WAITED for return to entry,2026-05-13 15:30:00,7411.36,25.32,1.0,3,-1.0,-1.0
2026-05-12_Trade_3A,2026-05-12,"Trade 3A - Momentum-Pullback (57.5% fib retrace, TREND_UP fork)",Trade 3A,LONG,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-13_Trade_1,2026-05-13,Trade 1 - Daily Directional,Trade 1,n/a,band0845,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-13_Trade_2,2026-05-13,"Trade 2 - Pivot, TRANSITION breakout-side (long)",Trade 2,LONG,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-13_Trade_3C,2026-05-13,Trade 3C - Momentum-Breakout (TRANSITION fork),Trade 3C,n/a,band0845,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-14_Trade_1,2026-05-14,Trade 1 - Daily Directional,Trade 1,n/a,band0845,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-14_Trade_2,2026-05-14,"Trade 2 - Pivot, TREND branch (daily floor pivots)",Trade 2,LONG,band0845,FILLED,WAITED for return to entry,2026-05-15 11:15:00,7438.2,31.6,1.0,3,-1.0,-1.0
2026-05-14_Trade_3A,2026-05-14,Trade 3A - Momentum-Pullback (57.5% fib retracement),Trade 3A,LONG,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-15_Trade_1,2026-05-15,Trade 1 - Daily Directional,Trade 1,LONG,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-15_Trade_2,2026-05-15,"Trade 2 - Pivot, regime-aware (TREND branch)",Trade 2,LONG,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-15_Trade_3A,2026-05-15,Trade 3A - Momentum-Pullback (fib retracement),Trade 3A,LONG,band0845,FILLED,IN BAND (+0.51R) market at 08:45,2026-05-18 08:45:00,7373.6,45.05,0.488,3,1.774,0.355
2026-05-18_Trade_1,2026-05-18,Trade 1 - Daily Directional,Trade 1,n/a,band0845,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-18_Trade_2,2026-05-18,"Trade 2 - Pivot, TRANSITION breakout side (sell limit below daily P)",Trade 2,SHORT,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-18_Trade_3C,2026-05-18,"Trade 3C - Momentum-Breakout, 25-day range (conditional)",Trade 3C,n/a,band0845,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-19_Trade_1,2026-05-19,Trade 1 - Daily Directional,Trade 1,n/a,band0845,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-19_Trade_2,2026-05-19,"Trade 2 - Pivot (trend branch, buy limit above the daily pivot)",Trade 2,LONG,band0845,FILLED,RECOVERY to entry-0.5R (7390.32),2026-05-20 12:45:00,7390.32,16.62,0.5,3,-1.0,-1.0
2026-05-19_Trade_3A,2026-05-19,Trade 3A - Momentum-Pullback (fib retracement of the impulse swing),Trade 3A,LONG,band0845,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-20_Trade_1,2026-05-20,Trade 1 - Daily Directional,Trade 1,n/a,band0845,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-20_Trade_2,2026-05-20,"Trade 2 - Pivot, TREND branch (weekly floor pivots)",Trade 2,LONG,band0845,FILLED,IN BAND (+0.04R) market at 08:45,2026-05-21 08:45:00,7433.1,80.9,0.962,3,0.915,0.842
2026-05-20_Trade_3A,2026-05-20,Trade 3A - Momentum-Pullback (57.5% fib retracement),Trade 3A,LONG,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-21_Trade_1,2026-05-21,Trade 1 - Daily Directional,Trade 1,LONG,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-21_Trade_2,2026-05-21,Trade 2 - Pivot (TRANSITION breakout side),Trade 2,LONG,band0845,FILLED,WAITED for return to entry,2026-05-22 10:00:00,7468.67,44.29,1.0,3,0.35,0.35
2026-05-21_Trade_3C,2026-05-21,Trade 3C - Momentum-Breakout (conditional),Trade 3C,LONG,band0845,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-22_Trade_1,2026-05-22,Trade 1 - Daily Directional (SUPPRESSED - conviction below threshold),Trade 1,n/a,band0845,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-22_Trade_2,2026-05-22,"Trade 2 - Pivot, regime-aware (TRANSITION branch, breakout side only)",Trade 2,LONG,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-22_Trade_3C,2026-05-22,Trade 3C - Momentum-Breakout (SUPPRESSED - no confirmed break at D-1),Trade 3C,n/a,band0845,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-25_Trade_1,2026-05-25,Trade 1 - Daily Directional,Trade 1,LONG,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-25_Trade_2,2026-05-25,"Trade 2 - Pivot, trend-branch breakout",Trade 2,LONG,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-25_Trade_3A,2026-05-25,Trade 3A - Momentum-Pullback (57.5% fib retracement),Trade 3A,LONG,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-26_Trade_1,2026-05-26,Daily Directional (M5 Trade 1) - LONG at the daily-open anchor,Trade 1,LONG,band0845,FILLED,IN BAND (+0.33R) market at 08:45,2026-05-27 08:45:00,7531.7,42.25,0.668,3,0.42,-0.051
2026-05-26_Trade_2,2026-05-26,"Pivot, regime-aware (M5 Trade 2), TRANSITION breakout side - SUPPRESSED",Trade 2,LONG,band0845,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-26_Trade_3C,2026-05-26,"Momentum-Breakout (M5 Trade 3C, TRANSITION regime) - LONG",Trade 3C,LONG,band0845,FILLED,IN BAND (+0.09R) market at 08:45,2026-05-27 08:45:00,7531.7,205.09,0.907,3,-1.0,-1.0
2026-05-27_Trade_1,2026-05-27,Trade 1 - Daily Directional,Trade 1,LONG,band0845,FILLED,IN BAND (+0.32R) market at 08:45,2026-05-28 08:45:00,7514.7,27.16,0.68,3,2.565,1.423
2026-05-27_Trade_2,2026-05-27,"Trade 2 - Pivot, regime-aware (TREND_UP branch - pivot breakout)",Trade 2,LONG,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-27_Trade_3A,2026-05-27,Trade 3A - Momentum-Pullback (57.5% fib retracement),Trade 3A,LONG,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-28_Trade_1,2026-05-28,Trade 1 - Daily Directional,Trade 1,LONG,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-28_Trade_2,2026-05-28,"Trade 2 - Pivot, TREND branch (breakout above P)",Trade 2,LONG,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-28_Trade_3A,2026-05-28,Trade 3A - Momentum-Pullback (fib retracement),Trade 3A,LONG,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-29_Trade_1,2026-05-29,Trade 1 - Daily Directional,Trade 1,LONG,band0845,FILLED,WAITED for return to entry,2026-06-01 16:15:00,7572.5,56.58,1.0,3,-0.503,-0.503
2026-05-29_Trade_2,2026-05-29,"Trade 2 - Pivot, TREND branch (long across the pivot)",Trade 2,LONG,band0845,NO FILL,,,,,,1,0.0,0.0
2026-05-29_Trade_3A,2026-05-29,Trade 3A - Momentum-Pullback (57.5% fib retracement),Trade 3A,LONG,band0845,NO FILL,,,,,,1,0.0,0.0
2026-06-01_Trade_1,2026-06-01,"Trade 1 - Daily Directional (market at daily-open anchor, TREND_UP long)",Trade 1,LONG,band0845,FILLED,WAITED for return to entry,2026-06-02 08:45:00,7584.8,34.1,1.0,3,0.357,0.357
2026-06-01_Trade_2,2026-06-01,"Trade 2 - Pivot, TREND branch (buy stop above daily P, TREND_UP long)",Trade 2,LONG,band0845,FILLED,WAITED for return to entry,2026-06-02 08:45:00,7586.53,35.83,1.0,3,0.662,0.662
2026-06-01_Trade_3A,2026-06-01,"Trade 3A - Momentum-Pullback, 57.5% fib retracement (TREND_UP long)",Trade 3A,LONG,band0845,NO FILL,,,,,,1,0.0,0.0
2026-06-02_Trade_1,2026-06-02,"Trade 1 - Daily Directional (LONG, TREND_UP)",Trade 1,LONG,band0845,FILLED,WAITED for return to entry,2026-06-03 12:45:00,7606.0,47.69,1.0,3,-1.0,-1.0
2026-06-02_Trade_2,2026-06-02,"Trade 2 - Pivot, regime-aware (TREND branch, LONG across daily P)",Trade 2,LONG,band0845,FILLED,WAITED for return to entry,2026-06-03 15:30:00,7602.46,22.48,1.0,3,-1.0,-1.0
2026-06-02_Trade_3A,2026-06-02,"Trade 3A - Momentum-Pullback (57.5% fib retracement, LONG)",Trade 3A,LONG,band0845,NO FILL,,,,,,1,0.0,0.0
2026-06-03_Trade_1,2026-06-03,"Trade 1 - Daily Directional (LONG, trending-bullish regime)",Trade 1,LONG,band0845,FILLED,RECOVERY to entry-0.5R (7594.07),2026-06-04 20:30:00,7594.07,21.73,0.5,3,-0.85,-0.925
2026-06-03_Trade_2,2026-06-03,"Trade 2 - Pivot, TREND branch (long breakout above daily P)",Trade 2,LONG,band0845,FILLED,RECOVERY to entry-0.5R (7592.01),2026-06-04 20:15:00,7592.01,19.67,0.5,3,-1.0,-1.0
2026-06-03_Trade_3A,2026-06-03,"Trade 3A - Momentum-Pullback, 57.5% fib retracement (TREND_UP fork)",Trade 3A,LONG,band0845,FILLED,WAITED for return to entry,2026-06-04 08:45:00,7532.54,84.01,1.0,3,-0.544,-0.544
2026-06-04_Trade_1,2026-06-04,Trade 1 - Daily Directional,Trade 1,n/a,band0845,SUPPRESSED,,,,,,1,0.0,0.0
2026-06-04_Trade_2,2026-06-04,Trade 2 - Pivot (TREND_UP breakout),Trade 2,LONG,band0845,FILLED,RECOVERY to entry-0.5R (7564.78),2026-06-05 12:00:00,7564.78,13.66,0.5,3,-1.0,-1.0
2026-06-04_Trade_3A,2026-06-04,Trade 3A - Momentum-Pullback (57.5% fib),Trade 3A,LONG,band0845,SUPPRESSED,,,,,,1,0.0,0.0
2026-06-05_Trade_1,2026-06-05,"Trade 1 - Daily Directional (SUPPRESSED, sub-threshold conviction)",Trade 1,n/a,band0845,SUPPRESSED,,,,,,1,0.0,0.0
2026-06-05_Trade_2,2026-06-05,"Trade 2 - Pivot, transition regime, breakout-side long above the daily pivot",Trade 2,LONG,band0845,NO FILL,,,,,,1,0.0,0.0
2026-06-05_Trade_3C,2026-06-05,"Trade 3C - Momentum-Breakout (SUPPRESSED, no confirmed break of the 25-session range)",Trade 3C,n/a,band0845,SUPPRESSED,,,,,,1,0.0,0.0
2026-06-08_Trade_1,2026-06-08,"Trade 1 - Daily Directional (SHORT, market at the daily-open anchor)",Trade 1,SHORT,band0845,FILLED,IN BAND (+0.45R) market at 08:45,2026-06-09 08:45:00,7432.1,48.8,0.552,3,-1.0,-1.0
2026-06-08_Trade_2,2026-06-08,"Trade 2 - Pivot, regime-aware: TRANSITION branch, downside-breakout side only, on the corroborated weekly tiers (SHORT sell limit)",Trade 2,SHORT,band0845,FILLED,WAITED for return to entry,2026-06-09 13:00:00,7447.17,88.53,1.0,3,1.33,1.33
2026-06-08_Trade_3C,2026-06-08,"Trade 3C - Momentum-Breakout (TRANSITION fork) - SUPPRESSED, no confirmed break of the 25-session range",Trade 3C,n/a,band0845,SUPPRESSED,,,,,,1,0.0,0.0
2026-06-09_Trade_1,2026-06-09,Trade 1 - Daily Directional (SHORT),Trade 1,SHORT,band0845,NO FILL,,,,,,1,0.0,0.0
2026-06-09_Trade_2,2026-06-09,"Trade 2 - Pivot, transition breakout side (SHORT)",Trade 2,SHORT,band0845,NO FILL,,,,,,1,0.0,0.0
