card_id,report_date,strategy,family,direction,entry_mode,entry,stop,tp1,tp2,tp3,card_R_points,policy,source,fill_status,entry_session,entry_rule,fill_reason,fill_ts,fill_px,R_points,risk_vs_card,unit,exit_px,exit_ts,exit_reason,R,R_card
2026-05-11_Trade_1,2026-05-11,Trade 1 - Daily Directional (LONG),Trade 1,LONG,MARKET,7400.6,7354.21,7446.99,7493.38,7611.68,46.39,band0845,regen_20260906_qa1_draw1,FILLED,2026-05-12,WAITED for return to entry,,2026-05-12 09:00:00,7400.6,46.39,1.0,Unit 1,7354.21,2026-05-12 18:15:00,stopped out,-1.0,-1.0
2026-05-11_Trade_1,2026-05-11,Trade 1 - Daily Directional (LONG),Trade 1,LONG,MARKET,7400.6,7354.21,7446.99,7493.38,7611.68,46.39,band0845,regen_20260906_qa1_draw1,FILLED,2026-05-12,WAITED for return to entry,,2026-05-12 09:00:00,7400.6,46.39,1.0,Unit 2,7354.21,2026-05-12 18:15:00,stopped out,-1.0,-1.0
2026-05-11_Trade_1,2026-05-11,Trade 1 - Daily Directional (LONG),Trade 1,LONG,MARKET,7400.6,7354.21,7446.99,7493.38,7611.68,46.39,band0845,regen_20260906_qa1_draw1,FILLED,2026-05-12,WAITED for return to entry,,2026-05-12 09:00:00,7400.6,46.39,1.0,Unit 3,7354.21,2026-05-12 18:15:00,stopped out,-1.0,-1.0
2026-05-11_Trade_2,2026-05-11,"Trade 2 - Pivot, TREND branch (long above daily P)",Trade 2,LONG,LIMIT,7395.45,7361.51,7414.8,7421.9,7429.0,33.94,band0845,regen_20260906_qa1_draw1,FILLED,2026-05-12,WAITED for return to entry,,2026-05-12 09:30:00,7395.45,33.94,1.0,Unit 1,7361.51,2026-05-12 18:00:00,stopped out,-1.0,-1.0
2026-05-11_Trade_2,2026-05-11,"Trade 2 - Pivot, TREND branch (long above daily P)",Trade 2,LONG,LIMIT,7395.45,7361.51,7414.8,7421.9,7429.0,33.94,band0845,regen_20260906_qa1_draw1,FILLED,2026-05-12,WAITED for return to entry,,2026-05-12 09:30:00,7395.45,33.94,1.0,Unit 2,7361.51,2026-05-12 18:00:00,stopped out,-1.0,-1.0
2026-05-11_Trade_2,2026-05-11,"Trade 2 - Pivot, TREND branch (long above daily P)",Trade 2,LONG,LIMIT,7395.45,7361.51,7414.8,7421.9,7429.0,33.94,band0845,regen_20260906_qa1_draw1,FILLED,2026-05-12,WAITED for return to entry,,2026-05-12 09:30:00,7395.45,33.94,1.0,Unit 3,7361.51,2026-05-12 18:00:00,stopped out,-1.0,-1.0
2026-05-11_Trade_3A,2026-05-11,"Trade 3A - Momentum-Pullback (57.5% fib retracement, TREND_UP fork)",Trade 3A,LONG,LIMIT,7275.25,7159.91,7319.64,7407.5,7495.36,115.34,band0845,regen_20260906_qa1_draw1,NO FILL,2026-05-12,,08:45 7401.8 was -1.10R worse than entry; never returned to entry by cut-off,,,,,All,,,,0.0,0.0
2026-05-12_Trade_1,2026-05-12,"Trade 1 - Daily Directional (LONG, TREND_UP)",Trade 1,LONG,MARKET,7419.7,7378.9,7460.5,7501.4,7621.4,40.8,band0845,regen_20260906_qa1_draw1,FILLED,2026-05-13,WAITED for return to entry,,2026-05-13 09:45:00,7419.7,40.8,1.0,Unit 1,7460.5,2026-05-13 21:00:00,TP1 reached,1.0,1.0
2026-05-12_Trade_1,2026-05-12,"Trade 1 - Daily Directional (LONG, TREND_UP)",Trade 1,LONG,MARKET,7419.7,7378.9,7460.5,7501.4,7621.4,40.8,band0845,regen_20260906_qa1_draw1,FILLED,2026-05-13,WAITED for return to entry,,2026-05-13 09:45:00,7419.7,40.8,1.0,Unit 2,7501.4,2026-05-14 17:45:00,TP2 reached,2.002,2.002
2026-05-12_Trade_1,2026-05-12,"Trade 1 - Daily Directional (LONG, TREND_UP)",Trade 1,LONG,MARKET,7419.7,7378.9,7460.5,7501.4,7621.4,40.8,band0845,regen_20260906_qa1_draw1,FILLED,2026-05-13,WAITED for return to entry,,2026-05-13 09:45:00,7419.7,40.8,1.0,Unit 3,7458.5,2026-05-13 23:45:00,card runner time-stop at entry-session close,0.951,0.951
