card_id,report_date,strategy,family,direction,policy,fill_status,entry_rule,fill_ts,fill_px,R_points,risk_vs_card,units,blended_R,blended_R_card
2026-05-11_Trade_1,2026-05-11,Trade 1 - Daily Directional (LONG),Trade 1,LONG,card,FILLED,MARKET at 09:00 open,2026-05-12 09:00:00,7403.5,49.29,1.063,3,-1.0,-1.0
2026-05-11_Trade_2,2026-05-11,"Trade 2 - Pivot, TREND branch (long above daily P)",Trade 2,LONG,card,FILLED,LIMIT touched,2026-05-12 09:30:00,7395.45,33.94,1.0,3,-1.0,-1.0
2026-05-11_Trade_3A,2026-05-11,"Trade 3A - Momentum-Pullback (57.5% fib retracement, TREND_UP fork)",Trade 3A,LONG,card,NO FILL,,,,,,1,0.0,0.0
2026-05-12_Trade_1,2026-05-12,"Trade 1 - Daily Directional (LONG, TREND_UP)",Trade 1,LONG,card,FILLED,MARKET at 09:00 open,2026-05-13 09:00:00,7421.8,42.9,1.051,3,1.204,1.318
2026-05-12_Trade_2,2026-05-12,"Trade 2 - Pivot, TREND branch (TREND_UP long across the pivot)",Trade 2,LONG,card,FILLED,LIMIT touched,2026-05-13 15:30:00,7411.36,25.32,1.0,3,-1.0,-1.0
2026-05-12_Trade_3A,2026-05-12,"Trade 3A - Momentum-Pullback (57.5% fib retrace, TREND_UP fork)",Trade 3A,LONG,card,NO FILL,,,,,,1,0.0,0.0
2026-05-13_Trade_1,2026-05-13,Trade 1 - Daily Directional,Trade 1,n/a,card,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-13_Trade_2,2026-05-13,"Trade 2 - Pivot, TRANSITION breakout-side (long)",Trade 2,LONG,card,NO FILL,,,,,,1,0.0,0.0
2026-05-13_Trade_3C,2026-05-13,Trade 3C - Momentum-Breakout (TRANSITION fork),Trade 3C,n/a,card,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-14_Trade_1,2026-05-14,Trade 1 - Daily Directional,Trade 1,n/a,card,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-14_Trade_2,2026-05-14,"Trade 2 - Pivot, TREND branch (daily floor pivots)",Trade 2,LONG,card,FILLED,LIMIT touched,2026-05-15 11:15:00,7438.2,31.6,1.0,3,-1.0,-1.0
2026-05-14_Trade_3A,2026-05-14,Trade 3A - Momentum-Pullback (57.5% fib retracement),Trade 3A,LONG,card,NO FILL,,,,,,1,0.0,0.0
2026-05-15_Trade_1,2026-05-15,Trade 1 - Daily Directional,Trade 1,LONG,card,SKIPPED_MALFORMED,MARKET at 09:00 open,2026-05-18 09:00:00,7369.3,87.65,1.681,1,0.0,0.0
2026-05-15_Trade_2,2026-05-15,"Trade 2 - Pivot, regime-aware (TREND branch)",Trade 2,LONG,card,SKIPPED_MALFORMED,LIMIT already marketable at 09:00 - filled at open,2026-05-18 09:00:00,7369.3,109.32,4.708,1,0.0,0.0
2026-05-15_Trade_3A,2026-05-15,Trade 3A - Momentum-Pullback (fib retracement),Trade 3A,LONG,card,FILLED,LIMIT already marketable at 09:00 - filled at open,2026-05-18 09:00:00,7369.3,40.75,0.442,3,2.025,0.336
2026-05-18_Trade_1,2026-05-18,Trade 1 - Daily Directional,Trade 1,n/a,card,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-18_Trade_2,2026-05-18,"Trade 2 - Pivot, TRANSITION breakout side (sell limit below daily P)",Trade 2,SHORT,card,NO FILL,,,,,,1,0.0,0.0
2026-05-18_Trade_3C,2026-05-18,"Trade 3C - Momentum-Breakout, 25-day range (conditional)",Trade 3C,n/a,card,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-19_Trade_1,2026-05-19,Trade 1 - Daily Directional,Trade 1,n/a,card,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-19_Trade_2,2026-05-19,"Trade 2 - Pivot (trend branch, buy limit above the daily pivot)",Trade 2,LONG,card,SKIPPED_MALFORMED,LIMIT already marketable at 09:00 - filled at open,2026-05-20 09:00:00,7361.9,11.8,0.355,1,0.0,0.0
2026-05-19_Trade_3A,2026-05-19,Trade 3A - Momentum-Pullback (fib retracement of the impulse swing),Trade 3A,LONG,card,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-20_Trade_1,2026-05-20,Trade 1 - Daily Directional,Trade 1,n/a,card,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-20_Trade_2,2026-05-20,"Trade 2 - Pivot, TREND branch (weekly floor pivots)",Trade 2,LONG,card,FILLED,STOP touched,2026-05-21 09:00:00,7436.3,84.1,1.0,3,0.842,0.842
2026-05-20_Trade_3A,2026-05-20,Trade 3A - Momentum-Pullback (57.5% fib retracement),Trade 3A,LONG,card,NO FILL,,,,,,1,0.0,0.0
2026-05-21_Trade_1,2026-05-21,Trade 1 - Daily Directional,Trade 1,LONG,card,FILLED,MARKET at 09:00 open,2026-05-22 09:00:00,7470.9,127.39,1.366,3,0.554,1.122
2026-05-21_Trade_2,2026-05-21,Trade 2 - Pivot (TRANSITION breakout side),Trade 2,LONG,card,FILLED,STOP already marketable at 09:00 - filled at open,2026-05-22 09:00:00,7470.9,46.52,1.05,3,0.304,0.37
2026-05-21_Trade_3C,2026-05-21,Trade 3C - Momentum-Breakout (conditional),Trade 3C,LONG,card,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-22_Trade_1,2026-05-22,Trade 1 - Daily Directional (SUPPRESSED - conviction below threshold),Trade 1,n/a,card,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-22_Trade_2,2026-05-22,"Trade 2 - Pivot, regime-aware (TRANSITION branch, breakout side only)",Trade 2,LONG,card,NO FILL,,,,,,1,0.0,0.0
2026-05-22_Trade_3C,2026-05-22,Trade 3C - Momentum-Breakout (SUPPRESSED - no confirmed break at D-1),Trade 3C,n/a,card,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-25_Trade_1,2026-05-25,Trade 1 - Daily Directional,Trade 1,LONG,card,FILLED,MARKET at 09:00 open,2026-05-26 09:00:00,7525.7,80.04,2.664,3,0.026,1.732
2026-05-25_Trade_2,2026-05-25,"Trade 2 - Pivot, trend-branch breakout",Trade 2,LONG,card,FILLED,STOP already marketable at 09:00 - filled at open,2026-05-26 09:00:00,7525.7,63.42,2.791,3,-0.172,1.312
2026-05-25_Trade_3A,2026-05-25,Trade 3A - Momentum-Pullback (57.5% fib retracement),Trade 3A,LONG,card,NO FILL,,,,,,1,0.0,0.0
2026-05-26_Trade_1,2026-05-26,Daily Directional (M5 Trade 1) - LONG at the daily-open anchor,Trade 1,LONG,card,FILLED,MARKET at 09:00 open,2026-05-27 09:00:00,7533.0,43.55,0.689,3,0.378,-0.051
2026-05-26_Trade_2,2026-05-26,"Pivot, regime-aware (M5 Trade 2), TRANSITION breakout side - SUPPRESSED",Trade 2,LONG,card,SUPPRESSED,,,,,,1,0.0,0.0
2026-05-26_Trade_3C,2026-05-26,"Momentum-Breakout (M5 Trade 3C, TRANSITION regime) - LONG",Trade 3C,LONG,card,FILLED,MARKET at 09:00 open,2026-05-27 09:00:00,7533.0,206.39,0.913,3,-1.0,-1.0
2026-05-27_Trade_1,2026-05-27,Trade 1 - Daily Directional,Trade 1,LONG,card,FILLED,MARKET at 09:00 open,2026-05-28 09:00:00,7517.7,30.16,0.755,3,2.21,1.423
2026-05-27_Trade_2,2026-05-27,"Trade 2 - Pivot, regime-aware (TREND_UP branch - pivot breakout)",Trade 2,LONG,card,NO FILL,,,,,,1,0.0,0.0
2026-05-27_Trade_3A,2026-05-27,Trade 3A - Momentum-Pullback (57.5% fib retracement),Trade 3A,LONG,card,NO FILL,,,,,,1,0.0,0.0
2026-05-28_Trade_1,2026-05-28,Trade 1 - Daily Directional,Trade 1,LONG,card,FILLED,MARKET at 09:00 open,2026-05-29 09:00:00,7576.3,83.82,2.327,3,0.116,1.597
2026-05-28_Trade_2,2026-05-28,"Trade 2 - Pivot, TREND branch (breakout above P)",Trade 2,LONG,card,NO FILL,,,,,,1,0.0,0.0
2026-05-28_Trade_3A,2026-05-28,Trade 3A - Momentum-Pullback (fib retracement),Trade 3A,LONG,card,NO FILL,,,,,,1,0.0,0.0
2026-05-29_Trade_1,2026-05-29,Trade 1 - Daily Directional,Trade 1,LONG,card,FILLED,MARKET at 09:00 open,2026-06-01 09:00:00,7610.0,94.08,1.663,3,-0.701,-0.503
2026-05-29_Trade_2,2026-05-29,"Trade 2 - Pivot, TREND branch (long across the pivot)",Trade 2,LONG,card,NO FILL,,,,,,1,0.0,0.0
2026-05-29_Trade_3A,2026-05-29,Trade 3A - Momentum-Pullback (57.5% fib retracement),Trade 3A,LONG,card,NO FILL,,,,,,1,0.0,0.0
2026-06-01_Trade_1,2026-06-01,"Trade 1 - Daily Directional (market at daily-open anchor, TREND_UP long)",Trade 1,LONG,card,FILLED,MARKET at 09:00 open,2026-06-02 09:00:00,7586.8,36.1,1.059,3,0.282,0.357
2026-06-01_Trade_2,2026-06-01,"Trade 2 - Pivot, TREND branch (buy stop above daily P, TREND_UP long)",Trade 2,LONG,card,FILLED,STOP already marketable at 09:00 - filled at open,2026-06-02 09:00:00,7586.8,36.1,1.008,3,0.65,0.662
2026-06-01_Trade_3A,2026-06-01,"Trade 3A - Momentum-Pullback, 57.5% fib retracement (TREND_UP long)",Trade 3A,LONG,card,NO FILL,,,,,,1,0.0,0.0
2026-06-02_Trade_1,2026-06-02,"Trade 1 - Daily Directional (LONG, TREND_UP)",Trade 1,LONG,card,FILLED,MARKET at 09:00 open,2026-06-03 09:00:00,7612.2,53.89,1.13,3,-1.0,-1.0
2026-06-02_Trade_2,2026-06-02,"Trade 2 - Pivot, regime-aware (TREND branch, LONG across daily P)",Trade 2,LONG,card,FILLED,LIMIT touched,2026-06-03 15:30:00,7602.46,22.48,1.0,3,-1.0,-1.0
2026-06-02_Trade_3A,2026-06-02,"Trade 3A - Momentum-Pullback (57.5% fib retracement, LONG)",Trade 3A,LONG,card,NO FILL,,,,,,1,0.0,0.0
2026-06-03_Trade_1,2026-06-03,"Trade 1 - Daily Directional (LONG, trending-bullish regime)",Trade 1,LONG,card,SKIPPED_MALFORMED,MARKET at 09:00 open,2026-06-04 09:00:00,7536.7,35.64,0.82,1,0.0,0.0
2026-06-03_Trade_2,2026-06-03,"Trade 2 - Pivot, TREND branch (long breakout above daily P)",Trade 2,LONG,card,SKIPPED_MALFORMED,LIMIT already marketable at 09:00 - filled at open,2026-06-04 09:00:00,7536.7,35.64,0.906,1,0.0,0.0
